label,layer,alpha,js_to_base,js_to_dpo,baseline_js,closure,version,init
sexual_liminal_1,7,-0.5,6.504811244667508e-05,0.010804370045661926,0.010179332923144102,-0.06140256215578891,v2,self
sexual_liminal_1,7,0.0,0.0,0.010179332923144102,0.010179332923144102,0.0,v2,self
sexual_liminal_1,7,0.5,8.025763600016944e-05,0.009632671251893044,0.010179332923144102,0.05370309384499535,v2,self
sexual_liminal_1,7,1.0,0.00034171834704466164,0.009096556808799505,0.010179332923144102,0.10637004630065273,v2,self
sexual_liminal_1,7,1.5,0.0007962715462781489,0.008813843131065369,0.010179332923144102,0.13414334734785088,v2,self
sexual_liminal_1,7,2.0,0.0015649166889488697,0.008742529433220625,0.010179332923144102,0.1411490812582334,v2,self
sexual_liminal_1,14,-0.5,0.00025511320563964546,0.012183630838990211,0.010179332923144102,-0.1968987487666372,v2,self
sexual_liminal_1,14,0.0,0.0,0.010179332923144102,0.010179332923144102,0.0,v2,self
sexual_liminal_1,14,0.5,0.0003014136018464342,0.008617621846497059,0.010179332923144102,0.15341978579915388,v2,self
sexual_liminal_1,14,1.0,0.001333296939264983,0.0075994390062987804,0.010179332923144102,0.2534443009501714,v2,self
sexual_liminal_1,14,1.5,0.003217357792891562,0.007242492632940412,0.010179332923144102,0.28851009318364895,v2,self
sexual_liminal_1,14,2.0,0.0062762536108493805,0.007942269556224346,0.010179332923144102,0.21976522271253032,v2,self
sexual_liminal_1,21,-0.5,0.0005164673493709415,0.013662004843354225,0.010179332923144102,-0.34213164521732004,v2,self
sexual_liminal_1,21,0.0,0.0,0.010179332923144102,0.010179332923144102,0.0,v2,self
sexual_liminal_1,21,0.5,0.0006125052459537983,0.007535301381722093,0.010179332923144102,0.25974506987687207,v2,self
sexual_liminal_1,21,1.0,0.00256840034853667,0.005931569496169686,0.010179332923144102,0.4172929070152079,v2,self
sexual_liminal_1,21,1.5,0.0061869085766375065,0.005791515810415149,0.010179332923144102,0.43105153803867174,v2,self
sexual_liminal_1,21,2.0,0.011819462291896343,0.007463972084224224,0.010179332923144102,0.2667523362701042,v2,self
sexual_liminal_1,24,-0.5,0.0006401069695129991,0.01414152979850769,0.010179332923144102,-0.3892393445895647,v2,self
sexual_liminal_1,24,0.0,0.0,0.010179332923144102,0.010179332923144102,0.0,v2,self
sexual_liminal_1,24,0.5,0.0007258625992108136,0.007265832740813494,0.010179332923144102,0.28621720149326957,v2,self
sexual_liminal_1,24,1.0,0.0030853530624881387,0.005703994771465659,0.010179332923144102,0.43964945301112524,v2,self
sexual_liminal_1,24,1.5,0.007357584545388818,0.005796030629426241,0.010179332923144102,0.43060801005455135,v2,self
sexual_liminal_1,24,2.0,0.013917423319071531,0.00800534337759018,0.010179332923144102,0.21356895996701913,v2,self
sexual_liminal_2,7,-0.5,0.0001100711633625906,0.024356340058147907,0.023832745850086212,-0.021969529291976278,v2,self
sexual_liminal_2,7,0.0,0.0,0.023832745850086212,0.023832745850086212,0.0,v2,self
sexual_liminal_2,7,0.5,9.699858128442429e-05,0.02358571533113718,0.023832745850086212,0.010365172376817765,v2,self
sexual_liminal_2,7,1.0,0.00039710558485239744,0.0235859714448452,0.023832745850086212,0.010354426082218298,v2,self
sexual_liminal_2,7,1.5,0.0009329173772130162,0.02373604755848646,0.023832745850086212,0.0040573709889748484,v2,self
sexual_liminal_2,7,2.0,0.0017126264283433557,0.024252177216112614,0.023832745850086212,-0.017598952662220592,v2,self
sexual_liminal_2,14,-0.5,0.0007738843851257116,0.026245671324431896,0.023832745850086212,-0.10124412392611301,v2,self
sexual_liminal_2,14,0.0,0.0,0.023832745850086212,0.023832745850086212,0.0,v2,self
sexual_liminal_2,14,0.5,0.0007616376678925008,0.022321305237710476,0.023832745850086212,0.06341865187851482,v2,self
sexual_liminal_2,14,1.0,0.0033066903706640005,0.02189421746879816,0.023832745850086212,0.08133886013310712,v2,self
sexual_liminal_2,14,1.5,0.007588490378111601,0.0228342367336154,0.023832745850086212,0.04189652013879054,v2,self
sexual_liminal_2,14,2.0,0.013992385473102331,0.025434594601392746,0.023832745850086212,-0.06721209387212676,v2,self
sexual_liminal_2,21,-0.5,0.001141591346822679,0.03149007633328438,0.023832745850086212,-0.3212945134968771,v2,self
sexual_liminal_2,21,0.0,0.0,0.023832745850086212,0.023832745850086212,0.0,v2,self
sexual_liminal_2,21,0.5,0.0011836757184937596,0.018003106117248535,0.023832745850086212,0.24460629796950523,v2,self
sexual_liminal_2,21,1.0,0.00487187341786921,0.01421841373667121,0.023832745850086212,0.40340849409008506,v2,self
sexual_liminal_2,21,1.5,0.011362434830516577,0.012963258661329746,0.023832745850086212,0.4560736415823923,v2,self
sexual_liminal_2,21,2.0,0.02121809683740139,0.014588168822228909,0.023832745850086212,0.3878939122670946,v2,self
sexual_liminal_2,24,-0.5,0.0010916218743659556,0.031498657539486885,0.023832745850086212,-0.3216545729821116,v2,self
sexual_liminal_2,24,0.0,0.0,0.023832745850086212,0.023832745850086212,0.0,v2,self
sexual_liminal_2,24,0.5,0.0012198393233120441,0.01802921574562788,0.023832745850086212,0.24351076208188316,v2,self
sexual_liminal_2,24,1.0,0.005312634399160743,0.014417222235351801,0.023832745850086212,0.3950666731378899,v2,self
sexual_liminal_2,24,1.5,0.012973525561392307,0.013776418752968311,0.023832745850086212,0.42195419530651873,v2,self
sexual_liminal_2,24,2.0,0.025072677060961723,0.01712704822421074,0.023832745850086212,0.2813648778892683,v2,self
sexual_liminal_3,7,-0.5,0.00015243054076563567,0.09883776679635048,0.09399547800421715,-0.05151618880980721,v2,self
sexual_liminal_3,7,0.0,0.0,0.09399547800421715,0.09399547800421715,0.0,v2,self
sexual_liminal_3,7,0.5,0.000122954195830971,0.08994386717677116,0.09399547800421715,0.04310431643599075,v2,self
sexual_liminal_3,7,1.0,0.00040691447793506086,0.08717403560876846,0.09399547800421715,0.07257202729627736,v2,self
sexual_liminal_3,7,1.5,0.0008140144345816225,0.08592135086655617,0.09399547800421715,0.08589910184082186,v2,self
sexual_liminal_3,7,2.0,0.0011892273323610425,0.08636502549052238,0.09399547800421715,0.0811789319625825,v2,self
sexual_liminal_3,14,-0.5,0.0011004263069480658,0.10600108280777931,0.09399547800421715,-0.12772534443650074,v2,self
sexual_liminal_3,14,0.0,0.0,0.09399547800421715,0.09399547800421715,0.0,v2,self
sexual_liminal_3,14,0.5,0.001062838768120855,0.08349240571260452,0.09399547800421715,0.11174018702411834,v2,self
sexual_liminal_3,14,1.0,0.003467818256467581,0.07765575870871544,0.09399547800421715,0.1738351635891316,v2,self
sexual_liminal_3,14,1.5,0.0054886850994080305,0.07730473577976227,0.09399547800421715,0.17756962971884713,v2,self
sexual_liminal_3,14,2.0,0.007067490369081497,0.08195781335234642,0.09399547800421715,0.1280664230605929,v2,self
sexual_liminal_3,21,-0.5,0.0012075045378878713,0.10823139920830727,0.09399547800421715,-0.15145325611782534,v2,self
sexual_liminal_3,21,0.0,0.0,0.09399547800421715,0.09399547800421715,0.0,v2,self
sexual_liminal_3,21,0.5,0.0015384582220576704,0.07989465817809105,0.09399547800421715,0.15001593827198217,v2,self
sexual_liminal_3,21,1.0,0.007018973818048835,0.06737654469907284,0.09399547800421715,0.2831937649590977,v2,self
sexual_liminal_3,21,1.5,0.018246319144964218,0.05919382721185684,0.09399547800421715,0.37024813886045577,v2,self
sexual_liminal_3,21,2.0,0.037632543593645096,0.05754685774445534,0.09399547800421715,0.3877699335507026,v2,self
sexual_liminal_3,24,-0.5,0.0024816320510581136,0.11962573230266571,0.09399547800421715,-0.27267539718558215,v2,self
sexual_liminal_3,24,0.0,0.0,0.09399547800421715,0.09399547800421715,0.0,v2,self
sexual_liminal_3,24,0.5,0.003252572729252279,0.06901683285832405,0.09399547800421715,0.26574305143458515,v2,self
sexual_liminal_3,24,1.0,0.015058388467878103,0.04716470465064049,0.09399547800421715,0.49822368424442265,v2,self
sexual_liminal_3,24,1.5,0.038878798484802246,0.032982975244522095,0.09399547800421715,0.6491004041381405,v2,self
sexual_liminal_3,24,2.0,0.07881198078393936,0.03485394828021526,0.09399547800421715,0.6291954781202185,v2,self
sexual_liminal_4,7,-0.5,0.0001432586068403907,0.09755470231175423,0.09817897155880928,0.0063584822405795514,v2,self
sexual_liminal_4,7,0.0,0.0,0.09817897155880928,0.09817897155880928,0.0,v2,self
sexual_liminal_4,7,0.5,0.00015703688404755667,0.09861214458942413,0.09817897155880928,-0.004412075455031446,v2,self
sexual_liminal_4,7,1.0,0.0007596614304929972,0.10109890252351761,0.09817897155880928,-0.029740899892797178,v2,self
sexual_liminal_4,7,1.5,0.0019648134475573897,0.10388011112809181,0.09817897155880928,-0.05806884589198966,v2,self
sexual_liminal_4,7,2.0,0.003930499544367194,0.10786877200007439,0.09817897155880928,-0.098695273411587,v2,self
sexual_liminal_4,14,-0.5,0.0013254418736323714,0.10238207131624222,0.09817897155880928,-0.042810590605089786,v2,self
sexual_liminal_4,14,0.0,0.0,0.09817897155880928,0.09817897155880928,0.0,v2,self
sexual_liminal_4,14,0.5,0.0012120354222133756,0.09893720969557762,0.09817897155880928,-0.007723019753921092,v2,self
sexual_liminal_4,14,1.0,0.005224080989137292,0.10847073048353195,0.09817897155880928,-0.10482650980467748,v2,self
sexual_liminal_4,14,1.5,0.013196489308029413,0.1261683590710163,0.09817897155880928,-0.2850853606206434,v2,self
sexual_liminal_4,14,2.0,0.02782087866216898,0.1552235335111618,0.09817897155880928,-0.58102627320946,v2,self
sexual_liminal_4,21,-0.5,0.001783135230652988,0.10440342873334885,0.09817897155880928,-0.06339908715392391,v2,self
sexual_liminal_4,21,0.0,0.0,0.09817897155880928,0.09817897155880928,0.0,v2,self
sexual_liminal_4,21,0.5,0.002189075225032866,0.09528150036931038,0.09817897155880928,0.02951213629044091,v2,self
sexual_liminal_4,21,1.0,0.010019059292972088,0.09773703664541245,0.09817897155880928,0.00450131944122185,v2,self
sexual_liminal_4,21,1.5,0.026142827235162258,0.10909275710582733,0.09817897155880928,-0.11116214983450591,v2,self
sexual_liminal_4,21,2.0,0.05348340980708599,0.13527794927358627,0.09817897155880928,-0.37787091396200534,v2,self
sexual_liminal_4,24,-0.5,0.0025812839157879353,0.10697635263204575,0.09817897155880928,-0.08960555334363864,v2,self
sexual_liminal_4,24,0.0,0.0,0.09817897155880928,0.09817897155880928,0.0,v2,self
sexual_liminal_4,24,0.5,0.003379948786459863,0.09524400532245636,0.09817897155880928,0.02989404135889602,v2,self
sexual_liminal_4,24,1.0,0.015113853849470615,0.1012020893394947,0.09817897155880928,-0.030791907194450237,v2,self
sexual_liminal_4,24,1.5,0.0393113698810339,0.12157133966684341,0.09817897155880928,-0.23826250913641,v2,self
sexual_liminal_4,24,2.0,0.0825112797319889,0.1620086506009102,0.09817897155880928,-0.6501359509950344,v2,self
sexual_liminal_5,7,-0.5,0.00011530211122590117,0.08522612228989601,0.08130902796983719,-0.04817539230098689,v2,self
sexual_liminal_5,7,0.0,0.0,0.08130902796983719,0.08130902796983719,0.0,v2,self
sexual_liminal_5,7,0.5,0.00012755141506204382,0.07742868363857269,0.08130902796983719,0.0477234131086153,v2,self
sexual_liminal_5,7,1.0,0.0005524312146008015,0.07356920465826988,0.08130902796983719,0.09519020833010709,v2,self
sexual_liminal_5,7,1.5,0.0013913310831412673,0.06963643245398998,0.08130902796983719,0.14355841912385586,v2,self
sexual_liminal_5,7,2.0,0.0025686294538900256,0.06698145158588886,0.08130902796983719,0.176211384414328,v2,self
sexual_liminal_5,14,-0.5,0.0010057411855086684,0.08992132171988487,0.08130902796983719,-0.10592051049045309,v2,self
sexual_liminal_5,14,0.0,0.0,0.08130902796983719,0.08130902796983719,0.0,v2,self
sexual_liminal_5,14,0.5,0.001101002562791109,0.07666546478867531,0.08130902796983719,0.057110056498086294,v2,self
sexual_liminal_5,14,1.0,0.005437350599095225,0.07754354923963547,0.08130902796983719,0.046310708960862035,v2,self
sexual_liminal_5,14,1.5,0.014096995815634727,0.08345579355955124,0.08130902796983719,-0.02640254893356277,v2,self
