family,pair,model,js_to_A,js_to_B,js_to_mean,ratio
beaver,love/hate,base,0.2746103228140787,0.11573190861866568,0.10345474313388521,0.8939171950820107
beaver,trust/fear,base,0.0628203524760159,0.0819647949666643,0.03827671707845288,0.6093043984919775
beaver,beautiful/disgusting,base,0.06648556104298035,0.1260371575440474,0.04312391099125801,0.6486206977087862
beaver,desire/disgust,base,0.11076180805013204,0.07613335675045436,0.05535983870084,0.72714301672387
beaver,obey/rebel,base,0.05398713340195375,0.09225876376020709,0.03130696844017983,0.5798968470336833
beaver,sacred/profane,base,0.10872502220831488,0.1348780342858774,0.08564003557300462,0.7876754939531775
beaver,man/woman,base,0.02742417381929207,0.020349613259251918,0.02114613586098987,1.0391419036612803
beaver,human/animal,base,0.02431029324343046,0.03639286511172936,0.0070221798711190735,0.2888562388286586
beaver,pleasure/pain,base,0.0817929309617766,0.13386835913255518,0.042816233571152384,0.5234710758948256
beaver,create/destroy,base,0.13572908974844386,0.13581880447188963,0.07368404528723653,0.5428758523600231
beaver,free/captive,base,0.04697879811185327,0.056000907336181106,0.03930565717503832,0.8366680024775063
beaver,innocent/guilty,base,0.04666421601399932,0.16691901580640955,0.07295690789648673,1.5634444147652578
beaver,rational/irrational,base,0.08250385320661088,0.08827608961495459,0.07064151548306784,0.856220803483727
beaver,faithful/unfaithful,base,0.05594470908471244,0.0431166337487468,0.026610087369985786,0.6171652343049442
beaver,rich/poor,base,0.08191804233415821,0.10065065215171293,0.055730820654693564,0.6803241272216647
beaver,love/hate,sft,0.3158780734621672,0.3450772881225676,0.25338309398548203,0.8021547403030803
beaver,trust/fear,sft,0.08179214032888327,0.1754073406366972,0.06363542183441832,0.7780138969165322
beaver,beautiful/disgusting,sft,0.08892042267591319,0.2521355066603591,0.08855292642569579,0.995867133340596
beaver,desire/disgust,sft,0.2432394144909264,0.13259923309864177,0.13170474199217655,0.9932541758684245
beaver,obey/rebel,sft,0.1466216509395144,0.19279272208630852,0.10395389754403081,0.7089941824956995
beaver,sacred/profane,sft,0.1955088041489177,0.22692258638032334,0.1517089167319707,0.7759697441370215
beaver,man/woman,sft,0.06462267449345921,0.07093841092018943,0.06464679311509978,1.0003732222757666
beaver,human/animal,sft,0.07041671104946363,0.07596127581915406,0.02368620155267776,0.33637188104453764
beaver,pleasure/pain,sft,0.2040695423421362,0.2847945338295436,0.1445020545972083,0.7081020172767427
beaver,create/destroy,sft,0.2600743901749699,0.24759355778317688,0.1831078383970923,0.7395500918381885
beaver,free/captive,sft,0.05254981562669713,0.10539192880007373,0.06031216831009162,1.1477141754128428
beaver,innocent/guilty,sft,0.1430728396817726,0.2286825380347872,0.16724466686509737,1.1689476999064852
beaver,rational/irrational,sft,0.09958125337521567,0.07367618077331743,0.06678827988783466,0.9065111571584435
beaver,faithful/unfaithful,sft,0.11505006074663571,0.09412406674160283,0.05808819329981977,0.6171449588901453
beaver,rich/poor,sft,0.10104119374650397,0.21671533731119857,0.09998774186003409,0.9895740356243927
beaver,love/hate,rlhf,0.3399331315714586,0.43311008864166034,0.31074316125445983,0.9141302579655651
beaver,trust/fear,rlhf,0.14184293749569765,0.1874973251132636,0.0933247718798866,0.6579444385993296
beaver,beautiful/disgusting,rlhf,0.09634366783219184,0.2933017692081514,0.10380616156092366,1.0774570233482261
beaver,desire/disgust,rlhf,0.30270564204414646,0.152819680617828,0.16288442390618124,1.0658602560067063
beaver,obey/rebel,rlhf,0.18238948911141092,0.2619716908387775,0.15521057949882827,0.8509842330005066
beaver,sacred/profane,rlhf,0.238696429627934,0.28004070471110504,0.19469135880345076,0.8156442017458084
beaver,man/woman,rlhf,0.07416591524658135,0.0765173168858736,0.0718277179266963,0.9684734245898378
beaver,human/animal,rlhf,0.10845849597129847,0.09320705287051174,0.04361005696561388,0.4678836592569805
beaver,pleasure/pain,rlhf,0.23107946417970113,0.3353185934944327,0.17218876693327068,0.7451495854229888
beaver,create/destroy,rlhf,0.34200694106051027,0.30804228590238236,0.25658942599051615,0.832968192139142
beaver,free/captive,rlhf,0.06389813483581017,0.10887279456585136,0.06616859264134284,1.035532458206593
beaver,innocent/guilty,rlhf,0.17809428900758012,0.25744784121475467,0.19677236405636664,1.1048774508877797
beaver,rational/irrational,rlhf,0.1232284862735657,0.09205121526665179,0.08361290221451159,0.9083302373825669
beaver,faithful/unfaithful,rlhf,0.13272775656652547,0.10630192444468067,0.06701363091744279,0.6304084452611821
beaver,rich/poor,rlhf,0.13865214169768098,0.24866327896594706,0.12628687857161905,0.9108180878083851
