step,family,raw_individual,raw_institution,raw_neutral,raw_inj0.002,raw_inj0.005,raw_inj0.01,raw_inj0.02,raw_inj0.05,raw_inj0.1,raw_inj0.2,unit_individual,unit_institution,unit_neutral,unit_inj0.002,unit_inj0.005,unit_inj0.01,unit_inj0.02,unit_inj0.05,unit_inj0.1,unit_inj0.2
base->superego,amber,0.21543800451614759,0.1039922927356468,-0.0007284662881035768,0.21567796868564335,0.2160379149398868,0.2166378253636262,0.2178376462111047,0.22143710875354047,0.2274362129909333,0.23943442146571906,0.3406950124258068,0.1989379547954181,-0.0007804090672913876,0.34066461762647576,0.3406178512068793,0.34053684776282983,0.34036385739613634,0.33976695829927883,0.3385791307536863,0.33594384494889057
base->superego,archangel-dpo,-0.012907210104238573,0.013969508552955973,5.740028921823235e-05,-0.012630111085598804,-0.01221446255763914,-0.011521715011039713,-0.010136219917840854,-0.005979734638244273,0.0009477408277500264,0.014802691759738628,-0.1962453414255438,0.3109140649861199,0.0028393677739283847,-0.1960647731166197,-0.19572445228583313,-0.19491901986483398,-0.19206433084946692,-0.16385672937479265,0.025370135786377118,0.3403343544783141
base->superego,archangel-kto,-0.018716828512533815,0.010276479833518143,-2.575903219692331e-05,-0.018439729493894035,-0.01802408096593438,-0.01733133341933495,-0.01594583832613609,-0.011789353046539509,-0.004861877580545211,0.008993073351443386,-0.2683867041010996,0.24377517520629555,0.00033267019380692447,-0.2689227902037569,-0.2695834234536985,-0.2702388200468734,-0.26963678124264867,-0.2521470157433298,-0.12279494381765003,0.22746815714283009
base->superego,archangel-ppo,-0.009701659654195973,0.016463570757261518,1.6197466372631097e-05,-0.009424560635556198,-0.009008912107596544,-0.008316164560997109,-0.006930669467798251,-0.0027741841882016685,0.004153291277792628,0.018008242209781224,-0.11778992462171556,0.3526702625591575,-0.00010271073532510737,-0.11694839700829691,-0.11566362798619774,-0.11343700447787508,-0.10848768709231309,-0.08532690110264511,0.09468988260665308,0.4600797547022391
base->superego,archangel-slic,-0.013612459486518784,0.011164996760949163,-8.796753943587832e-05,-0.013335360467879009,-0.012919711939919353,-0.01222696439331992,-0.010841469300121065,-0.006684984020524482,0.0002424914454698171,0.014097442377458415,-0.22088399313425258,0.26090229557595085,-0.005224560899354021,-0.2209496570124576,-0.22100399176700247,-0.22091683409295906,-0.21964915428443596,-0.19511318631080296,-0.014832211568239953,0.2995212977596308
base->superego,beaver,0.025778146122708387,0.05263680243150678,-0.000989151714923671,0.026166006909956907,0.026747798090829708,0.027717450058951043,0.0296567539951937,0.03547466580392166,0.045171185485134935,0.06456422484756151,-0.009513874543809692,0.14515066815608826,-0.0019094027902336079,-0.008453726410934148,-0.00684030316980902,-0.0040887929713730176,0.001651869455680711,0.02080233844770119,0.058685008483186196,0.15092916746579446
base->superego,bloom,0.043237834838561584,0.041446444273342584,-8.575528321896802e-05,0.043526068738292255,0.043958419587888244,0.04467900433721492,0.04612017383586826,0.050443682331828256,0.05764952982509495,0.07206122481162834,0.34150691512670933,0.3206292189421253,-0.002166451765154248,0.3428452743573664,0.34480389389609795,0.34793715676555365,0.3537132320338418,0.36736159702761156,0.3809635758812722,0.39417738955554316
base->superego,ct-llm,-0.007772075964105432,0.04894214266047142,0.0001686990444194045,-0.007514107178894135,-0.007127154001077183,-0.00648223203804894,-0.0051923881119924535,-0.001322856333822977,0.005126363296459488,0.018024802557024395,-0.21485879217414325,0.34260994811281725,0.00040746524025879087,-0.21494816653167567,-0.2150544393915594,-0.2151537445326338,-0.2150343898896705,-0.21151178551880864,-0.18725768178720695,0.15903260382492623
base->superego,deepseek-7b,0.0006693971655357765,0.010791953821984104,0.0002594303469818254,0.0009604997786370181,0.0013971536982888852,0.002124910231041993,0.003580423296548216,0.007946962493066872,0.015224527820597964,0.029779658475660154,0.04547459120418776,0.13917989587391275,0.003060052999764563,0.04926185836566318,0.05485539882134999,0.06396443357016778,0.08154917521232961,0.1312765863437634,0.19831699298772154,0.35887856889503383
base->superego,falcon3-10b,0.012132704893361858,0.045897441903374935,-0.00016030626800098155,0.012448832603575205,0.0129230241688952,0.013713343444428547,0.015293981995495226,0.020035897648695292,0.027939090404028727,0.04374547591469558,0.015979911790692223,0.2273767601352498,-0.002576122721571884,0.017516997863208084,0.019843538838964146,0.023772514129092065,0.031791696318574834,0.05651081216060803,0.09847386840914137,0.21127608424392205
base->superego,falcon3-1b,0.1029002419610398,0.05595030721010136,0.00041581965677676703,0.103310432726947,0.10392571887580772,0.10495119579057559,0.10700214962011134,0.11315501110871862,0.12340978025639733,0.14391931855175485,0.4659288380398265,0.46029523306859677,0.007441494091982198,0.46579710576341143,0.465565596562766,0.4650935101975197,0.4638580523801153,0.458619113674728,0.4504536440777018,0.4507105826577549
base->superego,falcon3-3b,-0.014598583637185615,0.023339353500997525,0.0003239496467265615,-0.014110405049925773,-0.013378137169036007,-0.012157690700886396,-0.009716797764587169,-0.002394118955689519,0.009810345725806562,0.03421927508879873,0.11573628859998052,0.15813944666487653,0.0029956144711348305,0.11652995214225355,0.11765043341808262,0.11934627400760289,0.12218688053806537,0.12777900046408744,0.13458327546581564,0.25385473021007626
base->superego,falcon3-7b,0.027525381912842085,0.006689183012667427,0.0001805346139606487,0.027838265452583676,0.02830759076219604,0.029089799611550015,0.030654217310257918,0.035347470406381684,0.043169558899921266,0.05881373588700043,0.061332263317439954,0.029060495008010778,0.0026037181565355698,0.06398809522723119,0.06798190805376711,0.07462148574615261,0.08755818254845449,0.12008233456069094,0.1534374687688367,0.1943077812426179
base->superego,glm4,-0.008162916150220625,-0.07172603009563139,-7.157539919574873e-05,-0.007816588769154576,-0.007297097697555533,-0.00643127924489044,-0.004699642339560262,0.000495268376430269,0.009153452903081139,0.026469821956382908,0.029913760711456443,-0.17633091992974562,-0.0009335785124658188,0.03130290485745282,0.03338486276013776,0.03685120185928117,0.04377776674891327,0.06465226447473008,0.10062952707779127,0.17854389302201557
base->superego,llama,0.0437926966588863,0.04836409851922274,-0.00044992847004329286,0.04409843843432698,0.04455705109748801,0.04532140553608974,0.0468501144132932,0.05143624104490352,0.05907978543092076,0.07436687420295522,0.2299938967497932,0.2670207841807918,-0.002172690757739454,0.2315594656496339,0.23389926382349846,0.23778263021055243,0.24552507240783564,0.26885232943843046,0.3062860262405713,0.3633307256274476
base->superego,map-neo,0.011617828152571922,0.054195879111678585,-0.0002487727868044868,0.01201120535044317,0.012601271147250043,0.01358471414192818,0.015551600131284428,0.02145225809935318,0.031286688046134443,0.05095554793969701,0.03476261346005856,0.31627557343197604,-0.0015866948632899738,0.03572025515258682,0.03716675258966921,0.039604619420494085,0.044583517327833784,0.06037927049049727,0.08994531908177754,0.19020187595772753
base->superego,minicpm,0.144096223534626,0.054951508423094264,-3.597139346759611e-05,0.1446293354732162,0.14542900338110148,0.146761783227577,0.14942734292052798,0.15742402199938096,0.17075182046413587,0.19740741739364567,0.55007826458537,0.2617989058072013,0.0004780281938941732,0.5518325008232766,0.5543731042385864,0.5583795627638765,0.5656182245539028,0.582276278117153,0.5980295112302715,0.6065140178680849
base->superego,olmo,0.11262488719135888,0.047078759244596945,0.0015785636847186122,0.11291579734637548,0.11335216257890045,0.11407943796644197,0.11553398874152504,0.1198976410667743,0.12717039494218968,0.14171590269302048,0.2952292608448319,0.20523914862166168,0.010227695133972594,0.29575776707861207,0.29655568116354647,0.2978988050397113,0.3006311961116459,0.3091085685327273,0.3234194617987541,0.3472847570459268
