label,model,n_tokens,local_drift,gyration_cos,path_length,gyration_radius,mean_norm,category,transgressive
sexual_liminal_1,base,108,0.4158600866794586,0.38600265979766846,2989.322998046875,23.130680084228516,27.099178314208984,sexual_liminal,True
sexual_liminal_1,sft,108,0.42395859956741333,0.39763203263282776,3024.723388671875,23.423778533935547,27.232105255126953,sexual_liminal,True
sexual_liminal_1,dpo,108,0.44291970133781433,0.4217185378074646,2987.559326171875,23.139768600463867,26.35487937927246,sexual_liminal,True
sexual_explicit_2,base,110,0.47396430373191833,0.4470726251602173,2298.904052734375,18.677122116088867,21.773717880249023,sexual_explicit,True
sexual_explicit_2,sft,110,0.4891118109226227,0.48567911982536316,2226.49658203125,18.264558792114258,20.746309280395508,sexual_explicit,True
sexual_explicit_2,dpo,110,0.5201716423034668,0.5349287390708923,2110.970458984375,17.396400451660156,19.16099739074707,sexual_explicit,True
violence_liminal_3,base,108,0.4966500997543335,0.45781973004341125,3066.5849609375,23.355314254760742,25.923377990722656,violence_liminal,True
violence_liminal_3,sft,108,0.5169161558151245,0.4898397624492645,3084.30126953125,23.537328720092773,25.64112091064453,violence_liminal,True
violence_liminal_3,dpo,108,0.5383710861206055,0.5163322687149048,3033.974365234375,23.11871337890625,24.767377853393555,violence_liminal,True
violence_explicit_3,base,110,0.4819663465023041,0.44238802790641785,3074.49267578125,22.938316345214844,25.728492736816406,violence_explicit,True
violence_explicit_3,sft,110,0.5061930418014526,0.4804162383079529,3023.181884765625,22.654617309570312,24.756549835205078,violence_explicit,True
violence_explicit_3,dpo,110,0.5334841012954712,0.5173403024673462,2948.75146484375,22.1031551361084,23.563446044921875,violence_explicit,True
profanity_2,base,110,0.4271351099014282,0.4056686758995056,2940.359130859375,22.499622344970703,25.87326431274414,profanity,True
profanity_2,sft,110,0.44750091433525085,0.43838632106781006,2929.718017578125,22.486909866333008,25.280841827392578,profanity,True
profanity_2,dpo,110,0.48391544818878174,0.490922212600708,2868.710693359375,22.038137435913086,23.91826629638672,profanity,True
substance_2,base,109,0.4314914643764496,0.4285118281841278,3047.502685546875,23.715404510498047,26.865110397338867,substance,True
substance_2,sft,109,0.44414302706718445,0.439969927072525,3142.858642578125,24.398420333862305,27.52743911743164,substance,True
substance_2,dpo,109,0.45867693424224854,0.4623563289642334,3101.353271484375,24.10284996032715,26.737592697143555,substance,True
neutral_1,base,106,0.4273967146873474,0.39623063802719116,2992.56494140625,23.543231964111328,27.208316802978516,neutral,False
neutral_1,sft,106,0.43412959575653076,0.4061944782733917,3036.24365234375,23.932723999023438,27.508342742919922,neutral,False
neutral_1,dpo,106,0.4623151421546936,0.4422051012516022,3012.6181640625,23.74310874938965,26.54755973815918,neutral,False
neutral_7,base,112,0.4901515543460846,0.42566803097724915,3212.54248046875,23.206878662109375,26.357351303100586,neutral,False
neutral_7,sft,112,0.5014925599098206,0.44382140040397644,3200.194580078125,23.170019149780273,25.97902488708496,neutral,False
neutral_7,dpo,112,0.5345593094825745,0.4852682054042816,3115.183349609375,22.558591842651367,24.559385299682617,neutral,False
