model,model_short,family,relation,org,prompt,n_gens,n_branches,branch_entropy,top_branch,top_branch_pct
allenai/OLMo-2-0425-1B-DPO,OLMo-2-0425-1B-DPO,OLMo-2-0425-1B,dpo_of,Allen AI,sexual,100,60,5.488,shoes,0.13
allenai/OLMo-2-0425-1B-Instruct,OLMo-2-0425-1B-Instruct,OLMo-2-0425-1B,rlvr_of,Allen AI,sexual,100,64,5.668,shoes,0.08
allenai/OLMo-2-0425-1B-SFT,OLMo-2-0425-1B-SFT,OLMo-2-0425-1B,sft_of,Allen AI,sexual,100,61,5.417,shoes,0.14
01-ai/Yi-1.5-9B-Chat,Yi-1.5-9B-Chat,Yi-9B,aligned_of,01.AI,neutral,100,10,0.781,Paris,0.9
01-ai/Yi-9B,Yi-9B,Yi-9B,base,01.AI,neutral,100,7,0.542,Paris,0.93
EleutherAI/pythia-6.9b,pythia-6.9b,pythia-6.9b,base,EleutherAI,neutral,100,34,3.906,Paris,0.36
HuggingFaceH4/mistral-7b-sft-beta,mistral-7b-sft-beta,Mistral-7B-v0.1,sft_of,HuggingFace,neutral,100,43,4.568,a,0.23
HuggingFaceH4/zephyr-7b-beta,zephyr-7b-beta,Mistral-7B-v0.1,dpo_of,HuggingFace,neutral,100,44,4.724,a,0.15
HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,SmolLM2-360M,base,HuggingFace,neutral,100,33,3.839,the,0.25
HuggingFaceTB/SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M,aligned_of,,neutral,100,6,0.665,Paris,0.9
HuggingFaceTB/SmolLM3-3B,SmolLM3-3B,SmolLM3-3B-Base,aligned_of,,neutral,100,12,1.147,Paris,0.84
HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,SmolLM3-3B-Base,base,HuggingFace,neutral,100,26,2.692,Paris,0.6
LLM360/Amber,Amber,Amber,base,LLM360,neutral,100,47,4.211,Paris,0.38
LLM360/AmberChat,AmberChat,Amber,sft_of,LLM360,neutral,100,20,1.624,Paris,0.79
