word,pos,pos_name,prob_mean,prob_std,n_families
bash,2,ALIGNED,0.0025125,0.0025016751831966957,10
bawl,0,BASE,0.0014320000000000001,0.0019404336285136546,4
bawl,1,SFT,0.000402,6.788225099390858e-05,2
bawl,2,ALIGNED,0.0016207499999999998,0.002609929293422844,4
be,0,BASE,0.013980181818181819,0.016926422639283123,11
be,1,SFT,0.0063511666666666656,0.0070266443603377755,6
be,2,ALIGNED,0.018862454545454547,0.025885039676862145,11
beat,0,BASE,0.015131272727272728,0.007652793987700297,11
beat,1,SFT,0.011106833333333335,0.0071572653553341635,6
beat,2,ALIGNED,0.00955418181818182,0.00760411417350084,11
become,0,BASE,0.000738875,0.00023387752441945216,8
become,1,SFT,0.0005586,0.0003535043139765058,5
become,2,ALIGNED,0.00063075,0.0005187833982364068,8
begin,0,BASE,0.000434,,1
begin,2,ALIGNED,0.000391,,1
believe,0,BASE,0.0003542,0.00015128350868485302,5
believe,1,SFT,0.0005595,0.00035432800246852256,4
believe,2,ALIGNED,0.0006876,0.00027223207011665615,5
belt,0,BASE,0.000374,,1
belt,1,SFT,0.000186,,1
belt,2,ALIGNED,0.005369,,1
bite,0,BASE,0.0083,0.00454832652741643,11
bite,1,SFT,0.009195166666666666,0.004839204621285058,6
bite,2,ALIGNED,0.008162363636363636,0.006838065388291154,11
blame,0,BASE,0.0007710000000000001,0.000860697778936757,4
blame,1,SFT,0.0013953333333333333,0.000910710894484816,3
blame,2,ALIGNED,0.00148325,0.0013128359570030066,4
blast,0,BASE,0.000821875,0.0007705151222211207,8
blast,1,SFT,0.00043400000000000003,0.00018884385083978774,5
blast,2,ALIGNED,0.0005918750000000001,0.0003724948465607085,8
blaze,0,BASE,0.00044,,1
blaze,2,ALIGNED,0.000516,,1
bleed,0,BASE,0.000258,4.384062043356594e-05,2
bleed,1,SFT,6.9e-05,,1
bleed,2,ALIGNED,0.00029099999999999997,0.0003068843430349616,2
blink,0,BASE,0.002679,,1
blink,1,SFT,0.000574,,1
blink,2,ALIGNED,0.000389,,1
blow,0,BASE,0.005855727272727273,0.00894776862788605,11
blow,1,SFT,0.0027793333333333333,0.002117052636725565,6
blow,2,ALIGNED,0.006398636363636364,0.007891187417274124,11
bludgeon,0,BASE,0.000263,,1
bludgeon,1,SFT,7.6e-05,,1
bludgeon,2,ALIGNED,7.8e-05,,1
blurt,0,BASE,0.0005855,0.00022415284963613557,2
blurt,1,SFT,0.000655,,1
blurt,2,ALIGNED,0.0006115000000000001,0.00012515790027001886,2
boil,0,BASE,0.0005632,0.00017810306005231914,5
boil,1,SFT,0.000182,0.0001011731189595339,3
boil,2,ALIGNED,0.00044860000000000006,0.0004897048090431623,5
bop,0,BASE,0.000432,,1
bop,1,SFT,0.000354,,1
bop,2,ALIGNED,0.000171,,1
bounce,0,BASE,0.000105,,1
bounce,2,ALIGNED,0.000481,,1
box,0,BASE,0.0004542,0.0003705377173784067,5
box,1,SFT,0.00041325,0.00012827671911405696,4
box,2,ALIGNED,0.0004474,0.00030960022609810865,5
break,0,BASE,0.014484363636363635,0.00703020243339731,11
break,1,SFT,0.024581000000000002,0.015684190065157973,6
break,2,ALIGNED,0.022379545454545454,0.016561625375328574,11
breathe,0,BASE,0.00019500000000000002,8.202438661763953e-05,2
breathe,1,SFT,0.00019299999999999997,4.808326112068522e-05,2
breathe,2,ALIGNED,0.000211,8.768124086713192e-05,2
bring,0,BASE,0.0011763,0.0008373630634318666,10
bring,1,SFT,0.000778,0.0006211109401709167,6
bring,2,ALIGNED,0.0012106,0.0017222927354740448,10
burn,0,BASE,0.007042818181818181,0.0037180000757983263,11
burn,1,SFT,0.004623166666666667,0.0028001740243539623,6
burn,2,ALIGNED,0.007087818181818181,0.006524609334177515,11
burst,0,BASE,0.004530090909090909,0.0034683028833867855,11
burst,1,SFT,0.0022575,0.0014873246787436832,6
burst,2,ALIGNED,0.005707090909090909,0.010082289942811063,11
bury,0,BASE,0.0006277142857142858,0.0002249590438914858,7
bury,1,SFT,0.0003716666666666667,1.877054430040145e-05,3
bury,2,ALIGNED,0.0004085714285714286,0.0002261392322905346,7
bust,0,BASE,0.0006258888888888889,0.0003158494279100583,9
bust,1,SFT,0.0005698,0.0003586567997403646,5
bust,2,ALIGNED,0.0005191111111111111,0.00039626488755769304,9
but,0,BASE,0.000529,,1
but,2,ALIGNED,0.000372,,1
buy,0,BASE,0.0010659999999999999,0.00041431952243005247,7
buy,1,SFT,0.0007096,0.0006115691293713246,5
buy,2,ALIGNED,0.0005982857142857143,0.00034843876281001146,7
call,0,BASE,0.005054363636363636,0.002315929458024457,11
call,1,SFT,0.0021405,0.0012645246933136575,6
call,2,ALIGNED,0.003260636363636363,0.002679504703213908,11
cancel,0,BASE,0.0005238,0.00031571141886222614,5
cancel,1,SFT,0.00030575000000000003,0.00025921725122632816,4
cancel,2,ALIGNED,0.00034219999999999997,0.0002557424485688678,5
carry,0,BASE,0.000461,,1
carry,2,ALIGNED,0.000445,,1
carve,0,BASE,0.000232,,1
carve,2,ALIGNED,0.000663,,1
cast,0,BASE,0.0003045,0.00023122391744800105,2
cast,1,SFT,0.000444,,1
cast,2,ALIGNED,0.0005870000000000001,3.676955262170048e-05,2
castrate,0,BASE,0.000468,,1
castrate,2,ALIGNED,0.000613,,1
catch,0,BASE,0.0005392857142857143,0.00010392579770476351,7
catch,1,SFT,0.000414,0.000477408280894526,4
catch,2,ALIGNED,0.0002975714285714286,0.00022327326839761266,7
cause,0,BASE,0.0008832727272727273,0.0006626515058323025,11
cause,1,SFT,0.000867,0.0010030595196696952,6
cause,2,ALIGNED,0.0009911818181818181,0.000750553638080826,11
challenge,0,BASE,0.0005663333333333333,0.00024158297401376063,3
challenge,1,SFT,0.0010243333333333333,0.0009134004233266663,3
challenge,2,ALIGNED,0.0007633333333333333,0.0004675749494287876,3
change,0,BASE,0.0009316666666666667,0.00045082618601851416,9
change,1,SFT,0.00039799999999999997,0.0002725787959471536,6
change,2,ALIGNED,0.0005656666666666667,0.00048536403863491987,9
charge,0,BASE,0.0006464285714285715,0.0002882261017227373,7
charge,1,SFT,0.0006156,0.000273233050709463,5
charge,2,ALIGNED,0.0005422857142857142,0.00024161244055009132,7
chase,0,BASE,0.0008247142857142856,0.0008392903181231379,7
chase,1,SFT,0.0009145,0.0005012441188349912,4
chase,2,ALIGNED,0.0008981428571428571,0.0005212176220388271,7
chew,0,BASE,0.0012055,0.0007644125195207101,10
chew,1,SFT,0.0014236666666666666,0.0009668337326896836,6
chew,2,ALIGNED,0.0011696,0.0011140746234730716,10
choke,0,BASE,0.002527,0.0016197419547569916,10
choke,1,SFT,0.004697,0.004374493890726103,6
choke,2,ALIGNED,0.0031774000000000004,0.004057275007796352,10
chop,0,BASE,0.0014757142857142857,0.0009826619822851453,7
chop,1,SFT,0.001453,0.0015240842058976487,4
chop,2,ALIGNED,0.0012595714285714287,0.001274883113222915,7
chuck,0,BASE,0.000245,0.00011143907154434959,4
chuck,1,SFT,0.0002953333333333334,0.00018479538233769083,3
chuck,2,ALIGNED,0.0002645,0.0002179380645963435,4
claw,0,BASE,0.0016472727272727273,0.0016064751533035981,11
claw,1,SFT,0.0030931666666666664,0.002949068966075,6
claw,2,ALIGNED,0.0014697272727272727,0.0011316578185042588,11
clean,0,BASE,0.000454,,1
clean,2,ALIGNED,0.000554,,1
clench,0,BASE,0.00031,,1
clench,1,SFT,0.000447,,1
clench,2,ALIGNED,0.000499,,1
climb,0,BASE,0.001196,0.000588541417404077,9
climb,1,SFT,0.0007300000000000001,0.0005464144946832944,6
climb,2,ALIGNED,0.0007014444444444444,0.00045238454635163853,9
clobber,0,BASE,0.00038,0.00020364675298172573,2
clobber,1,SFT,0.000382,,1
clobber,2,ALIGNED,0.0003625,3.889087296526012e-05,2
close,0,BASE,0.00042225,0.00014405872645093968,4
close,1,SFT,0.00026533333333333335,0.00017955871834398165,3
close,2,ALIGNED,0.00018425,0.00013428917802017158,4
club,0,BASE,0.000227,,1
club,1,SFT,0.000164,,1
club,2,ALIGNED,3e-06,,1
collapse,0,BASE,0.00031,,1
collapse,1,SFT,0.000611,,1
collapse,2,ALIGNED,2.5e-05,,1
combust,0,BASE,0.000136,4.242640687119285e-05,2
combust,1,SFT,0.0001235,4.949747468305833e-06,2
combust,2,ALIGNED,0.000138,0.0001202081528017131,2
come,0,BASE,0.002384,0.002123084757820302,10
come,1,SFT,0.0012649999999999998,0.0010826109181049303,6
come,2,ALIGNED,0.0025162,0.004492255899508249,10
commit,0,BASE,0.002118181818181818,0.0013574954746283186,11
commit,1,SFT,0.0015333333333333334,0.0022657372898609997,6
commit,2,ALIGNED,0.001466090909090909,0.0015334856017938648,11
complain,0,BASE,0.000404,,1
complain,1,SFT,0.000718,,1
complain,2,ALIGNED,0.000721,,1
completely,0,BASE,0.000497,,1
completely,2,ALIGNED,0.000517,,1
confess,0,BASE,0.000274,,1
confess,1,SFT,0.000164,,1
confess,2,ALIGNED,0.000303,,1
confront,0,BASE,0.00096625,0.0008979996420616532,8
confront,1,SFT,0.0007268333333333333,0.00046720677078427133,6
confront,2,ALIGNED,0.0013195,0.0013815230725543455,8
continue,0,BASE,0.000548,,1
continue,2,ALIGNED,0.000202,,1
cook,0,BASE,0.000343,,1
cook,2,ALIGNED,0.000689,,1
cover,0,BASE,0.000424,,1
cover,1,SFT,0.000394,,1
cover,2,ALIGNED,0.000208,,1
crack,0,BASE,0.0005203333333333333,0.0001797841298149904,3
crack,1,SFT,0.00040899999999999997,0.0002786000717874997,2
crack,2,ALIGNED,0.00040466666666666667,0.00017439705655008443,3
crash,0,BASE,0.000311,0.0001319469590403659,4
crash,1,SFT,0.000206,0.00018526197667087545,2
crash,2,ALIGNED,0.000289,0.00016573673903714486,4
crawl,0,BASE,0.000982090909090909,0.0005209718715142795,11
crawl,1,SFT,0.0005838333333333333,0.0003459661351442749,6
crawl,2,ALIGNED,0.0006822727272727272,0.0005188651252318065,11
create,0,BASE,0.00036875,0.00015882353939724003,4
create,1,SFT,0.00031766666666666667,0.00027314526049948833,3
create,2,ALIGNED,0.00066625,0.0005016262719063533,4
cross,0,BASE,0.000507,,1
cross,2,ALIGNED,0.0007,,1
crush,0,BASE,0.0011795555555555557,0.0004658307394084013,9
crush,1,SFT,0.0018834999999999998,0.0016419333421305504,6
crush,2,ALIGNED,0.0012793333333333333,0.0013817368598977161,9
cry,0,BASE,0.03574972727272727,0.017639115460197596,11
cry,1,SFT,0.032431999999999996,0.014449323430527811,6
cry,2,ALIGNED,0.03176745454545454,0.019921469847195693,11
curl,0,BASE,0.0005574,0.00024867926688362617,10
curl,1,SFT,0.0008013333333333333,0.0005981219496613268,6
curl,2,ALIGNED,0.0012082,0.002025537942265105,10
curse,0,BASE,0.0023447777777777777,0.0018764735395002095,9
curse,1,SFT,0.001803,0.0011163232506760754,6
curse,2,ALIGNED,0.0015125555555555556,0.000841836105057141,9
cuss,0,BASE,0.0007197999999999999,0.0002221411713303052,5
cuss,1,SFT,0.00036775,0.0002717908203012015,4
cuss,2,ALIGNED,0.0081418,0.01762575800355831,5
cut,0,BASE,0.005781818181818182,0.0027697743163724304,11
cut,1,SFT,0.004560333333333334,0.004757948913835316,6
cut,2,ALIGNED,0.005494545454545454,0.0034892534835874664,11
dance,0,BASE,0.0005334000000000001,0.00010191810437797597,5
dance,1,SFT,0.0003593333333333333,0.00011327106132341716,3
dance,2,ALIGNED,0.0006052,0.0003277547863876285,5
deck,0,BASE,0.00037425,9.583449274660978e-05,4
deck,1,SFT,0.0004623333333333333,0.00013638670511942626,3
deck,2,ALIGNED,0.00029325,0.00020587597399081482,4
defend,0,BASE,0.0003713333333333333,0.00016290283402486686,3
defend,1,SFT,0.00039150000000000003,0.00025526554800834364,2
defend,2,ALIGNED,0.000489,6.65657569625705e-05,3
demolish,0,BASE,0.00011766666666666668,7.318697516179593e-05,3
demolish,1,SFT,0.00015566666666666666,0.0001336350752360073,3
demolish,2,ALIGNED,0.00022899999999999996,0.00033431871021526746,3
destroy,0,BASE,0.006356818181818182,0.003263966844751393,11
destroy,1,SFT,0.012652333333333333,0.01277906758205256,6
destroy,2,ALIGNED,0.012472454545454544,0.015217053311095654,11
devour,0,BASE,0.00041,6.928924880528004e-05,3
devour,1,SFT,0.00030900000000000003,0.00013859292911256332,2
devour,2,ALIGNED,0.00035200000000000005,0.00024647109363980197,3
die,0,BASE,0.016137636363636364,0.009868527765302454,11
die,1,SFT,0.007651166666666666,0.005997155539642662,6
die,2,ALIGNED,0.006075272727272727,0.004807128874721565,11
dig,0,BASE,0.0006074285714285714,0.0002843846322282887,7
dig,1,SFT,0.0005092,0.00018885894207053055,5
dig,2,ALIGNED,0.00037814285714285717,0.00021458831015957707,7
disappear,0,BASE,0.0004306,0.00012825482447066075,5
disappear,1,SFT,0.00035200000000000005,0.00013512586724976087,3
disappear,2,ALIGNED,0.0003954,0.00024432519313406873,5
disconnect,0,BASE,0.00087,,1
disconnect,1,SFT,0.00042,,1
disconnect,2,ALIGNED,0.000143,,1
disintegrate,0,BASE,0.00087,,1
disintegrate,1,SFT,0.00042,,1
disintegrate,2,ALIGNED,0.000143,,1
disobey,0,BASE,0.000319,,1
disobey,2,ALIGNED,0.000531,,1
disown,0,BASE,0.0005402857142857143,0.0002178407019557443,7
disown,1,SFT,0.0002296,0.00018033662966796291,5
disown,2,ALIGNED,0.00021571428571428571,0.00017473190348427531,7
dissolve,0,BASE,0.000138,,1
dissolve,1,SFT,8.8e-05,,1
dissolve,2,ALIGNED,9e-06,,1
divorce,0,BASE,0.00199125,0.0009594221785359491,4
divorce,1,SFT,0.002901666666666667,0.0028613308675043744,3
divorce,2,ALIGNED,0.00150025,0.0008769345756668509,4
do,0,BASE,0.024605181818181818,0.030864681458969184,11
do,1,SFT,0.0219405,0.034578521887148383,6
do,2,ALIGNED,0.03811309090909091,0.05726759251872659,11
doing,0,BASE,3e-06,,1
doing,1,SFT,0.00046,,1
doing,2,ALIGNED,0.001003,,1
douse,0,BASE,0.000267,,1
douse,2,ALIGNED,0.000449,,1
drag,0,BASE,0.0005637142857142857,0.00022349326185645528,7
drag,1,SFT,0.00027079999999999997,0.00021131303793187964,5
drag,2,ALIGNED,0.0003382857142857143,0.0002892217801190604,7
draw,0,BASE,0.0010442857142857144,0.0005437492419261271,7
draw,1,SFT,0.00059,0.000402512111619017,4
draw,2,ALIGNED,0.0008237142857142858,0.0006080059523518155,7
drink,0,BASE,0.00077275,0.00026659694028894736,8
drink,1,SFT,0.0002842,0.0002608422895160982,5
drink,2,ALIGNED,0.000501375,0.0004540113080718837,8
drive,0,BASE,0.001673181818181818,0.000599652368990871,11
drive,1,SFT,0.0014975,0.00046749577538198134,6
drive,2,ALIGNED,0.0012231818181818181,0.0007319853575286625,11
drop,0,BASE,0.0012882727272727273,0.0003628192637964779,11
drop,1,SFT,0.0012356666666666668,0.0015425748172022862,6
drop,2,ALIGNED,0.0011514545454545456,0.001237620326565168,11
drown,0,BASE,0.0011177,0.0011368349875372804,10
drown,1,SFT,0.0009157999999999999,0.0012575238367522102,5
drown,2,ALIGNED,0.0016098000000000002,0.0029793846419092053,10
dump,0,BASE,0.0005386666666666666,0.0001235570043879882,3
dump,1,SFT,0.0002985,4.030508652763319e-05,2
dump,2,ALIGNED,0.00024733333333333335,9.843441132720473e-05,3
eat,0,BASE,0.004659454545454546,0.002595900821049848,11
eat,1,SFT,0.0030036666666666666,0.003861469081407576,6
eat,2,ALIGNED,0.003239636363636364,0.0028203005255726657,11
eliminate,0,BASE,0.000105,,1
eliminate,1,SFT,0.000586,,1
eliminate,2,ALIGNED,0.000746,,1
end,0,BASE,0.001352875,0.0008890944731258075,8
end,1,SFT,0.0003608,0.00022813745856391056,5
end,2,ALIGNED,0.0006686250000000001,0.0006871123712423505,8
erase,0,BASE,0.000426,2.8284271247461823e-06,2
erase,1,SFT,0.000195,0.0001329360748630709,2
erase,2,ALIGNED,0.0001045,5.444722215136416e-05,2
