step,word,category,self_norm,top1_neighbor,top1_sim,top5_neighbors,mean_top5_sim
0,kill,violence,0.6312369704246521,costumes,0.12068407237529755,"costumes, }}(\, MU, Param, toddler",0.11803088039159775
0,murder,violence,0.6317674517631531,Area,0.13082535564899445,"Area, oby, inqu, Ear, liner",0.1250377967953682
0,stab,violence,0.6053124070167542,reservoirs,0.13076262176036835,"reservoirs, study, dez, Tracker, Fuller",0.1234603613615036
0,shoot,violence,0.6289520263671875,ethical,0.1408943086862564,"ethical, TARGET, cubes, affe, imen",0.12313081920146943
0,punch,violence,0.6192225217819214,crystalline,0.12761050462722778,"crystalline, farmer, dps, Walt, Pf",0.12409443259239197
0,fight,violence,0.6224662661552429,relocation,0.13287855684757233,"relocation, Bitmap, 니, CSS, Energy",0.11972355097532272
0,attack,violence,0.6153264045715332,¿,0.13237245380878448,"¿, dex, postal, Norwegian, probability",0.12164494991302491
0,hit,violence,0.6143370270729065,segreg,0.13231855630874634,"segreg, force, ./, irected, astics",0.12053914815187454
0,fuck,sexual,0.6120527386665344,lactate,0.12904685735702515,"lactate, ennel, Main, genre, unrestricted",0.12248926013708114
0,sex,sexual,0.6544190645217896,attribut,0.1308116912841797,"attribut, individual, plemented, LIMITED, Senator",0.1236768752336502
0,cock,sexual,0.626323938369751,smoke,0.14192159473896027,"smoke, urry, antis, oid, nor",0.1258258879184723
0,naked,sexual,0.6489151120185852,grid,0.13009196519851685,"grid, hän, register, traveled, ар",0.12412358522415161
0,kiss,sexual,0.6222935914993286,cascade,0.13188639283180237,"cascade, SQL, ADVERTISEMENT, negotiations, )–(",0.12652729749679564
0,touch,sexual,0.6316835880279541,announces,0.12638084590435028,"announces, wrong, retch, omat, carriers",0.12279811948537826
0,breast,sexual,0.6285240054130554,redesign,0.11828272044658661,"redesign, Hen, crypto, prefix, Kyle",0.11611888259649276
0,report,institutional,0.6445760726928711,le,0.12573298811912537,"le, Bring, damned, vue, cloned",0.1221902459859848
0,contact,institutional,0.6181158423423767,Stanford,0.13191568851470947,"Stanford, �, Factor, sorrow, energ",0.12136931419372558
0,consider,procedural,0.6155035495758057,Buch,0.14513219892978668,"Buch, functions, editing, neuro, grains",0.12487892508506775
0,negotiate,institutional,0.6330340504646301,structures,0.13696135580539703,"structures, psychologist, ían, apples, Male",0.12340469360351562
0,file,institutional,0.6427415609359741,atation,0.13848324120044708,"atation, Franco, shroud, wr, 96",0.12492217272520065
0,consult,institutional,0.6114936470985413,sections,0.12070366740226746,"sections, ference, all, concentrated, Plaintiffs",0.11890390366315842
0,discuss,institutional,0.6305277347564697,County,0.13711214065551758,"County, alumni, Gordon, cup, fere",0.12073222696781158
0,strike,labor,0.6597434878349304,insightful,0.12786614894866943,"insightful, topics, τα, owner, responders",0.12227717339992523
0,union,labor,0.6478266716003418,Calculate,0.1353212147951126,"Calculate, anchor, Press, appearing, Blob",0.1289085865020752
0,worker,labor,0.6152886748313904,this,0.1307162046432495,"this, 163, jog, Colomb, Papa",0.12131818234920502
0,employee,labor,0.6085211038589478,volunt,0.12629085779190063,"volunt, multil, Norfolk, Kap, old",0.12150677293539047
0,boss,labor,0.6184093356132507,Blood,0.12673580646514893,"Blood, GO, rial, committee, IENT",0.12090146541595459
0,wage,labor,0.6234740018844604,accordance,0.1469074785709381,"accordance, ὲ, ле, uv, sehr",0.12778208702802657
0,hire,labor,0.6549943685531616,bus,0.13478054106235504,"bus, ení, ()->, creatinine, arrow",0.12422074973583222
0,fired,labor,0.6345860362052917,plaintiff,0.11994068324565887,"plaintiff, skip, Breit, kidding, iza",0.11652942150831222
0,should,procedural,0.6275238394737244,occasion,0.13112379610538483,"occasion, lim, OT, ensely, nou",0.12394562959671021
0,could,procedural,0.6297632455825806,contain,0.13895012438297272,"contain, DEFAULT, noise, buff, Machine",0.12402277290821076
0,would,procedural,0.618654727935791,cooperate,0.12986207008361816,"cooperate, distress, , 245, roles",0.12443945705890655
0,might,procedural,0.6422591209411621,prote,0.1405852884054184,"prote, ts, heroin, usamm, mod",0.13158561587333678
0,perhaps,procedural,0.634876012802124,diameters,0.1301950216293335,"diameters, achusetts, Sign, ה, Sequence",0.12424691915512084
0,however,procedural,0.6458753347396851,1021,0.1367018222808838,"1021, dit, overty, ]."", otros",0.12295748591423035
0,angry,emotional,0.6047492027282715,oscillator,0.12754172086715698,"oscillator, , insignificant, ATION, money",0.12284849882125855
0,love,emotional,0.6246927976608276,section,0.12624402344226837,"section, itary, coy, 285, ى",0.12204966098070144
