model,family,tokenizer,english,contract,numeric,cjk,mixed,verdict
allenai/OLMoE-1B-7B-0125-SFT,olmoe,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
allenai/OLMoE-1B-7B-0125-DPO,olmoe,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
allenai/OLMoE-1B-7B-0125-Instruct,olmoe,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
microsoft/phi-4,phi4,TokenizersBackend,exact,exact,exact,exact,exact,clean
microsoft/phi-4-reasoning,phi4,TokenizersBackend,exact,exact,exact,exact,exact,clean
EleutherAI/pythia-6.9b,pythia,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
lomahony/eleuther-pythia6.9b-hh-sft,pythia,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
lomahony/eleuther-pythia6.9b-hh-dpo,pythia,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
Qwen/Qwen2.5-7B,qwen,Qwen2Tokenizer,exact,exact,exact,exact,exact,clean
Qwen/Qwen2.5-7B-Instruct,qwen,Qwen2Tokenizer,exact,exact,exact,exact,exact,clean
Qwen/Qwen2.5-0.5B,qwen-tiny,Qwen2Tokenizer,exact,exact,exact,exact,exact,clean
Qwen/Qwen2.5-0.5B-Instruct,qwen-tiny,Qwen2Tokenizer,exact,exact,exact,exact,exact,clean
Qwen/Qwen3-8B-Base,qwen3,Qwen2Tokenizer,exact,exact,exact,exact,exact,clean
Qwen/Qwen3-8B,qwen3,Qwen2Tokenizer,exact,exact,exact,exact,exact,clean
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,redpajama,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
togethercomputer/RedPajama-INCITE-7B-Instruct,redpajama,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
togethercomputer/RedPajama-INCITE-7B-Chat,redpajama,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
RWKV/rwkv-4-7b-pile,rwkv,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
RWKV/rwkv-raven-7b,rwkv,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
HuggingFaceTB/SmolLM2-360M,smol,GPT2Tokenizer,exact,exact,exact,exact,exact,clean
HuggingFaceTB/SmolLM2-360M-Instruct,smol,GPT2Tokenizer,exact,exact,exact,exact,exact,clean
HuggingFaceTB/SmolLM3-3B-Base,smol3,TokenizersBackend,exact,exact,exact,exact,exact,clean
HuggingFaceTB/SmolLM3-3B,smol3,TokenizersBackend,exact,exact,exact,exact,exact,clean
stabilityai/stablelm-2-1_6b,stablelm,TokenizersBackend,exact,exact,exact,exact,exact,clean
stabilityai/stablelm-2-1_6b-chat,stablelm,TokenizersBackend,exact,exact,exact,exact,exact,clean
stabilityai/stablelm-2-zephyr-1_6b,stablelm,TokenizersBackend,exact,exact,exact,exact,exact,clean
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,tinyllama,LlamaTokenizer,exact,exact,exact,exact,exact,clean
TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,LlamaTokenizer,exact,exact,exact,exact,exact,clean
allenai/Llama-3.1-Tulu-3-8B-SFT,tulu,TokenizersBackend,exact,exact,exact,exact,exact,clean
allenai/Llama-3.1-Tulu-3-8B-DPO,tulu,TokenizersBackend,exact,exact,exact,exact,exact,clean
allenai/Llama-3.1-Tulu-3.1-8B,tulu,TokenizersBackend,exact,exact,exact,exact,exact,clean
allenai/Llama-3.1-Tulu-3-8B-SFT-no-safety-data,tulu-no-safety,TokenizersBackend,exact,exact,exact,exact,exact,clean
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,tulu-sft-nomath,TokenizersBackend,exact,exact,exact,exact,exact,clean
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,tulu-sft-nopersona,TokenizersBackend,exact,exact,exact,exact,exact,clean
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,tulu-sft-nowildchat,TokenizersBackend,exact,exact,exact,exact,exact,clean
01-ai/Yi-1.5-9B,yi,LlamaTokenizer,exact,exact,exact,exact,exact,clean
01-ai/Yi-1.5-9B-Chat,yi,LlamaTokenizer,exact,exact,exact,exact,exact,clean
mistralai/Mistral-7B-v0.1,zephyr,TokenizersBackend,exact,exact,exact,exact,exact,clean
HuggingFaceH4/mistral-7b-sft-beta,zephyr,TokenizersBackend,exact,exact,exact,exact,exact,clean
HuggingFaceH4/zephyr-7b-beta,zephyr,TokenizersBackend,exact,exact,exact,exact,exact,clean
