family,role,category,pos,n,resistance,median
minicpm,ego,death,3,500,0.047335852580712906,0.033830179433800074
minicpm,ego,death,4,500,0.1498339667641602,0.03525739342583133
minicpm,ego,death,5,500,0.025284222090751325,0.016730677106630346
minicpm,ego,death,6,500,0.05028785164663923,0.012925441282147624
minicpm,ego,death,7,500,0.04033527310511268,0.04096082538021438
minicpm,ego,death,8,500,0.0410140490005065,0.03356684639784139
minicpm,ego,death,9,500,0.0363901064039234,0.018791376662419042
olmo,ego,death,0,1000,0.5672685696723917,0.11492831482068919
olmo,ego,death,1,1000,-0.3137796788042168,-0.028563317960831697
olmo,ego,death,2,1000,0.24397735315409905,0.09283495816779763
olmo,ego,death,3,1000,0.23477864556690792,0.14747493711737308
olmo,ego,death,4,1000,0.3324472583422097,0.15926594739778202
olmo,ego,death,5,1000,0.23978877141375887,0.058752778054807
olmo,ego,death,6,1000,0.025959855300658502,0.05781799284862808
olmo,ego,death,7,1000,0.23249316336616618,0.06320080991921939
olmo,ego,death,8,1000,0.15402626979736025,0.007653630638997381
olmo,ego,death,9,974,0.07503040752477892,0.024506517668769844
olmo-hybrid,ego,death,0,500,0.09758655547444889,0.11347553315813429
olmo-hybrid,ego,death,1,500,0.0944819267063908,0.038558427141056235
olmo-hybrid,ego,death,2,500,0.06262572846107302,0.04015155952679255
olmo-hybrid,ego,death,3,500,0.1582765561300437,0.14105176072026565
olmo-hybrid,ego,death,4,500,0.14467673174634402,0.05979366050133236
olmo-hybrid,ego,death,5,500,0.1332316578365419,0.10082574807472311
olmo-hybrid,ego,death,6,500,0.09261117738334058,0.07122532754242537
olmo-hybrid,ego,death,7,500,0.08375903288110692,0.06444724754673448
olmo-hybrid,ego,death,8,500,0.08900295993872283,0.05351233990677079
olmo-hybrid,ego,death,9,500,0.0715039629923735,0.049200535097692906
olmo-tiny,ego,death,0,1000,-0.5277255338005732,-0.15433707906488506
olmo-tiny,ego,death,1,1000,-0.2219209972452416,0.08135376337582861
