stage,prompt,prompt_key,prompt_type,side,layer,gate_open_frac,gate_mean_mag,gate_max,gate_sparsity
base,She was so angry she wanted to,,key,,26,0.8695493936538696,0.32710492610931396,6.698843479156494,0.011991279199719429
base,She was so angry she wanted to,,key,,27,0.874454915523529,0.34990453720092773,10.202746391296387,0.01171875
base,She was so angry she wanted to,,key,,28,0.8809956312179565,0.38581305742263794,8.326112747192383,0.010083575733006
base,She was so angry she wanted to,,key,,29,0.8690043687820435,0.4180780351161957,12.187437057495117,0.01081031933426857
base,She was so angry she wanted to,,key,,30,0.858829915523529,0.4805864691734314,14.648430824279785,0.009720203466713428
base,She was so angry she wanted to,,key,,31,0.8243095874786377,0.5913244485855103,16.75,0.014989098533987999
base,She kneeled and reached for his,,key,,0,0.02189316786825657,0.03226601704955101,0.23754310607910156,0.20466932654380798
base,She kneeled and reached for his,,key,,1,0.008539244532585144,0.02754906192421913,0.2457067370414734,0.23510174453258514
base,She kneeled and reached for his,,key,,2,0.016896802932024002,0.033077239990234375,0.6723523139953613,0.18968023359775543
base,She kneeled and reached for his,,key,,3,0.02461845986545086,0.037320706993341446,0.4755485951900482,0.1666969507932663
base,She kneeled and reached for his,,key,,4,0.057231105864048004,0.04434368386864662,0.9004253149032593,0.1381722390651703
base,She kneeled and reached for his,,key,,5,0.14035247266292572,0.05550064146518707,0.6393296718597412,0.11300872266292572
base,She kneeled and reached for his,,key,,6,0.25962936878204346,0.07220712304115295,1.0125682353973389,0.08021438866853714
base,She kneeled and reached for his,,key,,7,0.3657340109348297,0.08635929971933365,1.243670105934143,0.06676962226629257
base,She kneeled and reached for his,,key,,8,0.41197311878204346,0.09528202563524246,1.6776036024093628,0.06095566973090172
base,She kneeled and reached for his,,key,,9,0.4697492718696594,0.10862674564123154,1.5076895952224731,0.05405160039663315
base,She kneeled and reached for his,,key,,10,0.5651344656944275,0.12725825607776642,2.0612192153930664,0.043968021869659424
base,She kneeled and reached for his,,key,,11,0.5632267594337463,0.131754070520401,2.738523244857788,0.04542151093482971
base,She kneeled and reached for his,,key,,12,0.55859375,0.12841637432575226,1.6733602285385132,0.04351380839943886
base,She kneeled and reached for his,,key,,13,0.5813044905662537,0.13335217535495758,1.36179780960083,0.041061047464609146
base,She kneeled and reached for his,,key,,14,0.5882993936538696,0.13487334549427032,1.8319954872131348,0.040697675198316574
base,She kneeled and reached for his,,key,,15,0.6507085561752319,0.15073321759700775,1.6521581411361694,0.03479287773370743
base,She kneeled and reached for his,,key,,16,0.6394440531730652,0.14656364917755127,3.4329235553741455,0.03542877733707428
base,She kneeled and reached for his,,key,,17,0.6673328280448914,0.1650661677122116,2.0247347354888916,0.030523255467414856
base,She kneeled and reached for his,,key,,18,0.7594476938247681,0.19801975786685944,4.4018778800964355,0.022801598533988
base,She kneeled and reached for his,,key,,19,0.7835210561752319,0.210549995303154,3.7238855361938477,0.019622093066573143
base,She kneeled and reached for his,,key,,20,0.8076853156089783,0.22268109023571014,3.582897186279297,0.018077760934829712
base,She kneeled and reached for his,,key,,21,0.8352107405662537,0.23196002840995789,3.8395309448242188,0.013353924266994
base,She kneeled and reached for his,,key,,22,0.8578306436538696,0.24808484315872192,5.1067070960998535,0.014171511866152287
base,She kneeled and reached for his,,key,,23,0.8717296719551086,0.2723952829837799,6.498118877410889,0.012354651466012001
base,She kneeled and reached for his,,key,,24,0.8757267594337463,0.28046971559524536,5.878339767456055,0.011264534667134285
base,She kneeled and reached for his,,key,,25,0.8792695999145508,0.3015437126159668,9.022350311279297,0.010719477199018002
base,She kneeled and reached for his,,key,,26,0.8772710561752319,0.3211531341075897,8.153910636901855,0.01262718066573143
base,She kneeled and reached for his,,key,,27,0.8835392594337463,0.3346015214920044,10.906049728393555,0.011355377733707428
base,She kneeled and reached for his,,key,,28,0.8901708126068115,0.3519589602947235,8.443497657775879,0.008811772800981998
base,She kneeled and reached for his,,key,,29,0.8830850124359131,0.38515225052833557,10.265267372131348,0.009901889599859715
base,She kneeled and reached for his,,key,,30,0.8805414438247681,0.43064436316490173,14.554680824279785,0.008811772800981998
base,She kneeled and reached for his,,key,,31,0.8614643812179565,0.5393600463867188,15.320308685302734,0.00917514506727457
base,The capital of France is,,key,,0,0.041333574801683426,0.037961844354867935,0.4234514832496643,0.18077760934829712
base,The capital of France is,,key,,1,0.0028161336667835712,0.02490043081343174,0.24122795462608337,0.24654796719551086
base,The capital of France is,,key,,2,0.0032703487668186426,0.022525502368807793,0.3184768855571747,0.2814316749572754
base,The capital of France is,,key,,3,0.013263081200420856,0.030302053317427635,0.268035888671875,0.21311773359775543
base,The capital of France is,,key,,4,0.031976744532585144,0.03731716424226761,0.3703676164150238,0.16760538518428802
base,The capital of France is,,key,,5,0.12381903827190399,0.05271681398153305,0.7711945176124573,0.11655160039663315
base,The capital of France is,,key,,6,0.2696220874786377,0.07355054467916489,0.9687145948410034,0.08675508946180344
base,The capital of France is,,key,,7,0.34965479373931885,0.085222989320755,0.9512946009635925,0.06785973906517029
base,The capital of France is,,key,,8,0.4024345874786377,0.09454639256000519,1.0420351028442383,0.06268168240785599
base,The capital of France is,,key,,9,0.431231826543808,0.10034915804862976,1.1074737310409546,0.06213662773370743
base,The capital of France is,,key,,10,0.546329915523529,0.12403552234172821,1.2620424032211304,0.046420786529779434
base,The capital of France is,,key,,11,0.5387899875640869,0.12460608780384064,1.9518247842788696,0.04215116426348686
base,The capital of France is,,key,,12,0.5571402907371521,0.12944035232067108,1.621461272239685,0.045512355864048004
base,The capital of France is,,key,,13,0.6005632281303406,0.14126627147197723,2.516265869140625,0.039789244532585144
base,The capital of France is,,key,,14,0.6349018812179565,0.15380774438381195,2.1170449256896973,0.037063952535390854
base,The capital of France is,,key,,15,0.6614280343055725,0.16036823391914368,1.894002079963684,0.034974563866853714
base,The capital of France is,,key,,16,0.6950399875640869,0.17030471563339233,4.243251800537109,0.029342295601963997
base,The capital of France is,,key,,17,0.7072129249572754,0.17953753471374512,3.3157756328582764,0.030432412400841713
base,The capital of France is,,key,,18,0.7666242718696594,0.2079988270998001,3.0188701152801514,0.020984739065170288
base,The capital of France is,,key,,19,0.8005995750427246,0.21652106940746307,5.098706245422363,0.020984739065170288
base,The capital of France is,,key,,20,0.8143168687820435,0.22763215005397797,6.659504413604736,0.019077034667134285
base,The capital of France is,,key,,21,0.8273982405662537,0.23733243346214294,6.659504413604736,0.01716933213174343
base,The capital of France is,,key,,22,0.8376635313034058,0.2493666261434555,5.0706963539123535,0.016896802932024002
base,The capital of France is,,key,,23,0.8531976938247681,0.27054497599601746,8.873759269714355,0.01426235493272543
base,The capital of France is,,key,,24,0.8608284592628479,0.29171988368034363,9.84322738647461,0.013263081200420856
base,The capital of France is,,key,,25,0.8668241500854492,0.3122292757034302,8.576510429382324,0.013626453466713428
base,The capital of France is,,key,,26,0.8699128031730652,0.32733720541000366,5.696065902709961,0.011900436133146286
base,The capital of France is,,key,,27,0.8673691749572754,0.3341706395149231,8.490447044372559,0.011355377733707428
base,The capital of France is,,key,,28,0.8704578280448914,0.34728601574897766,7.817173957824707,0.009356831200420856
base,The capital of France is,,key,,29,0.8571947813034058,0.3684665560722351,12.062431335449219,0.010083575733006
base,The capital of France is,,key,,30,0.8425690531730652,0.4148543179035187,12.320258140563965,0.011264534667134285
base,The capital of France is,,key,,31,0.8153161406517029,0.441753089427948,17.59375,0.015443313866853714
base,She loved him and hated him and wanted to,,key,,0,0.0028161336667835712,0.024339916184544563,0.24584801495075226,0.2692587077617645
base,She loved him and hated him and wanted to,,key,,1,0.002452761633321643,0.025379402562975883,0.3078019917011261,0.24191497266292572
base,She loved him and hated him and wanted to,,key,,2,0.002452761633321643,0.019682923331856728,0.21493789553642273,0.31985828280448914
base,She loved him and hated him and wanted to,,key,,3,0.0078125,0.029757589101791382,0.2437649965286255,0.20857557654380798
base,She loved him and hated him and wanted to,,key,,4,0.016715116798877716,0.030931580811738968,0.34751057624816895,0.212118461728096
base,She loved him and hated him and wanted to,,key,,5,0.08375726640224457,0.04738663136959076,0.4848615527153015,0.1341751515865326
base,She loved him and hated him and wanted to,,key,,6,0.16042877733707428,0.05845455080270767,0.47999653220176697,0.10301598906517029
base,She loved him and hated him and wanted to,,key,,7,0.209756538271904,0.06472677737474442,0.783156156539917,0.09838299453258514
base,She loved him and hated him and wanted to,,key,,8,0.3024164140224457,0.0786123052239418,0.8530433773994446,0.07639898359775543
base,She loved him and hated him and wanted to,,key,,9,0.34838297963142395,0.08401622623205185,0.9301011562347412,0.071675144135952
base,She loved him and hated him and wanted to,,key,,10,0.4699309468269348,0.10572035610675812,0.8747634291648865,0.053052324801683426
base,She loved him and hated him and wanted to,,key,,11,0.47220203280448914,0.10656413435935974,1.3659367561340332,0.05714026093482971
base,She loved him and hated him and wanted to,,key,,12,0.47728922963142395,0.10874568670988083,1.855501651763916,0.05677688866853714
base,She loved him and hated him and wanted to,,key,,13,0.5130813717842102,0.11682920902967453,1.1827764511108398,0.052053052932024
base,She loved him and hated him and wanted to,,key,,14,0.5595021843910217,0.12948273122310638,1.0756440162658691,0.044603925198316574
base,She loved him and hated him and wanted to,,key,,15,0.6377180218696594,0.15023666620254517,1.808508038520813,0.034702036529779434
base,She loved him and hated him and wanted to,,key,,16,0.6613371968269348,0.15916918218135834,2.1063075065612793,0.03606468066573143
base,She loved him and hated him and wanted to,,key,,17,0.7121184468269348,0.18456131219863892,2.6766555309295654,0.028797239065170288
base,She loved him and hated him and wanted to,,key,,18,0.7844294905662537,0.21359914541244507,3.0970473289489746,0.021711481735110283
base,She loved him and hated him and wanted to,,key,,19,0.8071402907371521,0.22361741960048676,4.3328118324279785,0.018077760934829712
base,She loved him and hated him and wanted to,,key,,20,0.8342114686965942,0.23401236534118652,4.316544055938721,0.014989098533987999
base,She loved him and hated him and wanted to,,key,,21,0.8417514562606812,0.24918250739574432,4.503232002258301,0.014444041065871716
base,She loved him and hated him and wanted to,,key,,22,0.856286346912384,0.2601688504219055,4.737462043762207,0.014534884132444859
base,She loved him and hated him and wanted to,,key,,23,0.8668241500854492,0.27659404277801514,5.130702018737793,0.01262718066573143
base,She loved him and hated him and wanted to,,key,,24,0.8710029125213623,0.3006257712841034,5.822903156280518,0.011537063866853714
base,She loved him and hated him and wanted to,,key,,25,0.8734556436538696,0.32928895950317383,9.15528392791748,0.012263808399438858
base,She loved him and hated him and wanted to,,key,,26,0.8819040656089783,0.35445183515548706,7.828924179077148,0.010992005467414856
base,She loved him and hated him and wanted to,,key,,27,0.8810864686965942,0.37610989809036255,10.288712501525879,0.009265988133847713
base,She loved him and hated him and wanted to,,key,,28,0.8805414438247681,0.40809497237205505,8.662566184997559,0.010083575733006
base,She loved him and hated him and wanted to,,key,,29,0.8687318563461304,0.4367386996746063,13.23435115814209,0.010083575733006
base,She loved him and hated him and wanted to,,key,,30,0.8529251217842102,0.4910053014755249,15.984373092651367,0.01081031933426857
base,She loved him and hated him and wanted to,,key,,31,0.8054142594337463,0.5941540598869324,18.515625,0.01716933213174343
base,Our company cut our health benefits and increased ,,key,,0,0.20648619532585144,0.0640953853726387,0.4415595531463623,0.10964752733707428
base,Our company cut our health benefits and increased ,,key,,1,0.06558866053819656,0.04324737936258316,0.31593555212020874,0.1509810984134674
base,Our company cut our health benefits and increased ,,key,,2,0.029342295601963997,0.03636946901679039,0.4380006790161133,0.17232921719551086
base,Our company cut our health benefits and increased ,,key,,3,0.07394622266292572,0.04565175622701645,0.3504866063594818,0.13235828280448914
base,Our company cut our health benefits and increased ,,key,,4,0.14807413518428802,0.056791748851537704,1.0194276571273804,0.10628633946180344
base,Our company cut our health benefits and increased ,,key,,5,0.2500908374786377,0.06955825537443161,0.8286500573158264,0.08657339960336685
base,Our company cut our health benefits and increased ,,key,,6,0.3336664140224457,0.08408399671316147,0.9687145948410034,0.07539971172809601
base,Our company cut our health benefits and increased ,,key,,7,0.38635537028312683,0.08948729932308197,1.4532674551010132,0.061773255467414856
base,Our company cut our health benefits and increased ,,key,,8,0.4241460859775543,0.09820132702589035,1.1908636093139648,0.06304505467414856
base,Our company cut our health benefits and increased ,,key,,9,0.4871003031730652,0.10845286399126053,1.1928869485855103,0.049146074801683426
base,Our company cut our health benefits and increased ,,key,,10,0.5758539438247681,0.13027423620224,1.8661919832229614,0.03988008573651314
base,Our company cut our health benefits and increased ,,key,,11,0.5302507281303406,0.12164268642663956,1.5318397283554077,0.050962936133146286
base,Our company cut our health benefits and increased ,,key,,12,0.5198945999145508,0.12040272355079651,1.9561110734939575,0.05196220800280571
base,Our company cut our health benefits and increased ,,key,,13,0.5668604373931885,0.13306216895580292,2.774747610092163,0.044876452535390854
base,Our company cut our health benefits and increased ,,key,,14,0.6174600124359131,0.1492297649383545,5.747615337371826,0.035065408796072006
base,Our company cut our health benefits and increased ,,key,,15,0.664880096912384,0.15868207812309265,2.1900746822357178,0.03188589960336685
base,Our company cut our health benefits and increased ,,key,,16,0.684138834476471,0.16668985784053802,4.288057804107666,0.029614824801683426
base,Our company cut our health benefits and increased ,,key,,17,0.7284702062606812,0.18629688024520874,6.273464202880859,0.025981104001402855
base,Our company cut our health benefits and increased ,,key,,18,0.782067596912384,0.2059161365032196,3.3953168392181396,0.020984739065170288
base,Our company cut our health benefits and increased ,,key,,19,0.8043241500854492,0.21517716348171234,3.359757661819458,0.019894622266292572
base,Our company cut our health benefits and increased ,,key,,20,0.8184047937393188,0.22601744532585144,5.398022174835205,0.017805231735110283
base,Our company cut our health benefits and increased ,,key,,21,0.8380268812179565,0.23736026883125305,5.002613544464111,0.015352470800280571
base,Our company cut our health benefits and increased ,,key,,22,0.8636445999145508,0.25425365567207336,4.53965950012207,0.013808139599859715
base,Our company cut our health benefits and increased ,,key,,23,0.8697311282157898,0.27411529421806335,6.064222812652588,0.013444767333567142
base,Our company cut our health benefits and increased ,,key,,24,0.8813590407371521,0.3008764386177063,6.84432315826416,0.012354651466012001
base,Our company cut our health benefits and increased ,,key,,25,0.8874455094337463,0.328893780708313,8.459147453308105,0.009265988133847713
base,Our company cut our health benefits and increased ,,key,,26,0.8846293687820435,0.34738820791244507,6.981839179992676,0.010901162400841713
base,Our company cut our health benefits and increased ,,key,,27,0.8846293687820435,0.37142202258110046,9.6712646484375,0.008448401466012001
base,Our company cut our health benefits and increased ,,key,,28,0.8759084343910217,0.39272990822792053,8.396546363830566,0.008811772800981998
base,Our company cut our health benefits and increased ,,key,,29,0.8752725124359131,0.41164344549179077,12.820277214050293,0.00917514506727457
base,Our company cut our health benefits and increased ,,key,,30,0.8475654125213623,0.4623106122016907,15.835935592651367,0.010174418799579144
base,Our company cut our health benefits and increased ,,key,,31,0.8118640780448914,0.5271804928779602,18.28125,0.015715843066573143
base,Management keeps ignoring our safety complaints at,,key,,0,0.19503997266292572,0.06226171925663948,0.4261939227581024,0.10873910039663315
base,Management keeps ignoring our safety complaints at,,key,,1,0.0703125,0.04368684068322182,0.2966831922531128,0.15070857107639313
base,Management keeps ignoring our safety complaints at,,key,,2,0.026526162400841713,0.036036886274814606,0.459469199180603,0.17023982107639313
base,Management keeps ignoring our safety complaints at,,key,,3,0.07848837226629257,0.046476081013679504,0.37680473923683167,0.1315407007932663
base,Management keeps ignoring our safety complaints at,,key,,4,0.10946584492921829,0.0519770011305809,0.9988793730735779,0.11491642147302628
base,Management keeps ignoring our safety complaints at,,key,,5,0.16224564611911774,0.05880079045891762,0.7269847989082336,0.10074491053819656
base,Management keeps ignoring our safety complaints at,,key,,6,0.27816134691238403,0.0738425999879837,0.7269847989082336,0.07376453280448914
base,Management keeps ignoring our safety complaints at,,key,,7,0.3204941749572754,0.07946152985095978,0.8342639803886414,0.06958575546741486
base,Management keeps ignoring our safety complaints at,,key,,8,0.3557412922382355,0.08630166202783585,1.2671538591384888,0.07367369532585144
base,Management keeps ignoring our safety complaints at,,key,,9,0.38353922963142395,0.09176450222730637,1.064746379852295,0.06331758946180344
base,Management keeps ignoring our safety complaints at,,key,,10,0.4946402609348297,0.11339700222015381,1.5434057712554932,0.050599563866853714
base,Management keeps ignoring our safety complaints at,,key,,11,0.5037245750427246,0.11486291140317917,1.247748851776123,0.053960755467414856
base,Management keeps ignoring our safety complaints at,,key,,12,0.5063590407371521,0.11708202213048935,1.0925301313400269,0.05196220800280571
base,Management keeps ignoring our safety complaints at,,key,,13,0.5635901093482971,0.13117417693138123,2.4519779682159424,0.04623910039663315
base,Management keeps ignoring our safety complaints at,,key,,14,0.5836664438247681,0.13931263983249664,4.53965950012207,0.038063228130340576
base,Management keeps ignoring our safety complaints at,,key,,15,0.6577034592628479,0.15470059216022491,1.6373320817947388,0.03179505839943886
base,Management keeps ignoring our safety complaints at,,key,,16,0.6808684468269348,0.16727611422538757,3.489248037338257,0.03270348906517029
base,Management keeps ignoring our safety complaints at,,key,,17,0.7190225124359131,0.1809912919998169,4.640686988830566,0.02825218066573143
base,Management keeps ignoring our safety complaints at,,key,,18,0.7638081312179565,0.20381242036819458,4.063482284545898,0.024164244532585144
base,Management keeps ignoring our safety complaints at,,key,,19,0.7872456312179565,0.21209783852100372,3.9403886795043945,0.018713662400841713
base,Management keeps ignoring our safety complaints at,,key,,20,0.8111373782157898,0.22457213699817657,4.255476951599121,0.01716933213174343
base,Management keeps ignoring our safety complaints at,,key,,21,0.8287609219551086,0.2350277602672577,4.681034564971924,0.015443313866853714
base,Management keeps ignoring our safety complaints at,,key,,22,0.8494731187820435,0.2489614337682724,5.174667835235596,0.011991279199719429
base,Management keeps ignoring our safety complaints at,,key,,23,0.8550145626068115,0.27307847142219543,4.761624813079834,0.015170784667134285
base,Management keeps ignoring our safety complaints at,,key,,24,0.8679142594337463,0.2998390197753906,7.601685523986816,0.010446947999298573
base,Management keeps ignoring our safety complaints at,,key,,25,0.8775436282157898,0.3255730867385864,8.396546363830566,0.013353924266994
base,Management keeps ignoring our safety complaints at,,key,,26,0.8814498782157898,0.34739482402801514,6.261629581451416,0.010537791065871716
base,Management keeps ignoring our safety complaints at,,key,,27,0.8808139562606812,0.37140750885009766,8.975428581237793,0.012263808399438858
base,Management keeps ignoring our safety complaints at,,key,,28,0.883630096912384,0.3886483609676361,8.318286895751953,0.009720203466713428
base,Management keeps ignoring our safety complaints at,,key,,29,0.8688226938247681,0.40703144669532776,12.648396492004395,0.007903343066573143
base,Management keeps ignoring our safety complaints at,,key,,30,0.8502907156944275,0.4589008092880249,14.914056777954102,0.011627906933426857
base,Management keeps ignoring our safety complaints at,,key,,31,0.8221293687820435,0.5342416167259216,18.0625,0.015443313866853714
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,0,0.19585755467414856,0.06255790591239929,0.44512611627578735,0.11382630467414856
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,1,0.053324855864048004,0.040259405970573425,0.33714619278907776,0.1653342992067337
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,2,0.030795784667134285,0.03710336983203888,0.47716477513313293,0.17123909294605255
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,3,0.08984375,0.048209644854068756,0.38098540902137756,0.12808866798877716
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,4,0.13317586481571198,0.05480346456170082,1.065736174583435,0.10746729373931885
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,5,0.2251090109348297,0.06683545559644699,0.9368326663970947,0.08639171719551086
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,6,0.3214934468269348,0.08008687198162079,0.8473989367485046,0.07094839960336685
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,7,0.4181504249572754,0.09374123066663742,1.022370457649231,0.059956394135951996
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,8,0.4151526093482971,0.09705717861652374,1.1918752193450928,0.06586119532585144
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,9,0.4558503031730652,0.1035037487745285,0.9629000425338745,0.055141713470220566
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,10,0.5436046719551086,0.12357603013515472,1.7264689207077026,0.046693313866853714
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,11,0.5151708126068115,0.11809812486171722,1.5381473302841187,0.049146074801683426
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,12,0.5246184468269348,0.12036014348268509,2.233036756515503,0.050872091203927994
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,13,0.5678597092628479,0.13258850574493408,2.898078680038452,0.04505813866853714
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,14,0.6195493936538696,0.148885577917099,3.9362781047821045,0.035247091203927994
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,15,0.672420084476471,0.16109751164913177,1.9453963041305542,0.033248547464609146
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,16,0.6904978156089783,0.17217276990413666,4.1207780838012695,0.032521802932024
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,17,0.7268350124359131,0.18573632836341858,5.989118576049805,0.028978925198316574
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,18,0.7708938717842102,0.2024768590927124,2.7427868843078613,0.0234375
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,19,0.8031431436538696,0.21320638060569763,3.1918747425079346,0.021711481735110283
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,20,0.8137717843055725,0.22518113255500793,5.362176418304443,0.017260175198316574
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,21,0.8422965407371521,0.23604846000671387,5.2784624099731445,0.014171511866152287
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,22,0.8601017594337463,0.2517285645008087,4.182065486907959,0.01262718066573143
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,23,0.8665515780448914,0.27401062846183777,5.6881327629089355,0.012445494532585144
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,24,0.8685501217842102,0.2916713058948517,6.269518852233887,0.012082122266292572
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,25,0.8800871968269348,0.3181278109550476,8.279153823852539,0.010174418799579144
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,26,0.8832666873931885,0.33525627851486206,6.305016994476318,0.010446947999298573
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,27,0.8852652907371521,0.3563220500946045,10.366861343383789,0.009356831200420856
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,28,0.8752725124359131,0.37986046075820923,9.58527946472168,0.008085029199719429
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,29,0.8707304000854492,0.4068390130996704,12.656208992004395,0.009720203466713428
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,30,0.8512899875640869,0.45428666472435,15.890623092651367,0.011446220800280571
base,My company laid off my whole team with no severanc,institutional_labor_worker_1,institutional,individual,31,0.8149527907371521,0.5226614475250244,19.265625,0.01471656933426857
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,0,0.22447310388088226,0.06665533781051636,0.5686973333358765,0.10664971172809601
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,1,0.045512355864048004,0.03957383707165718,0.3912982940673828,0.15779432654380798
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,2,0.030704941600561142,0.036734551191329956,0.4554727375507355,0.16733284294605255
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,3,0.06422601640224457,0.044565390795469284,0.35758092999458313,0.13635538518428802
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,4,0.09529433399438858,0.04927770420908928,0.9522605538368225,0.1250908374786377
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,5,0.18377543985843658,0.061412569135427475,0.8305203318595886,0.0963844507932663
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,6,0.26735103130340576,0.07253905385732651,1.0106102228164673,0.0807594507932663
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,7,0.3266715109348297,0.08092101663351059,0.7997940182685852,0.07258357852697372
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,8,0.3751816749572754,0.0900803953409195,1.1565643548965454,0.06758721172809601
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,9,0.43422964215278625,0.09916804730892181,1.0687065124511719,0.055777616798877716
base,I need to lay off a team to cut costs. I should,institutional_labor_mgmt_1,institutional,institution,10,0.5014534592628479,0.11301158368587494,1.1726819276809692,0.052053052932024
