f1,f2,js_base,js_aligned
olmo-tiny,zephyr,0.6398777365684509,0.63227778673172
pythia,qwen,0.6556991338729858,0.6728830337524414
pythia,qwen-tiny,0.6340886354446411,0.6388064622879028
pythia,smol,0.6650639772415161,0.6697573661804199
pythia,tulu,0.6395375728607178,0.6358990669250488
pythia,zephyr,0.6601071953773499,0.6655716896057129
qwen,qwen-tiny,0.21530106663703918,0.4340627193450928
qwen,smol,0.6657333374023438,0.6773051619529724
qwen,tulu,0.6553415060043335,0.6758624315261841
qwen,zephyr,0.6499823331832886,0.6639315485954285
qwen-tiny,smol,0.6453822255134583,0.645084023475647
qwen-tiny,tulu,0.6303157210350037,0.6483188271522522
qwen-tiny,zephyr,0.6240835189819336,0.621355414390564
smol,tulu,0.6370466947555542,0.633940577507019
smol,zephyr,0.6534977555274963,0.6494276523590088
tulu,zephyr,0.6268231868743896,0.6222506761550903
amber,deepseek-7b,0.6380809545516968,0.6575985550880432
amber,llama,0.6746169924736023,0.6834967136383057
amber,olmo,0.670457124710083,0.6821361780166626
amber,olmo-tiny,0.6719749569892883,0.6704850196838379
amber,pythia,0.668195903301239,0.6799401640892029
amber,qwen,0.6383983492851257,0.6779415607452393
amber,qwen-tiny,0.6415417194366455,0.6549381613731384
amber,smol,0.6700001955032349,0.6856430768966675
amber,tulu,0.6746169924736023,0.6788911819458008
amber,zephyr,0.6788680553436279,0.6921900510787964
deepseek-7b,llama,0.679824709892273,0.6855911016464233
deepseek-7b,olmo,0.6774303913116455,0.6843496561050415
deepseek-7b,olmo-tiny,0.6765580177307129,0.6856096982955933
deepseek-7b,pythia,0.6574171185493469,0.6627904176712036
deepseek-7b,qwen,0.6718958616256714,0.6879561543464661
deepseek-7b,qwen-tiny,0.6763323545455933,0.6827115416526794
deepseek-7b,smol,0.6450437307357788,0.6514211893081665
deepseek-7b,tulu,0.679824709892273,0.6869336366653442
deepseek-7b,zephyr,0.640249490737915,0.6547607779502869
llama,olmo,0.05155491083860397,0.18376171588897705
llama,olmo-tiny,0.04825060814619064,0.10172946751117706
llama,pythia,0.678632915019989,0.6821239590644836
llama,qwen,0.6529800891876221,0.67635178565979
llama,qwen-tiny,0.6631017327308655,0.6572756767272949
