direction,family,pos,n,resistance
reverse,qwen3,1,7300,0.8746182361622239
reverse,qwen3,2,7300,0.7748328662119899
reverse,qwen3,3,7300,0.9544760204953001
reverse,qwen3,4,7300,1.0140874704164808
reverse,qwen3,5,7300,0.9823781752217406
reverse,qwen3,6,7300,1.123739996143617
reverse,qwen3,7,7300,1.0230609831664774
reverse,qwen3,8,7300,0.9943494097970552
reverse,qwen3,9,7300,0.9428476283838535
forward,olmo-hybrid,0,14600,0.025508285340151524
forward,olmo-hybrid,1,14600,0.014785917484021225
forward,olmo-hybrid,2,14600,0.025623446021139248
forward,olmo-hybrid,3,14600,0.023959662331529595
forward,olmo-hybrid,4,14600,0.02461199281818633
forward,olmo-hybrid,5,14600,0.024457646566967757
forward,olmo-hybrid,6,14600,0.026037243025732126
forward,olmo-hybrid,7,14600,0.032256215125132465
forward,olmo-hybrid,8,14600,0.039205007503845674
forward,olmo-hybrid,9,14599,0.045674924192327604
reverse,olmo,0,21900,1.4005589450041116
reverse,olmo,1,21900,1.3719755472547652
reverse,olmo,2,21900,0.7055246937513384
reverse,olmo,3,21899,0.9881243259266997
reverse,olmo,4,21897,0.992020545856252
reverse,olmo,5,21897,0.8379050308624386
reverse,olmo,6,21884,0.897191931300458
reverse,olmo,7,21826,0.9165639804131203
reverse,olmo,8,21730,0.828939285309874
reverse,olmo,9,21532,0.9501779003085368
forward,smol,0,7300,0.8100751450465865
forward,smol,1,7300,-3.9093442008318764
forward,smol,2,7300,0.038139194534727486
forward,smol,3,7300,0.1230017531866072
forward,smol,4,7300,0.12623226316572017
forward,smol,5,7300,0.18808122185292
forward,smol,6,7300,0.19496437911389122
forward,smol,7,7300,0.19895282376398832
forward,smol,8,7300,0.2838657255529625
forward,smol,9,7279,0.38476622805724964
forward,stablelm,0,14600,0.5769365622574445
forward,stablelm,1,14600,0.20338833704459386
forward,stablelm,2,14600,0.26774674919351216
forward,stablelm,3,14600,0.21497246283542504
forward,stablelm,4,14600,0.2037045323515172
forward,stablelm,5,14600,0.20411053316017325
forward,stablelm,6,14600,0.20011337341291854
forward,stablelm,7,14600,0.1897258879315239
forward,stablelm,8,14599,0.20226637733462632
forward,stablelm,9,14596,0.17750094142420866
reverse,zephyr,0,14600,0.572207666437521
reverse,zephyr,1,14600,0.38042026647267513
reverse,zephyr,2,14600,0.5143788658166545
reverse,zephyr,3,14600,0.4581475376313323
reverse,zephyr,4,14600,0.4938247077089623
reverse,zephyr,5,14600,0.4568116333115107
reverse,zephyr,6,14600,0.47121052930139107
reverse,zephyr,7,14600,0.4559459910097435
reverse,zephyr,8,14600,0.46159876703932873
reverse,zephyr,9,14600,0.5283374786919433
forward,qwen3,0,7300,0.6403126418523274
forward,qwen3,1,7300,0.43879861751332877
forward,qwen3,2,7300,0.08313414702384252
forward,qwen3,3,7300,0.342531908747379
forward,qwen3,4,7300,0.3882327131710885
forward,qwen3,5,7300,0.7210779135996769
forward,qwen3,6,7300,0.6504097825231602
forward,qwen3,7,7300,0.6378250630055268
forward,qwen3,8,7293,0.5925497935042772
forward,qwen3,9,7288,0.7255182486501813
forward,minicpm,0,14600,0.021076679745177018
forward,minicpm,1,14600,0.00966706139083568
forward,minicpm,2,14600,0.019944867679888106
forward,minicpm,3,14600,0.018403449571948404
forward,minicpm,4,14600,0.01713551076142581
forward,minicpm,5,14600,0.020600796118424664
forward,minicpm,6,14600,0.018066547972091777
forward,minicpm,7,14600,0.018930237918134488
forward,minicpm,8,14599,0.02409006002058276
forward,minicpm,9,14589,0.019720034798089897
forward,olmo-tiny,0,36500,0.7516015549601603
forward,olmo-tiny,1,36500,0.11249350477334519
forward,olmo-tiny,2,36500,0.09852405725157046
forward,olmo-tiny,3,36500,0.23483700593068446
forward,olmo-tiny,4,36500,0.24343794399791246
forward,olmo-tiny,5,36500,0.22775492214250725
forward,olmo-tiny,6,36500,0.21831048317636098
forward,olmo-tiny,7,36497,0.20100769937557472
forward,olmo-tiny,8,36488,0.2027816575580023
forward,olmo-tiny,9,36479,0.23585890659606035
forward,qwen-tiny,0,7300,0.2426868592288743
forward,qwen-tiny,1,7300,0.6497752282822915
forward,qwen-tiny,2,7300,-0.05051811325037669
forward,qwen-tiny,3,7300,0.10365069505689323
forward,qwen-tiny,4,7300,0.03076560724857906
forward,qwen-tiny,5,7300,0.11827086127792609
forward,qwen-tiny,6,7300,0.009654820383613684
forward,qwen-tiny,7,7300,0.1414743649091364
forward,qwen-tiny,8,7299,0.1482026239273365
forward,qwen-tiny,9,7297,0.1021858593424345
reverse,smol,0,7300,-0.7407211011472157
reverse,smol,1,7300,4.6595936250259955
reverse,smol,2,7300,0.5234536775022437
reverse,smol,3,7300,0.45169970367076656
reverse,smol,4,7299,0.6118362267109988
reverse,smol,5,7297,0.5765148363717897
reverse,smol,6,7295,0.6373051939245356
reverse,smol,7,7291,0.595112692846538
reverse,smol,8,7282,0.5820828543001362
reverse,smol,9,7255,0.5502421875927579
forward,pythia,0,29200,-0.4251025200823418
forward,pythia,1,29200,-0.07864575734538141
forward,pythia,2,29200,-0.03702693801472729
forward,pythia,3,29200,-0.0299745441841609
forward,pythia,4,29200,-0.04911905250502187
forward,pythia,5,29200,-0.031252104383835556
forward,pythia,6,29200,-0.03825225403047285
forward,pythia,7,29200,-0.0265027245212415
forward,pythia,8,29200,0.11066469331132471
forward,pythia,9,28633,-0.018335070393966334
forward,deepseek-7b,0,7300,0.2589144942317073
forward,deepseek-7b,1,7300,0.3685003500544974
forward,deepseek-7b,2,7300,0.9807333178897534
forward,deepseek-7b,3,7300,0.7966542493381584
forward,deepseek-7b,4,7300,0.6407389400097768
forward,deepseek-7b,5,7300,0.6603192161720106
forward,deepseek-7b,6,7300,0.3704693741009666
forward,deepseek-7b,7,7300,0.7356440632690255
forward,deepseek-7b,8,7294,0.9377572045879606
forward,deepseek-7b,9,7028,1.0795952962023727
reverse,llama,0,7300,0.7052328172089557
reverse,llama,1,7300,3.8756423927716157
reverse,llama,2,7300,0.7913229084499566
reverse,llama,3,7300,0.6223799334129774
reverse,llama,4,7300,0.547323591322489
reverse,llama,5,7300,0.6614384798351459
reverse,llama,6,7300,0.5882435885425366
reverse,llama,7,7300,0.5487621642459177
reverse,llama,8,7300,0.5307350393652911
reverse,llama,9,7299,0.4966129583745231
forward,zephyr,0,29200,8.022197607055482
forward,zephyr,1,29200,3.306115379624682
forward,zephyr,2,29200,3.2170743471685825
forward,zephyr,3,29200,3.0723734214411684
forward,zephyr,4,29200,2.3756706101473832
forward,zephyr,5,29200,2.2731183247051345
forward,zephyr,6,29200,2.3093093906986226
forward,zephyr,7,29200,1.8761780097165597
forward,zephyr,8,29156,1.6798699412211495
forward,zephyr,9,28744,1.3672005873572521
forward,llama,0,7300,-0.6829045492830521
forward,llama,1,7300,-3.134303642310106
forward,llama,2,7300,-0.1471991376926922
forward,llama,3,7300,0.0014267418235237542
forward,llama,4,7300,0.04522260115041852
forward,llama,5,7300,-0.0010430801919364754
forward,llama,6,7300,0.061868886335830056
forward,llama,7,7300,0.04295289002739082
forward,llama,8,7300,0.06021439064144611
forward,llama,9,7300,0.10808306353454179
reverse,qwen,0,7300,0.19097002017498463
reverse,qwen,1,7300,0.42261195164570986
reverse,qwen,2,7300,0.4214697275435846
reverse,qwen,3,7300,0.5232641981068993
reverse,qwen,4,7300,0.5047523662703004
reverse,qwen,5,7300,0.5040578145550327
reverse,qwen,6,7300,0.4256753119374952
reverse,qwen,7,7300,0.38797072518752856
reverse,qwen,8,7300,0.4034027325834086
reverse,qwen,9,7293,0.4145701047393113
forward,smol3,0,7300,-0.34941189735329786
forward,smol3,1,7300,-5.204509618798227
forward,smol3,2,7300,0.05681623862315434
forward,smol3,3,7300,0.06943658389383733
forward,smol3,4,7300,0.06054612485927234
forward,smol3,5,7300,0.0918520779380402
forward,smol3,6,7300,0.029974989080933098
forward,smol3,7,7300,0.06784604623590462
forward,smol3,8,7300,0.09659474300604177
forward,smol3,9,7300,0.07828585476580628
reverse,smol3,0,7300,0.3457252810871127
reverse,smol3,1,7300,6.015890474129091
reverse,smol3,2,7300,0.5302621464378338
reverse,smol3,3,7300,0.5072904142531718
reverse,smol3,4,7300,0.4856378658704524
reverse,smol3,5,7300,0.4715482155797633
reverse,smol3,6,7300,0.5098919221696675
reverse,smol3,7,7300,0.4491716771715996
reverse,smol3,8,7300,0.45202947550053757
reverse,smol3,9,7300,0.4247976578342319
