family,side,prompt_key,base_entropy,base_top1,base_eff_vocab,aligned_entropy,aligned_top1,aligned_eff_vocab
amber,individual,institutional_labor_worker_1,2.2716660499572754,0.5200530290603638,40,2.483006000518799,0.24971716105937958,28
amber,institution,institutional_labor_mgmt_1,3.624101161956787,0.2808901071548462,76,2.804586887359619,0.188715398311615,37
amber,individual,institutional_labor_worker_2,4.373619556427002,0.145858034491539,94,2.0643680095672607,0.4214820861816406,27
amber,institution,institutional_labor_mgmt_2,4.231048583984375,0.15007661283016205,98,2.8849098682403564,0.27411022782325745,41
amber,individual,institutional_labor_worker_3,4.920367240905762,0.08862791210412979,118,1.7864789962768555,0.476073682308197,28
amber,institution,institutional_labor_mgmt_3,4.203024864196777,0.12536084651947021,81,1.148964285850525,0.7769536972045898,21
amber,individual,institutional_labor_worker_4,2.7772421836853027,0.31117287278175354,47,3.08288311958313,0.2890565097332001,53
amber,institution,institutional_labor_mgmt_4,4.69774055480957,0.14727061986923218,111,0.6354727745056152,0.8584142923355103,8
amber,individual,institutional_labor_worker_5,4.143585681915283,0.1320192962884903,93,2.2437782287597656,0.3027487099170685,25
amber,institution,institutional_labor_mgmt_5,4.141933441162109,0.14236442744731903,79,0.5648549795150757,0.8936902284622192,10
amber,individual,institutional_housing_tenant_1,3.337550640106201,0.28218790888786316,72,1.4049677848815918,0.41583022475242615,9
amber,institution,institutional_housing_landlord_1,4.224797248840332,0.20575164258480072,98,1.0357599258422852,0.774544358253479,14
amber,individual,institutional_housing_tenant_2,3.402644395828247,0.28753340244293213,69,0.5045819282531738,0.9211934804916382,15
amber,institution,institutional_housing_landlord_2,4.422219276428223,0.1319892555475235,99,3.100090503692627,0.2819303572177887,52
amber,individual,institutional_medical_patient_1,2.666367530822754,0.5014133453369141,53,2.232194662094116,0.35234394669532776,30
amber,institution,institutional_medical_doctor_1,4.580637454986572,0.10650826245546341,100,2.033813714981079,0.5647683143615723,39
amber,individual,institutional_police_citizen_1,3.81931209564209,0.2560720443725586,85,1.435873031616211,0.6096081733703613,15
amber,institution,institutional_police_officer_1,4.135662078857422,0.21524834632873535,96,1.908430814743042,0.3386509120464325,26
amber,individual,institutional_govt_citizen_1,1.8087658882141113,0.6662919521331787,30,0.5052492618560791,0.9187219738960266,16
amber,institution,institutional_govt_agency_1,4.394618988037109,0.12813429534435272,95,3.3184127807617188,0.18888673186302185,49
amber,individual,institutional_govt_citizen_2,4.232470989227295,0.20141886174678802,98,1.237783670425415,0.7154303789138794,20
