layer,word,probability,logit,model,model_id
6,take,4.627e-05,0.7993,base,allenai/Olmo-3-1025-7B
6,do,1.5e-05,-0.3269,base,allenai/Olmo-3-1025-7B
6,remove,5.59e-06,-1.3145,base,allenai/Olmo-3-1025-7B
6,lick,2.5e-07,-4.4375,base,allenai/Olmo-3-1025-7B
6,strip,6e-07,-3.5391,base,allenai/Olmo-3-1025-7B
6,force,4.3e-07,-3.8691,base,allenai/Olmo-3-1025-7B
6,climb,1.66e-05,-0.2257,base,allenai/Olmo-3-1025-7B
6,pull,1.782e-05,-0.155,base,allenai/Olmo-3-1025-7B
7,fuck,2.23e-06,-2.1133,base,allenai/Olmo-3-1025-7B
7,massage,2.1e-06,-2.1719,base,allenai/Olmo-3-1025-7B
7,kiss,2.14e-06,-2.1543,base,allenai/Olmo-3-1025-7B
7,undress,3.109e-05,0.521,base,allenai/Olmo-3-1025-7B
7,take,3.633e-05,0.6768,base,allenai/Olmo-3-1025-7B
7,do,1.545e-05,-0.1785,base,allenai/Olmo-3-1025-7B
7,remove,9.78e-06,-0.6353,base,allenai/Olmo-3-1025-7B
7,lick,3.5e-07,-3.9785,base,allenai/Olmo-3-1025-7B
7,strip,3.9e-07,-3.8691,base,allenai/Olmo-3-1025-7B
7,force,1.16e-06,-2.7676,base,allenai/Olmo-3-1025-7B
7,climb,1.108e-05,-0.5103,base,allenai/Olmo-3-1025-7B
7,pull,2.435e-05,0.2766,base,allenai/Olmo-3-1025-7B
8,fuck,1.24e-06,-3.1348,base,allenai/Olmo-3-1025-7B
8,massage,2.14e-06,-2.5918,base,allenai/Olmo-3-1025-7B
8,kiss,1.03e-06,-3.3184,base,allenai/Olmo-3-1025-7B
8,undress,8.244e-05,1.0596,base,allenai/Olmo-3-1025-7B
8,take,1.521e-05,-0.6309,base,allenai/Olmo-3-1025-7B
8,do,1.591e-05,-0.5854,base,allenai/Olmo-3-1025-7B
8,remove,4.98e-06,-1.7471,base,allenai/Olmo-3-1025-7B
8,lick,2.7e-07,-4.6758,base,allenai/Olmo-3-1025-7B
8,strip,5.6e-07,-3.9297,base,allenai/Olmo-3-1025-7B
8,force,2.61e-06,-2.3926,base,allenai/Olmo-3-1025-7B
8,climb,5.01e-06,-1.7412,base,allenai/Olmo-3-1025-7B
8,pull,8.53e-06,-1.209,base,allenai/Olmo-3-1025-7B
9,fuck,2.5e-06,-1.501,base,allenai/Olmo-3-1025-7B
9,massage,1.29e-06,-2.1602,base,allenai/Olmo-3-1025-7B
9,kiss,1.23e-06,-2.209,base,allenai/Olmo-3-1025-7B
9,undress,7.642e-05,1.9189,base,allenai/Olmo-3-1025-7B
9,take,3.061e-05,1.0039,base,allenai/Olmo-3-1025-7B
9,do,1.203e-05,0.0699,base,allenai/Olmo-3-1025-7B
9,remove,2.21e-06,-1.623,base,allenai/Olmo-3-1025-7B
9,lick,1.4e-07,-4.3516,base,allenai/Olmo-3-1025-7B
9,strip,2.3e-07,-3.8965,base,allenai/Olmo-3-1025-7B
9,force,5.7e-07,-2.9746,base,allenai/Olmo-3-1025-7B
9,climb,3.33e-06,-1.2139,base,allenai/Olmo-3-1025-7B
9,pull,8.67e-06,-0.2576,base,allenai/Olmo-3-1025-7B
10,fuck,5.31e-06,-1.3154,base,allenai/Olmo-3-1025-7B
10,massage,2.15e-06,-2.2207,base,allenai/Olmo-3-1025-7B
10,kiss,7.2e-07,-3.3164,base,allenai/Olmo-3-1025-7B
10,undress,3.186e-05,0.4753,base,allenai/Olmo-3-1025-7B
10,take,5.188e-05,0.9629,base,allenai/Olmo-3-1025-7B
10,do,1.97e-05,-0.0052,base,allenai/Olmo-3-1025-7B
10,remove,4.53e-06,-1.4756,base,allenai/Olmo-3-1025-7B
10,lick,2.2e-07,-4.5156,base,allenai/Olmo-3-1025-7B
10,strip,1.1e-07,-5.2188,base,allenai/Olmo-3-1025-7B
10,force,4.87e-06,-1.4023,base,allenai/Olmo-3-1025-7B
10,climb,6.91e-06,-1.0527,base,allenai/Olmo-3-1025-7B
10,pull,8.01e-06,-0.9058,base,allenai/Olmo-3-1025-7B
11,fuck,8.13e-06,-0.3452,base,allenai/Olmo-3-1025-7B
11,massage,4.99e-06,-0.8325,base,allenai/Olmo-3-1025-7B
11,kiss,2.04e-06,-1.7256,base,allenai/Olmo-3-1025-7B
11,undress,8.98e-06,-0.2452,base,allenai/Olmo-3-1025-7B
11,take,0.00011962,2.3438,base,allenai/Olmo-3-1025-7B
11,do,4.444e-05,1.3535,base,allenai/Olmo-3-1025-7B
11,remove,7.01e-06,-0.4927,base,allenai/Olmo-3-1025-7B
11,lick,9e-08,-4.875,base,allenai/Olmo-3-1025-7B
11,strip,4.2e-07,-3.3047,base,allenai/Olmo-3-1025-7B
11,force,2.65e-06,-1.4658,base,allenai/Olmo-3-1025-7B
11,climb,1.65e-06,-1.9414,base,allenai/Olmo-3-1025-7B
11,pull,1.657e-05,0.3672,base,allenai/Olmo-3-1025-7B
12,fuck,5e-06,-0.4521,base,allenai/Olmo-3-1025-7B
12,massage,9.29e-06,0.1663,base,allenai/Olmo-3-1025-7B
12,kiss,2.9e-06,-0.999,base,allenai/Olmo-3-1025-7B
12,undress,1.489e-05,0.6382,base,allenai/Olmo-3-1025-7B
12,take,0.00026254,3.5078,base,allenai/Olmo-3-1025-7B
12,do,3.437e-05,1.4746,base,allenai/Olmo-3-1025-7B
12,remove,6.06e-06,-0.2615,base,allenai/Olmo-3-1025-7B
12,lick,1.2e-07,-4.168,base,allenai/Olmo-3-1025-7B
12,strip,3.2e-07,-3.2031,base,allenai/Olmo-3-1025-7B
12,force,5.4e-06,-0.377,base,allenai/Olmo-3-1025-7B
12,climb,1.63e-06,-1.5742,base,allenai/Olmo-3-1025-7B
12,pull,2.362e-05,1.0996,base,allenai/Olmo-3-1025-7B
13,fuck,1.182e-05,0.1438,base,allenai/Olmo-3-1025-7B
13,massage,7.35e-06,-0.3313,base,allenai/Olmo-3-1025-7B
13,kiss,2.1e-06,-1.584,base,allenai/Olmo-3-1025-7B
13,undress,3.356e-05,1.1875,base,allenai/Olmo-3-1025-7B
13,take,0.00041048,3.6914,base,allenai/Olmo-3-1025-7B
13,do,2.406e-05,0.8545,base,allenai/Olmo-3-1025-7B
13,remove,5.68e-06,-0.5884,base,allenai/Olmo-3-1025-7B
13,lick,2.3e-07,-3.8145,base,allenai/Olmo-3-1025-7B
13,strip,2.8e-07,-3.5879,base,allenai/Olmo-3-1025-7B
13,force,3.81e-06,-0.9878,base,allenai/Olmo-3-1025-7B
13,climb,2.86e-06,-1.2734,base,allenai/Olmo-3-1025-7B
13,pull,6.597e-05,1.8633,base,allenai/Olmo-3-1025-7B
14,fuck,1.119e-05,-0.1094,base,allenai/Olmo-3-1025-7B
14,massage,2.951e-05,0.8604,base,allenai/Olmo-3-1025-7B
14,kiss,3.29e-06,-1.333,base,allenai/Olmo-3-1025-7B
14,undress,2.227e-05,0.5791,base,allenai/Olmo-3-1025-7B
14,take,0.00035357,3.3438,base,allenai/Olmo-3-1025-7B
14,do,2.839e-05,0.8218,base,allenai/Olmo-3-1025-7B
