label,model,passage_idx,n_tokens,local_drift,gyration_cos,path_length,gyration_radius,mean_norm,category,transgressive
sexual_liminal_1,base,0,107,0.2240706980228424,0.1800193041563034,65184.58984375,611.2274169921875,822.7744750976562,sexual_liminal,True
sexual_liminal_1,base,1,106,0.21992483735084534,0.17626294493675232,64427.30859375,612.8847045898438,823.4833374023438,sexual_liminal,True
sexual_liminal_1,base,2,107,0.2209838479757309,0.176666721701622,65469.21484375,612.697021484375,831.2142944335938,sexual_liminal,True
sexual_liminal_1,base,3,107,0.1968047320842743,0.15383289754390717,63903.046875,600.589599609375,844.4528198242188,sexual_liminal,True
sexual_liminal_1,base,4,107,0.23511365056037903,0.18904955685138702,65436.7109375,613.9478149414062,818.8855590820312,sexual_liminal,True
sexual_liminal_1,base,5,107,0.2118239551782608,0.1599854826927185,64930.8671875,601.4255981445312,834.5556640625,sexual_liminal,True
sexual_liminal_1,base,6,107,0.18943554162979126,0.14011384546756744,62795.12109375,587.0575561523438,840.6210327148438,sexual_liminal,True
sexual_liminal_1,base,7,107,0.2218853384256363,0.17902158200740814,65864.5546875,615.9345703125,834.9085083007812,sexual_liminal,True
sexual_liminal_1,base,8,107,0.21711885929107666,0.16076894104480743,65164.05859375,600.4965209960938,832.4957885742188,sexual_liminal,True
sexual_liminal_1,base,9,107,0.2077159881591797,0.1452534794807434,64373.796875,588.5809936523438,833.9002685546875,sexual_liminal,True
sexual_liminal_1,base,10,107,0.2196817249059677,0.1666475385427475,65568.15625,605.5601806640625,832.6856079101562,sexual_liminal,True
sexual_liminal_1,base,11,107,0.22701400518417358,0.1733510047197342,65381.578125,606.1331787109375,821.7901611328125,sexual_liminal,True
sexual_liminal_1,base,12,107,0.21473121643066406,0.1639874130487442,65817.703125,609.5637817382812,844.3255615234375,sexual_liminal,True
sexual_liminal_1,base,13,107,0.19046136736869812,0.15239395201206207,62951.03125,600.2593383789062,843.5256958007812,sexual_liminal,True
sexual_liminal_1,base,14,107,0.20688022673130035,0.1495433896780014,63755.95703125,590.1007080078125,829.4996948242188,sexual_liminal,True
sexual_liminal_1,base,15,107,0.22334140539169312,0.17165899276733398,66411.1640625,614.7407836914062,841.8114013671875,sexual_liminal,True
sexual_liminal_1,base,16,107,0.2082359939813614,0.173883855342865,64478.67578125,613.8424072265625,836.7662353515625,sexual_liminal,True
sexual_liminal_1,base,17,107,0.22127756476402283,0.17249909043312073,66142.6875,614.2549438476562,840.4208374023438,sexual_liminal,True
sexual_liminal_1,base,18,107,0.26006072759628296,0.22046814858913422,67156.3125,630.4554443359375,805.424560546875,sexual_liminal,True
sexual_liminal_1,base,19,107,0.22267195582389832,0.16413873434066772,65823.1015625,604.3851318359375,832.9798583984375,sexual_liminal,True
sexual_liminal_1,base,20,107,0.21817989647388458,0.16636087000370026,65603.421875,607.4481811523438,839.6279296875,sexual_liminal,True
