corpus_id,variant,author,idx,n_chars,n_words,blt_bits_per_char
human/original/joyce,original,joyce,96,618,100,2.2394813633549773
human/original/joyce,original,joyce,97,241,40,2.437723007847377
human/original/hemingway,original,hemingway,0,519,100,1.0445959922601542
human/original/hemingway,original,hemingway,1,490,100,0.9352416047378427
human/original/hemingway,original,hemingway,2,528,100,1.0583220090054508
human/original/hemingway,original,hemingway,3,505,100,1.2009356336736334
human/original/hemingway,original,hemingway,4,531,100,1.1506127519960847
human/original/hemingway,original,hemingway,5,544,100,1.1104283173036378
human/original/hemingway,original,hemingway,6,540,100,0.9010709879974751
human/original/hemingway,original,hemingway,7,494,100,1.1856806716157773
human/original/hemingway,original,hemingway,8,485,100,0.894840374266782
human/original/hemingway,original,hemingway,9,437,100,1.151729531898692
human/original/hemingway,original,hemingway,10,491,100,1.0001564173638136
human/original/hemingway,original,hemingway,11,241,44,1.21136757119781
human/original/anderson,original,anderson,0,538,100,1.2096788753888925
human/original/anderson,original,anderson,1,481,100,1.0825554677494302
human/original/anderson,original,anderson,2,512,100,0.962765910731114
human/original/anderson,original,anderson,3,515,100,2.5219480278869333
human/original/anderson,original,anderson,4,542,100,1.0075319012548003
human/original/anderson,original,anderson,5,543,100,0.9101426319785666
human/original/anderson,original,anderson,6,550,100,0.9649392334692835
human/original/anderson,original,anderson,7,550,100,1.257485261546098
human/original/anderson,original,anderson,8,541,100,0.9842420242586704
human/original/anderson,original,anderson,9,226,40,1.2381994024493281
human/original/mansfield,original,mansfield,0,532,100,0.9513879565470106
human/original/mansfield,original,mansfield,1,558,100,1.6132306438844812
human/original/mansfield,original,mansfield,2,567,100,1.2403991718150902
human/original/mansfield,original,mansfield,3,558,100,1.1399840101356704
human/original/mansfield,original,mansfield,4,562,100,1.17669801437141
human/original/mansfield,original,mansfield,5,535,100,1.1329171347456652
human/original/mansfield,original,mansfield,6,540,100,1.1661499046501735
human/original/mansfield,original,mansfield,7,565,100,1.1657678127084123
human/original/mansfield,original,mansfield,8,530,100,1.335502527144301
human/original/mansfield,original,mansfield,9,532,100,1.275768173892872
human/original/mansfield,original,mansfield,10,546,100,1.0350174306990036
human/original/mansfield,original,mansfield,11,577,100,1.8886573314418016
human/original/mansfield,original,mansfield,12,545,100,0.9898587448784969
human/original/mansfield,original,mansfield,13,522,100,1.370882822391012
human/original/mansfield,original,mansfield,14,584,100,1.2569982028493873
human/original/mansfield,original,mansfield,15,538,100,1.1417397379559215
