label,model,passage_idx,n_tokens,local_drift,gyration_cos,path_length,gyration_radius,mean_norm,category,transgressive
sexual_liminal_1,base,0,107,0.10573897510766983,0.08432427793741226,26102.55859375,212.44178771972656,442.17645263671875,sexual_liminal,True
sexual_liminal_1,base,1,107,0.09753198176622391,0.07108115404844284,26829.3515625,210.258544921875,473.1455078125,sexual_liminal,True
sexual_liminal_1,base,2,107,0.09937532246112823,0.07371415942907333,22455.8828125,185.478759765625,443.3794860839844,sexual_liminal,True
sexual_liminal_1,base,3,107,0.09602387994527817,0.06912747025489807,22242.978515625,181.4448699951172,446.0853271484375,sexual_liminal,True
sexual_liminal_1,base,4,107,0.09374129772186279,0.06919167935848236,27047.9296875,211.99237060546875,485.6119384765625,sexual_liminal,True
sexual_liminal_1,base,5,107,0.09429952502250671,0.06611332297325134,26710.48046875,205.960693359375,478.1891784667969,sexual_liminal,True
sexual_liminal_1,base,6,107,0.09956321865320206,0.07553359866142273,26133.34765625,206.8143768310547,454.42242431640625,sexual_liminal,True
sexual_liminal_1,base,7,106,0.0923452377319336,0.06894723325967789,26306.177734375,209.58396911621094,476.8968811035156,sexual_liminal,True
sexual_liminal_1,base,8,107,0.10075352340936661,0.07256025075912476,26785.73046875,210.1837921142578,465.5137939453125,sexual_liminal,True
sexual_liminal_1,base,9,107,0.09420746564865112,0.06362868845462799,27157.66796875,205.67547607421875,482.56097412109375,sexual_liminal,True
sexual_liminal_1,base,10,107,0.09024490416049957,0.06983726471662521,25771.12109375,206.3822784423828,467.46905517578125,sexual_liminal,True
sexual_liminal_1,base,11,107,0.08086633682250977,0.05789247900247574,21272.43359375,176.52613830566406,461.12445068359375,sexual_liminal,True
sexual_liminal_1,base,12,107,0.09681333601474762,0.07538872212171555,21876.30078125,184.0968475341797,436.5278625488281,sexual_liminal,True
sexual_liminal_1,base,13,65,0.08640047162771225,0.06076900660991669,18032.244140625,234.95065307617188,496.1019592285156,sexual_liminal,True
sexual_liminal_1,base,14,107,0.0964878648519516,0.06570885330438614,22608.994140625,179.71328735351562,451.58966064453125,sexual_liminal,True
sexual_liminal_1,base,15,107,0.10165540128946304,0.0762648656964302,22360.12890625,185.76905822753906,437.0950622558594,sexual_liminal,True
sexual_liminal_1,base,16,107,0.10440075397491455,0.07675234228372574,27121.509765625,212.8867950439453,464.40008544921875,sexual_liminal,True
sexual_liminal_1,base,17,107,0.0992017611861229,0.07854978740215302,25678.365234375,206.6118621826172,443.2663879394531,sexual_liminal,True
sexual_liminal_1,base,18,107,0.09954992681741714,0.07210526615381241,26932.18359375,210.15243530273438,472.8379821777344,sexual_liminal,True
sexual_liminal_1,base,19,105,0.09761036932468414,0.07503271102905273,25765.685546875,211.77903747558594,461.54534912109375,sexual_liminal,True
sexual_liminal_1,base,20,107,0.09273641556501389,0.0695941373705864,26108.998046875,207.04641723632812,468.5017395019531,sexual_liminal,True
sexual_liminal_1,base,21,107,0.09177805483341217,0.06578375399112701,26809.9609375,208.27305603027344,486.4893493652344,sexual_liminal,True
sexual_liminal_1,base,22,107,0.08947090804576874,0.06776939332485199,22136.9609375,184.37391662597656,457.2810363769531,sexual_liminal,True
sexual_liminal_1,base,23,107,0.09504964202642441,0.07052157074213028,26543.662109375,209.65879821777344,470.8059387207031,sexual_liminal,True
sexual_liminal_1,base,24,105,0.10267053544521332,0.07633212953805923,26394.212890625,212.8800811767578,459.9593811035156,sexual_liminal,True
sexual_liminal_1,base,25,107,0.09179089218378067,0.06717351824045181,25292.06640625,197.44757080078125,450.9033508300781,sexual_liminal,True
sexual_liminal_1,base,26,107,0.08908658474683762,0.0648503303527832,26130.37109375,204.97593688964844,478.9038391113281,sexual_liminal,True
sexual_liminal_1,base,27,107,0.09964969754219055,0.07306672632694244,26704.931640625,210.33187866210938,466.55877685546875,sexual_liminal,True
sexual_liminal_1,base,28,107,0.08974643796682358,0.07018031179904938,25853.71875,207.89332580566406,470.0582580566406,sexual_liminal,True
sexual_liminal_1,base,29,107,0.10151158273220062,0.07393305003643036,26643.189453125,209.56298828125,460.90069580078125,sexual_liminal,True
sexual_liminal_1,base,30,107,0.09058152139186859,0.06579764187335968,22568.529296875,183.69203186035156,463.9401550292969,sexual_liminal,True
sexual_liminal_1,base,31,107,0.0987682044506073,0.07385563850402832,22547.083984375,185.72998046875,445.0186767578125,sexual_liminal,True
sexual_liminal_1,base,32,106,0.09837304800748825,0.06922760605812073,26331.111328125,205.1598663330078,460.8854064941406,sexual_liminal,True
sexual_liminal_1,base,33,107,0.10149332880973816,0.07549306750297546,26480.841796875,209.0649871826172,455.9521484375,sexual_liminal,True
sexual_liminal_1,base,34,107,0.09082232415676117,0.06731414049863815,25987.2578125,205.96548461914062,471.31658935546875,sexual_liminal,True
sexual_liminal_1,base,35,107,0.08913687616586685,0.06146848946809769,26764.052734375,204.92401123046875,489.22808837890625,sexual_liminal,True
sexual_liminal_1,base,36,105,0.09601426124572754,0.06588532775640488,26791.97265625,208.1050567626953,475.2167053222656,sexual_liminal,True
sexual_liminal_1,base,37,106,0.09709209203720093,0.07468260824680328,25897.33203125,210.0710906982422,461.51812744140625,sexual_liminal,True
sexual_liminal_1,base,38,107,0.09592130780220032,0.07376161962747574,22138.283203125,184.42832946777344,442.0516357421875,sexual_liminal,True
sexual_liminal_1,base,39,107,0.09358725696802139,0.07106543332338333,25789.689453125,205.22923278808594,463.1400146484375,sexual_liminal,True
sexual_liminal_1,base,40,107,0.10534216463565826,0.08188848942518234,21810.623046875,184.0031280517578,418.2735595703125,sexual_liminal,True
sexual_liminal_1,base,41,106,0.09197703748941422,0.07020758837461472,25842.138671875,209.103515625,476.543212890625,sexual_liminal,True
sexual_liminal_1,base,42,107,0.10330767929553986,0.07468473166227341,26867.1640625,210.06666564941406,464.3244323730469,sexual_liminal,True
sexual_liminal_1,base,43,107,0.09601838886737823,0.07185307145118713,26615.146484375,209.54595947265625,472.36798095703125,sexual_liminal,True
sexual_liminal_1,base,44,107,0.09367650747299194,0.06933370977640152,22190.708984375,183.48170471191406,449.786865234375,sexual_liminal,True
sexual_liminal_1,base,45,107,0.11329954862594604,0.07451988011598587,28284.552734375,212.0056610107422,473.5380859375,sexual_liminal,True
sexual_liminal_1,base,46,107,0.08933935314416885,0.06662072241306305,21636.494140625,179.86087036132812,448.32769775390625,sexual_liminal,True
