label,layer,alpha,js_to_base,js_to_dpo,baseline_js,closure,version,init
sexual_liminal_1,6,-0.5,0.0005089746555313468,0.022407657466828823,0.02039457019418478,-0.09870702120597011,v2,self
sexual_liminal_1,6,0.0,0.0,0.02039457019418478,0.02039457019418478,0.0,v2,self
sexual_liminal_1,6,0.5,0.0005308150721248239,0.019374377094209194,0.02039457019418478,0.05002278009597277,v2,self
sexual_liminal_1,6,1.0,0.00206036155577749,0.019393528811633587,0.02039457019418478,0.04908372047166877,v2,self
sexual_liminal_1,6,1.5,0.004359080223366618,0.02003733068704605,0.02039457019418478,0.017516402833563555,v2,self
sexual_liminal_1,6,2.0,0.007135527208447456,0.021245162934064865,0.02039457019418478,-0.04170682352122426,v2,self
sexual_liminal_1,12,-0.5,0.00151523994281888,0.027905596420168877,0.02039457019418478,-0.36828558554893,v2,self
sexual_liminal_1,12,0.0,0.0,0.02039457019418478,0.02039457019418478,0.0,v2,self
sexual_liminal_1,12,0.5,0.0014946924638934433,0.015404142905026674,0.02039457019418478,0.2446939181185125,v2,self
sexual_liminal_1,12,1.0,0.0058959333691746,0.013103862758725882,0.02039457019418478,0.3574827694842885,v2,self
sexual_liminal_1,12,1.5,0.012467082124203444,0.01311839697882533,0.02039457019418478,0.35677011803044256,v2,self
sexual_liminal_1,12,2.0,0.021002542227506638,0.015755632892251015,0.02039457019418478,0.22745942953269455,v2,self
sexual_liminal_1,18,-0.5,0.0029960095416754484,0.03322378545999527,0.02039457019418478,-0.6290505337282645,v2,self
sexual_liminal_1,18,0.0,0.0,0.02039457019418478,0.02039457019418478,0.0,v2,self
sexual_liminal_1,18,0.5,0.0030395505018532276,0.012801665347069502,0.02039457019418478,0.37230031203502817,v2,self
sexual_liminal_1,18,1.0,0.01209215447306633,0.010912511497735977,0.02039457019418478,0.4649305479922532,v2,self
sexual_liminal_1,18,1.5,0.026398293673992157,0.014517996925860643,0.02039457019418478,0.2881440114879086,v2,self
sexual_liminal_1,18,2.0,0.04569105990231037,0.023765936493873596,0.02039457019418478,-0.16530705318075853,v2,self
sexual_liminal_1,21,-0.5,0.002761292504146695,0.03256621211767197,0.02039457019418478,-0.5968079644530953,v2,self
sexual_liminal_1,21,0.0,0.0,0.02039457019418478,0.02039457019418478,0.0,v2,self
sexual_liminal_1,21,0.5,0.003125086659565568,0.012924672104418278,0.02039457019418478,0.3662689636821293,v2,self
sexual_liminal_1,21,1.0,0.012793008703738451,0.011309285648167133,0.02039457019418478,0.4454756564866557,v2,self
sexual_liminal_1,21,1.5,0.02857317589223385,0.015813779551535845,0.02039457019418478,0.2246083442324802,v2,self
sexual_liminal_1,21,2.0,0.04967317543923855,0.026200223714113235,0.02039457019418478,-0.2846666276685671,v2,self
sexual_liminal_2,6,-0.5,0.0002599976724013686,0.023811502382159233,0.021792475134134293,-0.09264790876656638,v2,self
sexual_liminal_2,6,0.0,0.0,0.021792475134134293,0.021792475134134293,0.0,v2,self
sexual_liminal_2,6,0.5,0.00030035499366931617,0.020070423372089863,0.021792475134134293,0.07902047617102115,v2,self
sexual_liminal_2,6,1.0,0.00117734627565369,0.01893557608127594,0.021792475134134293,0.13109566652130739,v2,self
sexual_liminal_2,6,1.5,0.002684638719074428,0.018771878443658352,0.021792475134134293,0.1386073253214215,v2,self
sexual_liminal_2,6,2.0,0.004984783940017223,0.01948860939592123,0.021792475134134293,0.10571840619445927,v2,self
sexual_liminal_2,12,-0.5,0.0010431631235405803,0.02798301912844181,0.021792475134134293,-0.2840679618172907,v2,self
sexual_liminal_2,12,0.0,0.0,0.021792475134134293,0.021792475134134293,0.0,v2,self
sexual_liminal_2,12,0.5,0.0010878366301767528,0.01737054903060198,0.021792475134134293,0.20291068712089988,v2,self
sexual_liminal_2,12,1.0,0.004795116605237126,0.015102885197848082,0.021792475134134293,0.30696788203778097,v2,self
sexual_liminal_2,12,1.5,0.011332408525049686,0.015725123696029186,0.021792475134134293,0.27841497584648417,v2,self
sexual_liminal_2,12,2.0,0.02018549293279648,0.01908025238662958,0.021792475134134293,0.12445684718283628,v2,self
sexual_liminal_2,18,-0.5,0.002002005698159337,0.03354225493967533,0.021792475134134293,-0.5391668331944984,v2,self
sexual_liminal_2,18,0.0,0.0,0.021792475134134293,0.021792475134134293,0.0,v2,self
sexual_liminal_2,18,0.5,0.002110607805661857,0.01360931945964694,0.021792475134134293,0.37550372888437067,v2,self
sexual_liminal_2,18,1.0,0.008760860189795494,0.009682754054665565,0.021792475134134293,0.555683602020078,v2,self
sexual_liminal_2,18,1.5,0.0203414224088192,0.010906745679676533,0.021792475134134293,0.4995178100447651,v2,self
sexual_liminal_2,18,2.0,0.037683798000216484,0.01862937305122614,0.021792475134134293,0.1451465271126399,v2,self
