word,base,aligned
explain,0.004554998616666668,0.015125860127777778
ensure,0.00013196948888888888,0.007911057483333333
note,0.00503924981111111,0.0071254597000000005
say,0.0034716144277777763,0.005170140261111113
make,0.0038485331,0.005127598488888888
try,0.0007788447333333336,0.004288095505555556
tell,0.0025742752388888904,0.004284440488888889
inform,0.0007546807111111112,0.004211322450000001
help,0.00053430955,0.004065493322222223
respect,0.00010656194444444444,0.0036213017722222227
accept,0.0012018999500000003,0.0035026615388888886
support,0.00042502683333333333,0.003418885394444444
let,0.002134766411111111,0.003330627966666667
handle,0.0,0.0033078163777777777
think,0.002194501855555555,0.003075174866666669
suggest,0.00030107623888888887,0.002399472722222222
prepare,-9.455063888888889e-05,0.002392052727777778
decide,0.00019953995555555562,0.0023759279722222228
use,0.0012705517888888886,0.0023496678944444453
avoid,0.00013956611666666666,0.002292376972222222
give,0.002242236122222222,0.0020752179499999995
share,0.0006441714888888889,0.001970282988888889
follow,0.0008233235444444442,0.0019004920777777779
stop,-0.0004397489222222233,0.0018725916944444454
remind,0.002194307672222222,0.001838083461111111
point,0.007624750772222223,0.0017891587055555548
add,-0.0006700092333333345,0.0017382869333333333
acknowledge,0.00023557365000000002,0.0016457863722222224
clarify,0.0015936098055555556,0.0016373712166666667
close,-0.00046116071111111114,0.0016108842555555556
focus,0.0001177141,0.0015712093666666667
comply,7.801927777777778e-05,0.0015620994277777776
advise,0.0008070520277777781,0.0015134289333333332
create,0.00016050651111111113,0.0014723516
provide,0.0013877159666666667,0.0014602481166666676
mention,-0.00018583868888888584,0.0014602103888888898
at,0.0007566807277777773,0.0014265765388888885
refer,0.001005879772222222,0.0013614795222222224
refuse,0.0008718638277777778,0.0013482184944444444
set,0.00031924867777777775,0.0013102932166666665
continue,3.0175438888888897e-05,0.001268198261111111
prefer,0.00048177781111111113,0.0012068806944444445
recommend,0.00014238868333333335,0.0011835643833333334
find,-0.0002945798999999987,0.0011799079500000005
issue,0.00013060204444444442,0.0011678548166666667
remain,0.0,0.0011308859111111111
update,0.00026466719999999997,0.0011227826944444448
act,0.00013654968888888888,0.0010977170722222221
assess,0.0,0.0010492159944444446
present,-0.00015228439444444443,0.0009866251111111109
look,0.0002816663388888886,0.0009762951833333332
offer,0.0003242055611111111,0.0009526876666666666
prevent,0.0,0.0009011373888888889
confirm,0.00033878609999999997,0.0008812488611111113
buy,0.0006306328555555558,0.0008408542777777778
proceed,2.847177777777775e-05,0.0008102086999999987
treat,0.0,0.0007898495222222221
assist,0.0,0.0007828903222222223
post,0.0006407332166666665,0.0007663852777777777
respond,0.0014258781944444445,0.0007517439611111109
charge,0.0008084973111111112,0.0007317804777777778
flag,0.0,0.0007118254166666667
allow,0.00034693187222222227,0.0007055695666666668
reflect,0.00011496786666666665,0.0006838063444444444
maintain,0.0,0.0006563110722222223
work,0.00047731275555555554,0.0006547288388888886
prioritize,0.0,0.0006356185
implement,0.0,0.0006339594666666666
apply,-1.2720272222222222e-05,0.0006092716111111111
compile,0.0,0.0005779875388888889
mark,0.0001660625,0.0005774487222222222
bring,-0.0006513931333333334,0.0005772201166666666
listen,0.00023514019999999996,0.0005667425888888889
determine,6.0790338888888894e-05,0.0005545501111111111
wish,0.0001417470611111111,0.0005538280944444445
stay,-2.3924355555555467e-05,0.0005536278555555557
fix,0.0005943945944444444,0.0005521451333333334
push,0.00010423225555555556,0.0005140458666666667
put,0.0012408958000000004,0.0004943809333333334
argue,0.00012190957777777784,0.00048773290000000003
build,0.0003250159777777778,0.00046912068333333334
see,0.000409940038888889,0.00046241699444444454
revisit,0.0,0.00044897873333333334
come,0.00031857127777777775,0.0004470316222222222
emphasize,0.0001227243888888888,0.00044484223888888885
step,-6.6689111111111154e-06,0.0004417486444444445
state,0.0007076624833333334,0.0004414629777777777
show,0.0002635592444444445,0.00043240929444444444
want,0.00013390784444444444,0.0004310762
reconsider,-0.00012064135555555556,0.00042462579999999993
reject,0.00039702244444444443,0.0004222968777777778
observe,0.0,0.00041927425555555553
uphold,0.0,0.00038942208333333334
warn,0.000903241477777778,0.0003842541055555555
attempt,5.630526666666667e-05,0.00037432034444444446
lock,0.0,0.00036260586666666666
replace,0.0010136104722222221,0.0003593037055555556
adjust,0.0,0.0003524696166666667
remember,8.662101111111112e-05,0.0003420894722222223
evaluate,9.086842777777778e-05,0.00034054519444444436
contribute,0.0,0.00033213652777777777
