stratum,word,n_lineages,median_delta,lineages_pos,lineages_tested,p,plan_b_word
animal_unmarked,guided,46,0.00088915015,34,46,0.0016414913,False
animal_unmarked,hurried,46,-0.00052879122,19,46,0.30199561,False
animal_unmarked,climbed,46,-0.0012027097,6,46,3.1028037e-07,False
animal_unmarked,saved,46,1.89008e-05,23,46,1,False
animal_unmarked,both,43,-8.86799e-05,17,43,0.22205282,False
animal_unmarked,retrieved,46,-1.06644e-05,23,46,1,False
animal_unmarked,is,46,-0.0010078919,17,46,0.10380536,False
animal_unmarked,swam,46,-2.02489e-05,23,46,1,False
animal_unmarked,joined,42,-0.00017676115,18,42,0.44079907,False
animal_unmarked,encouraged,46,0.0007917439,32,46,0.011351591,False
animal_unmarked,sighed,46,0.00094066863,32,46,0.011351591,False
animal_unmarked,flicked,46,-0.00076145135,14,46,0.011351591,False
animal_unmarked,blew,46,-0.0011715419,10,46,0.00015641721,False
animal_unmarked,flipped,45,-0.0010070831,12,45,0.0024589003,False
animal_unmarked,wondered,46,-0.0007236466,16,46,0.054076032,False
animal_unmarked,tilted,44,-1.243205e-05,22,44,1,False
animal_unmarked,bit,46,-0.0010822652,15,46,0.025896082,False
animal_unmarked,pe,42,-1.1178883e-07,9,42,0.00027153923,False
animal_unmarked,clicked,46,0.0002354997,26,46,0.46139118,False
animal_unmarked,pretended,45,0.0004583914,30,45,0.035697804,False
animal_unmarked,peered,46,-0.00035929208,21,46,0.65873808,False
animal_unmarked,breathed,46,0.00023903098,27,46,0.30199561,False
animal_unmarked,sniff,40,-1.092727e-06,7,40,4.2277023e-05,False
animal_unmarked,sc,42,-7.1223907e-08,13,42,0.019520473,False
animal_unmarked,licked,45,-0.0010822434,10,45,0.00024708778,False
animal_unmarked,whispered,46,0.0023010226,39,46,1.8315433e-06,False
animal_unmarked,listened,46,0.00037701775,31,46,0.025896082,False
animal_unmarked,sniffed,46,-0.0010042893,9,46,4.0560361e-05,False
animal_unmarked,almost,46,-0.00061610997,11,46,0.00053558507,False
animal_unmarked,studied,46,-0.00019134493,20,46,0.46139118,False
animal_unmarked,petted,46,-0.0002323729,20,46,0.46139118,False
animal_unmarked,stared,46,-0.00047905703,17,46,0.10380536,False
animal_unmarked,aimed,45,0.00042615885,28,45,0.13515645,False
animal_unmarked,my,44,-0.0010097617,9,44,0.00010604467,False
animal_unmarked,heard,46,-0.00033286193,14,46,0.011351591,False
animal_unmarked,smelled,41,-0.00079523515,9,41,0.00043085704,False
animal_unmarked,paused,44,0.0005807721,30,44,0.022628841,False
animal_unmarked,while,46,-0.00091203917,10,46,0.00015641721,False
animal_unmarked,cried,46,-0.001024299,15,46,0.025896082,False
animal_unmarked,tick,40,-6.1346002e-07,8,40,0.00018216583,False
animal_unmarked,worked,46,-2.8004925e-05,22,46,0.88299591,False
animal_unmarked,cooed,44,0.00067348383,31,44,0.0095598789,False
animal_unmarked,praised,44,0.0013280143,33,44,0.0012600338,False
animal_unmarked,dipped,44,-0.00067311335,17,44,0.17417115,False
animal_unmarked,spun,45,0.0001306136,27,45,0.23269319,False
animal_unmarked,rotated,40,0.00096747825,26,40,0.080690468,False
animal_unmarked,yelled,46,-0.0010283421,15,46,0.025896082,False
animal_unmarked,rinsed,45,-0.0012098792,11,45,0.00082408236,False
animal_unmarked,scrubbed,42,-0.000583797,16,42,0.1641494,False
animal_unmarked,swirled,42,0.00013094452,22,42,0.87761433,False
animal_unmarked,repeated,46,-0.0002250304,15,46,0.025896082,False
animal_unmarked,coo,40,-1.3906121e-06,15,40,0.15385994,False
animal_unmarked,shouted,46,-2.5614825e-05,22,46,0.88299591,False
animal_unmarked,sang,45,7.97674e-05,25,45,0.55148433,False
