lineage,scenario,condition,js_indiv,js_inst,d_js,resid_indiv,resid_inst,nw_indiv,nw_inst,mass_indiv,mass_inst
01-ai/Yi-1.5-9B,m03_C1,I_absent,0.03412400933158984,0.04750796253247915,0.01338395320088931,0.16744977,0.29098934,79,91,0.83267824047,0.7090107860000003
01-ai/Yi-1.5-9B,m03_C1,I_final,0.05963702284547383,0.07630355639659028,0.016666533551116455,0.07713106,0.102026746,46,62,0.9228691434000003,0.89797333
01-ai/Yi-1.5-9B,m03_C1,I_final_ought,0.06587342462167917,0.07987162578504231,0.013998201163363144,0.117771,0.18863617,84,111,0.8822291036800001,0.8113640127000004
01-ai/Yi-1.5-9B,m03_C1,I_medial,0.048350730078516695,0.05160726071512433,0.003256530636607635,0.11255418,0.13922833,90,108,0.8874459396970299,0.8607717800799998
01-ai/Yi-1.5-9B,m03_C1,we_absent,0.07093962356405115,0.04945457078098159,-0.021485052783069558,0.15103897,0.34333986,85,81,0.84896115854278,0.6566602970000001
01-ai/Yi-1.5-9B,m03_C1,we_final,0.061065994452403634,0.030187103625292984,-0.03087889082711065,0.07213549,0.12407427,32,47,0.9278645967,0.8759258502
01-ai/Yi-1.5-9B,m03_C1,we_medial,0.17332545731940877,0.08330362565389116,-0.09002183166551761,0.112835616,0.14471497,98,110,0.8871645774506999,0.8552851926999998
01-ai/Yi-1.5-9B,m03_C2,I_absent,0.15652808892563908,0.05630876565167342,-0.10021932327396565,0.3770597,0.33800697,88,101,0.6229404353,0.6717993685999999
01-ai/Yi-1.5-9B,m03_C2,I_final,0.18616178514627785,0.07012778165726861,-0.11603400348900923,0.12817359,0.12915336,74,60,0.8718265886,0.8708467919000001
01-ai/Yi-1.5-9B,m03_C2,I_final_ought,0.21174580519522257,0.07594231731830933,-0.13580348787691324,0.17938513,0.15485609,97,107,0.8454467869999995,0.8466113047643
01-ai/Yi-1.5-9B,m03_C2,I_medial,0.2678308769748833,0.051744316130020604,-0.21608656084486266,0.123684086,0.14591685,84,105,0.897955849160876,0.8540833141000003
01-ai/Yi-1.5-9B,m03_C2,we_absent,0.11059031520073877,0.0575685104124662,-0.053021804788272564,0.4075169,0.39248142,81,104,0.5924832815999997,0.6580728359999999
01-ai/Yi-1.5-9B,m03_C2,we_final,0.21149994003646924,0.07212787593909671,-0.13937206409737252,0.15491204,0.117807195,104,57,0.8519769893037704,0.8821929301
01-ai/Yi-1.5-9B,m03_C2,we_medial,0.18212339376412393,0.08424577739341499,-0.09787761637070894,0.116656944,0.16917293,89,116,0.8982997428534202,0.84209697530957
01-ai/Yi-1.5-9B,m03_C3,I_absent,0.028225411661056056,0.04365276783577181,0.015427356174715752,0.3009721,0.22569168,56,65,0.699028041,0.7921743807000001
01-ai/Yi-1.5-9B,m03_C3,I_final,0.035951310401412424,0.07456701482361472,0.038615704422202295,0.12705635,0.15120447,83,92,0.8729437812,0.8487956412087102
01-ai/Yi-1.5-9B,m03_C3,I_final_ought,0.04066281571880637,0.04256867859624921,0.0019058628774428418,0.17426053,0.17912807,96,128,0.8257396424999998,0.8208721346677301
01-ai/Yi-1.5-9B,m03_C3,I_medial,0.05562450689769628,0.07878029137536477,0.023155784477668487,0.12775305,0.18077765,96,136,0.872247117,0.8192225528407927
01-ai/Yi-1.5-9B,m03_C3,we_absent,0.024795752058601715,0.06518638954593403,0.04039063748733232,0.26260206,0.19676408,44,57,0.7373980342000002,0.8032360456999998
01-ai/Yi-1.5-9B,m03_C3,we_final,0.07619209243296293,0.1257162329366509,0.049524140503687974,0.12850879,0.18496497,85,114,0.8714914077,0.8150351776929502
01-ai/Yi-1.5-9B,m03_C3,we_medial,0.05095431618245882,0.12400212053728454,0.07304780435482572,0.118067086,0.19764724,88,135,0.8819330619,0.8023529795239
01-ai/Yi-1.5-9B,m03_C4,I_absent,0.0588416213468028,0.13157043166536164,0.07272881031855885,0.12351753,0.19024436,69,144,0.8764825814370002,0.8097557038450842
01-ai/Yi-1.5-9B,m03_C4,I_final,0.040897200547905174,0.03553303697055584,-0.005364163577349333,0.06528029,0.11647705,25,46,0.9347199004000001,0.8835230383999999
01-ai/Yi-1.5-9B,m03_C4,I_final_ought,0.030324336788235567,0.03281998521869355,0.002495648430457985,0.073113,0.11589005,39,45,0.9268872219525702,0.8859222119999997
01-ai/Yi-1.5-9B,m03_C4,I_medial,0.0820310968891475,0.05647405484156981,-0.025557042047577694,0.124818765,0.1291799,90,69,0.8751815228616602,0.8708202426999998
01-ai/Yi-1.5-9B,m03_C4,we_absent,0.06924926370749583,0.10445090835941498,0.03520164465191915,0.08819992,0.1748511,60,141,0.91180029696,0.8251489894499999
01-ai/Yi-1.5-9B,m03_C4,we_final,0.04786540965053859,0.03483789885525076,-0.013027510795287835,0.07442717,0.13172695,24,47,0.9255730286999998,0.8682732281299999
01-ai/Yi-1.5-9B,m03_C4,we_medial,0.05932847058181801,0.07053177976482947,0.011203309183011455,0.11460746,0.13337992,94,86,0.8853925889000004,0.8666202226999999
01-ai/Yi-1.5-9B,m03_N1,I_absent,0.07504928817205761,0.039561287268625185,-0.035488000903432425,0.28852215,0.26419342,94,100,0.7114779238599998,0.7403222648999999
01-ai/Yi-1.5-9B,m03_N1,I_final,0.07941228398460468,0.09902218486055353,0.019609900875948855,0.13160962,0.1332567,81,81,0.8683905825037699,0.8667435095000005
01-ai/Yi-1.5-9B,m03_N1,I_final_ought,0.095234147141528,0.07617684609580598,-0.019057301045722022,0.14523533,0.16002932,88,105,0.85476471464,0.83997071643
01-ai/Yi-1.5-9B,m03_N1,I_medial,0.0956653338713028,0.05524321904630253,-0.04042211482500027,0.09838775,0.14046697,80,103,0.9016124728303002,0.8595331582000001
01-ai/Yi-1.5-9B,m03_N1,we_absent,0.0660796983245948,0.047067341778307334,-0.019012356546287468,0.3091257,0.29138404,101,89,0.7401299300699997,0.7370736697000001
01-ai/Yi-1.5-9B,m03_N1,we_final,0.1322237774999502,0.055117700774354884,-0.07710607672559533,0.23091505,0.14598261,96,72,0.7690851158055702,0.8540175631
01-ai/Yi-1.5-9B,m03_N1,we_medial,0.10412542976302597,0.08035662754873701,-0.023768802214288953,0.12123659,0.13976361,83,93,0.8787635111729999,0.860236554402
01-ai/Yi-1.5-9B,m03_N2,I_absent,0.07536427381331343,0.04681882562303596,-0.02854544819027747,0.29250744,0.32863688,59,52,0.7074926402400001,0.7772849242000001
01-ai/Yi-1.5-9B,m03_N2,I_final,0.07306190293596271,0.12726112560728042,0.054199222671317715,0.105893016,0.12725271,71,72,0.8941070667999997,0.8727473960000002
01-ai/Yi-1.5-9B,m03_N2,I_final_ought,0.0699359557594749,0.1065052113816609,0.036569255622186006,0.113013946,0.18818729,82,106,0.8869861430507503,0.8118127811270003
01-ai/Yi-1.5-9B,m03_N2,I_medial,0.13625253976388615,0.14480624112584717,0.008553701361961014,0.09060466,0.12495934,77,95,0.9093956047404999,0.8750407639116996
01-ai/Yi-1.5-9B,m03_N2,we_absent,0.05027296350749766,0.03596510589192879,-0.014307857615568867,0.40843964,0.13639997,57,65,0.59156049725,0.8723192111999998
01-ai/Yi-1.5-9B,m03_N2,we_final,0.09798691837857537,0.13897295388648737,0.040986035507911994,0.102222726,0.103651196,47,79,0.8977774723999999,0.8963490665993796
01-ai/Yi-1.5-9B,m03_N2,we_medial,0.11455742110550812,0.07506349602568597,-0.03949392507982215,0.08426865,0.091060296,79,75,0.9157315542718002,0.9094829109011399
01-ai/Yi-1.5-9B,m03_N3,I_absent,0.0283672660288027,0.07810459576138654,0.04973732973258384,0.26201233,0.27964965,80,108,0.76473948566,0.7203505573000002
01-ai/Yi-1.5-9B,m03_N3,I_final,0.04239511379398792,0.09423724436419334,0.05184213057020542,0.08426533,0.15372607,45,87,0.9166205707000001,0.8462740295
01-ai/Yi-1.5-9B,m03_N3,I_final_ought,0.04137234435180066,0.1519355230796901,0.11056317872788944,0.11967883,0.17579253,80,101,0.8803213467000001,0.8242076122999997
01-ai/Yi-1.5-9B,m03_N3,I_medial,0.05676300830890329,0.07040480372911866,0.013641795420215368,0.10750505,0.16302307,89,110,0.89249505456,0.8369771980299999
01-ai/Yi-1.5-9B,m03_N3,we_absent,0.027174283940587254,0.07907617797969119,0.05190189403910393,0.16294359,0.24186723,76,113,0.84719876986,0.7581329659000001
01-ai/Yi-1.5-9B,m03_N3,we_final,0.022468271271985196,0.12223100285670836,0.09976273158472317,0.07187112,0.25653222,36,129,0.9281289835999997,0.8133976419999999
01-ai/Yi-1.5-9B,m03_N3,we_medial,0.06369805053049826,0.11654821346407383,0.05285016293357557,0.099679254,0.16999404,93,124,0.9003209341000001,0.8300061276644992
01-ai/Yi-1.5-9B,m03_N5,I_absent,0.023382332825477574,0.04015308545075526,0.016770752625277684,0.2378942,0.25063783,79,89,0.7703278884999998,0.7493623600999997
01-ai/Yi-1.5-9B,m03_N5,I_final,0.060459514970223144,0.22488280204607347,0.16442328707585033,0.08313666,0.13489251,58,58,0.9168635537529998,0.8954039279999997
01-ai/Yi-1.5-9B,m03_N5,I_final_ought,0.0672796205265334,0.21529784147588452,0.14801822094935113,0.10470015,0.1603697,80,99,0.8952999173218001,0.8471581619
01-ai/Yi-1.5-9B,m03_N5,I_medial,0.05172870278577907,0.10757671270540807,0.055848009919629,0.10753801,0.15870936,89,123,0.8924621600121101,0.8412908438166
01-ai/Yi-1.5-9B,m03_N5,we_absent,0.0345741119847856,0.04593799957126682,0.01136388758648122,0.20088324,0.22486551,75,103,0.8026685432,0.7764706771399997
01-ai/Yi-1.5-9B,m03_N5,we_final,0.03013687922583401,0.08377409981029732,0.05363722058446331,0.08253293,0.13222997,43,83,0.9174671548290997,0.8683237252
01-ai/Yi-1.5-9B,m03_N5,we_medial,0.06539813521193866,0.10009478479377984,0.03469664958184118,0.10029551,0.16669442,81,125,0.89970456293233,0.83330570433057
01-ai/Yi-1.5-9B,m03_N6,I_absent,0.05679138208348413,0.06554980567667718,0.008758423593193045,0.29965094,0.37520787,75,75,0.7003492336999999,0.6247922102
01-ai/Yi-1.5-9B,m03_N6,I_final,0.040753013268055804,0.10153330784437849,0.06078029457632268,0.08679896,0.16453026,62,81,0.9132011714000002,0.8512979162000005
01-ai/Yi-1.5-9B,m03_N6,I_final_ought,0.044370907800660206,0.07333569436491634,0.028964786564256134,0.11895512,0.19768324,86,98,0.8810450490999999,0.8347020146000002
01-ai/Yi-1.5-9B,m03_N6,I_medial,0.04981574711812886,0.054567424206002614,0.004751677087873753,0.13129935,0.16170006,102,116,0.86870069999379,0.8383001201285999
01-ai/Yi-1.5-9B,m03_N6,we_absent,0.054026691217948,0.1234688494065026,0.06944215818855459,0.24280937,0.39366207,63,56,0.7571908005,0.6063380089999998
01-ai/Yi-1.5-9B,m03_N6,we_final,0.04549309088424391,0.2871166447395084,0.24162355385526446,0.075871326,0.17415893,40,88,0.9241287405999998,0.8258411416999998
