stratum,labeling,frm,to,fwd,rev,e_fwd,e_rev,reciprocal,p,bonferroni,E,p_edge
m01_unmarked,framenet,Hearsay,Personal_relationship,13,6,10,5,True,0.1670684814453125,False,15,0.30175781249999994
m01_unmarked,framenet,Cause_motion,Confronting_problem,33,1,10,1,True,4.074536263942718e-09,True,11,0.01171875
m01_unmarked,framenet,Agree_or_refuse_to_act,Commonality,10,4,8,3,True,0.1795654296875,False,11,0.2265625
m01_unmarked,framenet,Memory,Receiving,7,4,6,4,True,0.548828125,False,10,0.75390625
m01_unmarked,framenet,Bringing,Behind_the_scenes,28,8,11,5,True,0.0011932429624721,False,16,0.210113525390625
m01_unmarked,framenet,Assistance,Adjusting,44,1,23,1,True,2.614797267597169e-12,True,24,2.9802322387695312e-06
m01_unmarked,framenet,Sending,Behind_the_scenes,17,1,11,1,True,0.0001449584960937,False,12,0.00634765625
m01_unmarked,framenet,Motion,Desirability,11,10,8,8,True,1.0,False,16,1.0
m01_unmarked,framenet,Desirability,Cause_to_move_in_place,15,4,8,3,True,0.0192108154296875,False,11,0.2265625
m01_unmarked,framenet,Use_firearm,Make_noise,24,9,14,8,True,0.0135309868492186,False,22,0.28627872467041016
m01_unmarked,framenet,Finish_competition,Process_continue,11,9,8,6,True,0.8238029479980469,False,14,0.79052734375
m01_unmarked,framenet,Finish_competition,Successful_action,9,3,8,2,True,0.14599609375,False,10,0.109375
m01_unmarked,framenet,Success_or_failure,Finish_competition,5,5,5,5,True,1.0,False,10,1.0
m01_unmarked,framenet,Intentionally_create,Conquering,19,3,10,3,True,0.0008554458618164,False,13,0.09228515625
m01_unmarked,framenet,Intentionally_create,Submitting_documents,19,4,13,3,True,0.0025994777679443,False,16,0.021270751953125
m01_unmarked,framenet,Perception_experience,Conquering,21,1,13,1,True,1.0967254638671877e-05,False,14,0.0018310546875
m01_unmarked,framenet,Ingestion,Cause_change_of_phase,16,2,8,2,True,0.001312255859375,False,10,0.109375
m01_unmarked,framenet,Placing,Cause_change_of_phase,49,2,14,2,True,1.1786127629420662e-12,True,16,0.004180908203125
m01_unmarked,framenet,Preventing_or_letting,Cause_change_of_phase,26,6,10,4,True,0.0005350527353584,False,14,0.1795654296875
m01_unmarked,framenet,Perception_experience,Inspecting,24,3,9,3,True,4.9233436584472656e-05,False,12,0.14599609375
m01_unmarked,framenet,Giving,Manipulate_into_doing,19,3,7,3,True,0.0008554458618164,False,10,0.34375
m01_unmarked,framenet,Possession,Manipulate_into_doing,33,2,9,2,True,3.6729034036397934e-08,True,11,0.0654296875
m01_unmarked,framenet,Statement,Manipulate_into_doing,31,4,10,4,True,3.4654513001441956e-06,False,14,0.1795654296875
m01_unmarked,framenet,Request,Manipulate_into_doing,44,2,10,2,True,3.0752289603697136e-11,True,12,0.03857421875
m01_unmarked,framenet,Activity_ongoing,Warning,14,0,10,0,False,0.0001220703125,False,10,0.001953125
m01_unmarked,framenet,Motion,Resolve_problem,16,1,10,1,True,0.000274658203125,False,11,0.01171875
m01_unmarked,framenet,Ingestion,Damaging,9,8,7,6,True,1.0,False,13,1.0
m01_unmarked,framenet,Damaging,Coming_to_believe,11,4,6,4,True,0.1184692382812499,False,10,0.75390625
m01_unmarked,framenet,Damaging,Awareness,15,6,8,6,True,0.0783538818359375,False,14,0.79052734375
m01_unmarked,framenet,Activity_ongoing,Rejuvenation,15,5,12,5,True,0.0413894653320312,False,17,0.143463134765625
m01_unmarked,framenet,Process_start,Cause_change_of_phase,40,3,13,2,True,3.021341399289667e-09,True,15,0.00738525390625
m01_unmarked,framenet,Motion_noise,Cause_change_of_phase,9,5,6,5,True,0.4239501953125,False,11,1.0
m01_unmarked,framenet,Perception_experience,Cause_change_of_phase,25,4,11,4,True,0.0001037158071994,False,15,0.11846923828124999
m01_unmarked,framenet,Making_faces,Cause_change_of_phase,30,19,9,7,True,0.152407771961478,False,16,0.803619384765625
m01_unmarked,framenet,Removing,Cause_change_of_phase,47,3,10,2,True,3.708322537931963e-11,True,12,0.03857421875
m01_unmarked,framenet,Perception_active,Cause_change_of_phase,41,17,11,10,True,0.0022325516199429,False,21,1.0
m01_unmarked,framenet,Awareness,Cause_change_of_phase,22,6,11,3,True,0.0037191659212112,False,14,0.057373046875
m01_unmarked,framenet,Process_stop,Appointing,7,7,5,6,True,1.0,False,11,1.0
m01_unmarked,framenet,Motion,Cause_change_of_phase,33,1,9,1,True,4.074536263942718e-09,True,10,0.021484375
m01_unmarked,framenet,Verdict,Communication_noise,12,5,7,3,True,0.143463134765625,False,10,0.34375
m01_unmarked,framenet,Evidence,Confronting_problem,12,3,8,3,True,0.03515625,False,11,0.2265625
m01_unmarked,framenet,Bringing,Having_or_lacking_access,11,2,8,2,True,0.0224609375,False,10,0.109375
m01_unmarked,framenet,Intentionally_affect,Having_or_lacking_access,16,1,9,1,True,0.000274658203125,False,10,0.021484375
m01_unmarked,framenet,Awareness,Using,7,6,7,5,True,1.0,False,12,0.7744140625
m01_unmarked,framenet,Cause_motion,Cause_change_of_phase,10,8,5,7,True,0.8145294189453125,False,12,0.7744140625
m01_unmarked,framenet,Manipulation,Cause_change_of_phase,42,4,9,4,True,5.100190492157708e-09,True,13,0.266845703125
m01_unmarked,framenet,Compatibility,Perception_experience,7,5,6,5,True,0.7744140625,False,11,1.0
m01_unmarked,framenet,Contacting,Cause_change_of_phase,9,8,5,7,True,1.0,False,12,0.7744140625
m01_unmarked,framenet,Cause_change_of_position_on_a_scale,Communication_response,24,22,12,10,True,0.8829959121223965,False,22,0.8318119049072266
m01_unmarked,framenet,Becoming_aware,Activity_finish,25,23,6,11,True,0.8854334972865135,False,17,0.332305908203125
m01_unmarked,framenet,Activity_ongoing,Adopt_selection,19,5,8,5,True,0.0066107511520385,False,13,0.5810546875
m01_unmarked,framenet,Request,Reasoning,22,9,9,3,True,0.0294493734836578,False,12,0.14599609375
m01_unmarked,framenet,Statement,Reasoning,31,14,7,5,True,0.0160943600312748,False,12,0.7744140625
m01_unmarked,framenet,Self_motion,Expectation,35,0,11,0,False,5.820766091346741e-11,True,11,0.0009765625
m01_unmarked,framenet,Ingestion,Make_acquaintance,17,12,10,8,True,0.45825831964612,False,18,0.8145294189453125
m01_unmarked,framenet,Hiring,Make_acquaintance,17,10,11,5,True,0.2477885633707046,False,16,0.210113525390625
m01_unmarked,framenet,Travel,Placing,30,13,11,6,True,0.0137181850586785,False,17,0.332305908203125
m01_unmarked,framenet,Travel,Causation,12,3,8,3,True,0.03515625,False,11,0.2265625
m01_unmarked,framenet,Travel,Commerce_pay,14,2,10,2,True,0.004180908203125,False,12,0.03857421875
m01_unmarked,framenet,Likelihood,Cooking_creation,24,4,13,4,True,0.0001799911260604,False,17,0.049041748046875
m01_unmarked,framenet,Likelihood,Renting,11,4,9,3,True,0.1184692382812499,False,12,0.14599609375
m01_unmarked,framenet,Receiving,Undressing,27,9,6,8,True,0.0039331730222329,False,14,0.79052734375
m01_unmarked,framenet,Motion,Expectation,30,1,12,1,True,2.9802322387695312e-08,True,13,0.00341796875
m01_unmarked,framenet,Cause_to_wake,Change_position_on_a_scale,8,4,7,4,True,0.3876953125,False,11,0.548828125
m01_unmarked,framenet,Placing,Expectation,29,0,11,0,False,3.725290298461914e-09,True,11,0.0009765625
m01_unmarked,framenet,Process_start,Expectation,40,0,10,0,False,1.8189894035458565e-12,True,10,0.001953125
m01_unmarked,framenet,Causation,Expectation,26,1,10,1,True,4.172325134277344e-07,True,11,0.01171875
m01_unmarked,framenet,Likelihood,Recording,20,3,10,2,True,0.00048828125,False,12,0.03857421875
m01_unmarked,framenet,Attaching,Agree_or_refuse_to_act,12,12,5,9,True,1.0,False,14,0.4239501953125
m01_unmarked,framenet,Cause_change,Commonality,8,5,5,5,True,0.5810546875,False,10,1.0
m01_unmarked,framenet,Change_tool,Cause_to_perceive,18,7,9,6,True,0.0432852506637573,False,15,0.6072387695312499
m01_unmarked,framenet,Agree_or_refuse_to_act,Process_continue,18,12,13,5,True,0.3615946080535651,False,18,0.09625244140625
m01_unmarked,framenet,Cause_motion,Cause_to_start,32,4,12,1,True,1.941574737429619e-06,True,13,0.00341796875
m01_unmarked,framenet,Body_movement,Scouring,61,4,13,4,True,3.918664438079533e-14,True,17,0.049041748046875
m01_unmarked,framenet,Giving,Scouring,24,8,9,5,True,0.0070003666914999,False,14,0.4239501953125
m01_unmarked,framenet,Encoding,Scouring,48,5,12,5,True,7.077378683106871e-10,True,17,0.143463134765625
m01_unmarked,framenet,Removing,Scouring,33,6,7,5,True,1.429926123819314e-05,False,12,0.7744140625
m01_unmarked,framenet,Intentionally_affect,Hunting_success_or_failure,21,11,15,9,True,0.1101841651834547,False,24,0.30745625495910645
m01_unmarked,framenet,Giving_birth,Intentionally_affect,19,8,10,7,True,0.0522389858961105,False,17,0.629058837890625
m01_unmarked,framenet,Statement,Proliferating_in_number,42,0,10,0,False,4.547473508864641e-13,True,10,0.001953125
m01_unmarked,framenet,Performers_and_roles,Grinding,15,2,9,2,True,0.002349853515625,False,11,0.0654296875
m01_unmarked,framenet,Choosing,Location_of_light,24,4,11,2,True,0.0001799911260604,False,13,0.0224609375
