field,cluster
induced:locomotion_posture,422
induced:nonverbal_expression,233
induced:object_handling,482
induced:perception_cognition,169
induced:person_reference,48
induced:procedural_operation,305
induced:process_event,87
induced:property_damage,454
induced:quality_manner,16
induced:ritual_observance,328
induced:speech_act,270
induced:transfer_possession,340
rid:abstraction,153
rid:affection,237
rid:aggression,473
rid:anxiety,223
rid:defensive_symbolization,380
rid:expressive_behavior,227
rid:glory,196
rid:icarian_imagery,426
rid:instrumental_behavior,345
rid:moral_imperative,63
rid:need,84
rid:order,359
rid:positive_affect,235
rid:regressive_cognition,243
rid:restraint,124
rid:sadness,232
rid:sensation,378
rid:social_behavior,272
rid:temporal_references,38
usas:A1.1.1,464
usas:A1.1.2,452
usas:A1.2,94
usas:A1.3,19
usas:A1.4,20
usas:A1.5.1,78
usas:A1.7,438
usas:A1.8,119
usas:A1.9,71
usas:A10,137
usas:A11.1,522
usas:A11.2,206
usas:A12,510
usas:A13.2,550
usas:A13.3,17
usas:A13.4,543
usas:A13.6,361
usas:A15,4
usas:A2.1,502
usas:A2.2,284
usas:A3,30
usas:A4.1,495
usas:A4.2,533
usas:A5.1,180
usas:A5.2,139
usas:A5.3,64
usas:A5.4,309
usas:A6.1,326
usas:A6.2,356
usas:A6.3,289
usas:A7,144
usas:A8,155
usas:A9,347
usas:B1,244
usas:B2,189
usas:B3,511
usas:B4,515
usas:B5,443
usas:C1,299
usas:E1,241
usas:E2,236
usas:E3,474
usas:E4.1,232
usas:E4.2,224
usas:E5,223
usas:E6,221
usas:F1,85
usas:F2,88
usas:F3,77
usas:F4,462
usas:G1.1,278
usas:G1.1c,549
usas:G1.2,212
usas:G2.1,125
usas:G2.2,217
usas:G3,479
usas:H1,303
usas:H2,246
usas:H4,21
usas:H5,465
usas:I1,113
usas:I1.1,111
usas:I1.2,337
usas:I1.3,107
usas:I2.1,181
usas:I2.2,343
usas:I3.1,280
usas:I3.2,547
usas:I4,290
usas:K1,27
usas:K2,226
usas:K3,445
usas:K4,310
usas:K5.1,400
usas:K5.2,418
usas:L1,487
usas:L2,295
usas:L2mfn,46
usas:L2mfnc,435
usas:L3,383
usas:M1,421
usas:M2,483
usas:M3,404
usas:M3fn,54
usas:M4,406
usas:M5,402
usas:M6,245
usas:M7,138
usas:M8,24
usas:N1,540
usas:N2,497
usas:N3.2,391
usas:N3.3,394
usas:N3.4,390
usas:N3.5,177
usas:N3.6,412
usas:N3.7,395
usas:N3.8,39
usas:N4,93
usas:N5,425
usas:N5.1,371
usas:N5.2,80
usas:N6,41
usas:O1,542
usas:O1.1,537
usas:O1.2,363
usas:O2,468
usas:O3,288
usas:O4.1,410
usas:O4.2,372
usas:O4.3,377
usas:O4.4,409
usas:O4.5,379
usas:O4.6,386
usas:P1,173
usas:Q1.1,135
usas:Q1.2,315
usas:Q1.3,128
usas:Q2.1,275
usas:Q2.2,273
usas:Q3,158
usas:Q4,300
usas:Q4.1,336
usas:Q4.2,539
usas:Q4.3,292
usas:S1.1.1,29
usas:S1.1.2,269
usas:S1.1.3,282
