category,delta,edges_pos,n_edges,lo,hi,mde,p,bonferroni,labeling,cell,coverage,scen,pov,context
characterize,-0.013985872533297755,16,41,-0.02977329202593467,0.0018015469593391596,0.022553456418052734,0.0902013861684067,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
chase,0.048304195403106924,33,41,0.03151867730302521,0.06508971350318864,0.023979311571545307,1.5131350771985467e-06,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
complain,-0.03136848249742825,8,41,-0.05165696294434938,-0.011080002050507118,0.028983543495601616,0.004268047037923947,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
complete,-0.004694569036420511,4,41,-0.01004754236032561,0.0006584042874845878,0.007647104748435855,0.09335962325495388,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
confine,0.009724078237884907,22,41,-0.007627579883655755,0.02707573635942557,0.024788083030772377,0.2785943627447509,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
conjecture,-0.014320433580746958,24,41,-0.0632616854969568,0.03462081833546288,0.06991607416601404,0.5695135022156279,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
consider,0.019932476240772476,31,41,0.005710938728528769,0.03415401375301618,0.02031648216034815,0.00897162424156743,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
conspire,0.0021342354115268776,4,41,-0.0014598554464022562,0.005728326269456012,0.005134415511327334,0.25136695710141055,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
consume,-7.671767894149537e-05,2,41,-0.003991903768780179,0.003838468410897188,0.005593122985483834,0.9695550196324133,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
contiguous_location,0.003933834897412429,11,41,-0.00025453440538101765,0.008122204200205875,0.005983384718276352,0.07306399765745329,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
continue,-0.0004773354285548294,8,41,-0.004477288598826974,0.0035226177417173156,0.005714218814674492,0.8162578697509334,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
contribute,0.008221192321041893,20,41,-0.003216690495636559,0.019659075137720347,0.01633983259525493,0.1666246827517891,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
