family,step,pre,post,cells,js,fall,rise,faller_share,direction
redpajama,base>pref WHOLE,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,2182,0.5181562265883004,37.512832263978005,8.483043079743355,0.8155694827775176,forward
stablelm,base>sft,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-1_6b-chat,2182,0.23457886829355917,22.209440879926674,14.927131072410633,0.5980476848652384,forward
stablelm,sft>pref,stabilityai/stablelm-2-1_6b-chat,stabilityai/stablelm-2-zephyr-1_6b,2182,0.13828332445380456,9.088450962419799,14.857470210815766,0.37954066985645935,forward
stablelm,base>pref WHOLE,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,2182,0.18195615746138621,17.007791017415215,15.34967919340055,0.5256217778029574,forward
tulu,base>sft,meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,2182,0.0651458275316188,5.626947754353804,9.88359303391384,0.3627821770476303,forward
tulu,sft>pref,allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,2182,0.04667041754543782,4.759395050412466,8.111824014665444,0.3697703400391668,forward
tulu,pref>rlvr,allenai/Llama-3.1-Tulu-3-8B-DPO,allenai/Llama-3.1-Tulu-3.1-8B,2182,0.008766177514207971,0.022914757103574702,2.3038496791934007,0.009848335631278314,forward
tulu,base>rlvr WHOLE,meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3.1-8B,2182,0.12804355985808216,13.885426214482127,13.373052245646196,0.5093984330340631,forward
zephyr,base>sft,mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,2182,0.07469570660721542,7.269019248395967,10.06782768102658,0.4192815036083428,forward
zephyr,sft>pref,HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,2182,0.03184716753214851,2.090742438130156,6.4051329055912,0.2460891142518071,forward
zephyr,base>pref WHOLE,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,2182,0.11498519483404845,12.461503208065995,12.030247479376719,0.5088041017196534,forward
