cell,usas,mean_excess,n_pairs,n_obs_used,p
UNMARKED,Z6,0.07699052234549826,28,35946,0.03108536538895736
UNMARKED,I1,0.0732949542998996,28,8882,0.1112684153892282
UNMARKED,E5,0.07282424687283211,27,1092,0.7074857050520508
UNMARKED,G1.2,0.07204746904811675,23,636,0.6200909234284312
UNMARKED,S5,0.0719869863138511,28,6397,0.15767345343160868
UNMARKED,M4,0.06687841322533458,28,2251,0.6078187792511397
UNMARKED,B1,0.06403252056716927,29,40301,0.35499118881037794
UNMARKED,N5.1,0.05697093993711127,28,18792,0.608912146265646
UNMARKED,T1.3,0.056012721208094,32,21582,0.7494194299674196
UNMARKED,I3.1,0.0503979714459803,28,14556,0.41000257394644907
UNMARKED,N4,0.04982059542709058,32,37079,0.6639934402168146
UNMARKED,Y1,0.0496032473544972,9,124,0.9518490118514703
UNMARKED,H4,0.04783137810130644,28,21068,0.32680480131118955
UNMARKED,T1,0.04579284995135366,27,1088,0.6994340382629943
UNMARKED,X9.2,0.03765091382009167,28,8735,0.46676201751957486
UNMARKED,L3,0.03709872106557358,28,9964,0.7255026488738265
UNMARKED,N3.1,0.010720238228538589,9,176,0.9841228577173684
UNMARKED,S2.1f,0.00744703437225682,28,1308,0.9594113266023633
UNMARKED,Z5,-0.007715763185117073,33,1210494,0.9621325704704956
UNMARKED,S4m,-0.01598471031620449,28,1388,0.8967496133965692
UNMARKED,Z8,-0.01706025967282937,33,45975,0.8746123264565876
UNMARKED,M2,-0.018263437257709802,33,118415,0.9074479329556476
UNMARKED,B2,-0.020194585377725702,29,3531,0.8419963400945466
UNMARKED,O1,-0.03857385941938172,15,163,0.905585646121345
UNMARKED,M8,-0.04413452935175607,28,13644,0.48684964117572754
UNMARKED,Z8m,-0.0562592074622089,33,236942,0.2778710442202798
UNMARKED,Z8f,-0.0714132591490545,33,154332,0.3347618465980187
UNMARKED,X4.2,-0.07279517069038614,28,7440,0.3632642739424458
UNMARKED,F3,-0.122287754884338,23,940,0.41515989004542386
UNMARKED,Y2,-0.12836511332459738,33,187668,0.2636783588184127
UNMARKED,Z8mf,-0.16590704115656313,33,56557,0.14557027924618832
UNMARKED,S4,-0.1676616259094311,28,3634,0.2022240500034899
UNMARKED,I4,-0.35668828686450416,9,120,0.5501336263907163
