word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
sudden	adjective	0.7918	0.4431	78	0.000854	0.000973
slept	verb	0.7914	0.5482	90	0.001100	0.001241
state	noun	0.7914	0.5848	92	0.001167	0.001286
term	noun	0.7911	0.5364	83	0.000945	0.000975
waves	noun	0.7897	0.4983	87	0.001031	0.001041
hue	noun	0.7873	0.4804	76	0.000813	0.000940
were	verb	0.7864	0.5421	92	0.008401	0.008981
save	noun	0.7854	0.5125	85	0.000989	0.000973
non	adjective	0.7833	0.5222	74	0.000790	0.000952
outside	adverb	0.7821	0.4783	90	0.001282	0.001634
heavy	adjective	0.7786	0.5232	89	0.001101	0.001141
floor	noun	0.7786	0.4527	90	0.001099	0.001089
daze	noun	0.7774	0.4060	71	0.000743	0.000896
panic	noun	0.7767	0.4440	80	0.000924	0.001061
dark	noun	0.7750	0.5338	87	0.001056	0.001151
dreamed	verb	0.7750	0.5376	81	0.000947	0.001139
instead	adverb	0.7689	0.4698	88	0.001078	0.001105
having	verb	0.7665	0.4872	92	0.001259	0.001314
play	verb	0.7649	0.5255	82	0.000967	0.001003
dangerous	adjective	0.7644	0.5024	77	0.000877	0.000973
site	noun	0.7628	0.4988	87	0.001098	0.001094
loose	adverb	0.7606	0.4114	74	0.000810	0.000903
documentary	noun	0.7597	0.5043	80	0.000921	0.000968
however	adverb	0.7595	0.5113	73	0.000815	0.000974
shore	noun	0.7585	0.5279	82	0.000992	0.001050
program	noun	0.7585	0.4879	83	0.000989	0.000974
stay	verb	0.7583	0.5782	87	0.001120	0.001182
young	adjective	0.7557	0.5411	88	0.001209	0.001397
introduced	verb	0.7550	0.3913	52	0.000438	0.000796
tired	adjective	0.7531	0.5106	86	0.001034	0.000988
dreamt	verb	0.7528	0.4726	46	0.000335	0.000793
someone	noun	0.7514	0.4778	50	0.000439	0.001139
sky	noun	0.7509	0.4948	89	0.002048	0.002213
understanding	verb	0.7502	0.4060	47	0.000352	0.000739
pay	verb	0.7500	0.5059	91	0.001167	0.001116
words	noun	0.7500	0.4747	88	0.001189	0.001331
appears	verb	0.7491	0.4986	72	0.000788	0.000876
bustling	adjective	0.7486	0.5009	45	0.000332	0.000736
State	noun	0.7467	0.5371	83	0.000986	0.000950
say	verb	0.7457	0.4624	75	0.000837	0.000896
bore	noun	0.7446	0.5052	82	0.000984	0.000923
sound	noun	0.7420	0.4716	74	0.000897	0.001229
low	adverb	0.7410	0.4955	78	0.000898	0.000870
heartily	adverb	0.7410	0.5673	86	0.001055	0.000975
piazza	noun	0.7405	0.5456	81	0.000965	0.000968
always	adverb	0.7401	0.4719	92	0.002078	0.002660
abruptly	adverb	0.7379	0.4820	51	0.000460	0.000837
flash	noun	0.7375	0.5203	92	0.001280	0.001354
room	noun	0.7375	0.5085	90	0.001429	0.001720
country	noun	0.7370	0.5196	92	0.002045	0.002087
ish	noun	0.7330	0.5560	84	0.001059	0.001090
horizon	noun	0.7325	0.4846	82	0.000991	0.001053
Grand	noun	0.7313	0.5057	81	0.000985	0.000920
still	adverb	0.7304	0.4674	89	0.001712	0.002269
hedge	noun	0.7297	0.4941	74	0.000872	0.000877
opened	verb	0.7294	0.5241	83	0.001032	0.001037
most	adverb	0.7292	0.5083	85	0.001102	0.001198
sliding	verb	0.7292	0.4995	73	0.000850	0.000897
injuries	noun	0.7287	0.5201	69	0.000762	0.000820
open	adjective	0.7280	0.4494	77	0.000921	0.000967
understood	verb	0.7276	0.5508	74	0.000940	0.001216
need	verb	0.7266	0.4551	72	0.000837	0.001169
time	noun	0.7242	0.5350	91	0.001543	0.001836
given	verb	0.7240	0.4898	85	0.001190	0.001356
cradle	noun	0.7235	0.4563	55	0.000507	0.000770
morning	noun	0.7231	0.5631	84	0.001034	0.001011
soldiers	noun	0.7231	0.4917	88	0.001273	0.001474
tide	noun	0.7224	0.4544	64	0.000660	0.000820
seemed	verb	0.7212	0.5232	92	0.004709	0.005623
side	noun	0.7205	0.4766	91	0.001955	0.001970
backdoor	noun	0.7205	0.4660	74	0.000857	0.000900
Daily	noun	0.7198	0.5527	83	0.001012	0.000925
touching	verb	0.7176	0.5012	85	0.001077	0.001017
lay	verb	0.7169	0.4506	86	0.001097	0.001069
name	noun	0.7167	0.4813	77	0.000943	0.001024
started	verb	0.7162	0.5520	88	0.001527	0.002091
split	noun	0.7160	0.5258	83	0.001011	0.000916
find	verb	0.7150	0.4560	51	0.000507	0.000918
Corso	noun	0.7148	0.4837	78	0.000922	0.000898
lost	verb	0.7141	0.4858	88	0.001367	0.001617
secretary	noun	0.7127	0.4629	80	0.000987	0.000903
talking	verb	0.7115	0.5688	91	0.001565	0.001913
escaped	verb	0.7098	0.4728	79	0.000964	0.000922
giving	verb	0.7098	0.4556	88	0.001276	0.001344
began	verb	0.7094	0.4759	92	0.003999	0.004589
apart	adverb	0.7094	0.4159	69	0.000766	0.000804
involves	verb	0.7082	0.5005	34	0.000201	0.000598
able	adjective	0.7065	0.5201	72	0.000837	0.000895
today	noun	0.7060	0.5050	68	0.000764	0.000852
thinking	verb	0.7056	0.5113	87	0.001211	0.001236
nation	noun	0.7056	0.5579	88	0.001230	0.001281
does	verb	0.7046	0.5383	88	0.001165	0.001114
area	noun	0.7027	0.4773	83	0.001123	0.001271
played	verb	0.7020	0.5543	67	0.000766	0.000854
everything	noun	0.7006	0.4369	75	0.001405	0.002149
abandon	verb	0.6990	0.4605	52	0.000520	0.000730
writing	verb	0.6978	0.4955	92	0.002939	0.003032
presence	noun	0.6957	0.4206	51	0.000483	0.000742
bedroom	noun	0.6952	0.4584	75	0.000896	0.000856
unknown	adjective	0.6952	0.5111	67	0.000750	0.000806
hedges	noun	0.6942	0.5532	73	0.000874	0.000849
desperate	adjective	0.6942	0.4816	35	0.000241	0.000572
wrote	verb	0.6942	0.4402	65	0.000720	0.000776
years	noun	0.6940	0.4891	66	0.000766	0.000855
talked	verb	0.6933	0.4988	79	0.000968	0.000917
aloud	adverb	0.6928	0.5378	75	0.000879	0.000851
next	adjective	0.6921	0.5121	83	0.001101	0.001115
asked	verb	0.6919	0.4894	92	0.001867	0.002023
empty	adjective	0.6912	0.4532	53	0.000527	0.000750
loud	adverb	0.6909	0.4277	52	0.000504	0.000706
garage	noun	0.6902	0.5149	77	0.000926	0.000878
overdue	adjective	0.6895	0.4776	70	0.000813	0.000811
Jack	noun	0.6893	0.4284	52	0.000564	0.000940
night	noun	0.6893	0.5458	92	0.002070	0.002378
notes	noun	0.6888	0.5156	90	0.001383	0.001467
one	noun	0.6850	0.4832	92	0.002223	0.002134
air	noun	0.6845	0.4310	43	0.000444	0.001099
secret	noun	0.6841	0.4825	50	0.000484	0.000690
region	noun	0.6841	0.4513	38	0.000288	0.000587
discussing	verb	0.6838	0.4726	49	0.000531	0.001060
live	verb	0.6822	0.4799	92	0.001384	0.001513
page	noun	0.6822	0.4879	82	0.001032	0.000892
investigative	noun	0.6815	0.4154	56	0.000589	0.000732
aside	adverb	0.6808	0.5763	69	0.000831	0.001001
single	adjective	0.6796	0.5321	80	0.000988	0.000887
matter	noun	0.6793	0.5052	81	0.001034	0.000980
returned	verb	0.6786	0.5269	57	0.000655	0.000875
birthplace	noun	0.6782	0.4702	64	0.000705	0.000760
using	verb	0.6775	0.5515	74	0.000927	0.001013
appeared	verb	0.6765	0.4608	76	0.001323	0.001867
glance	noun	0.6763	0.5170	57	0.000597	0.000712
beaten	verb	0.6760	0.5095	34	0.000244	0.000576
wounds	noun	0.6760	0.5014	75	0.000918	0.000825
he'd	verb	0.6760	0.5926	71	0.000878	0.001041
regretted	verb	0.6758	0.4549	59	0.000636	0.000717
Island	noun	0.6756	0.4622	78	0.000964	0.000852
slow	adjective	0.6751	0.4532	48	0.000479	0.000687
figure	noun	0.6751	0.4513	67	0.000788	0.000803
francs	noun	0.6749	0.5461	83	0.001055	0.000893
expanse	noun	0.6746	0.4355	51	0.000506	0.000690
good	adjective	0.6746	0.5600	88	0.001276	0.001352
sunset	noun	0.6744	0.3977	67	0.000766	0.000778
realized	verb	0.6741	0.5326	46	0.000445	0.000714
main	adjective	0.6739	0.5577	92	0.001569	0.001768
private	adjective	0.6732	0.5121	51	0.000506	0.000689
grew	verb	0.6727	0.4631	91	0.002373	0.002612
Mr	noun	0.6725	0.5172	88	0.001404	0.001512
word	noun	0.6713	0.4669	82	0.001139	0.001185
vanished	verb	0.6713	0.4442	59	0.000698	0.000870
sun	noun	0.6708	0.4631	91	0.001869	0.002011
can	verb	0.6706	0.5057	92	0.003102	0.003289
felt	verb	0.6706	0.4861	90	0.002493	0.003113
bathroom	noun	0.6694	0.5281	73	0.000898	0.000876
climbing	verb	0.6690	0.4324	24	0.000110	0.000458
Tom	noun	0.6687	0.5243	56	0.000611	0.000785
hear	verb	0.6685	0.4813	65	0.000728	0.000802
parchment	noun	0.6668	0.4471	47	0.000463	0.000670
everyone	noun	0.6661	0.4898	80	0.001126	0.001176
mornings	noun	0.6661	0.6226	65	0.000747	0.000777
big	adjective	0.6659	0.4719	44	0.000442	0.000737
love	noun	0.6659	0.4766	64	0.000741	0.000776
wind	noun	0.6654	0.4336	84	0.001188	0.001188
coast	noun	0.6654	0.4988	44	0.000418	0.000672
British	noun	0.6654	0.5052	80	0.001192	0.001302
remembered	verb	0.6647	0.4260	71	0.000898	0.000974
structures	noun	0.6647	0.5203	62	0.000703	0.000753
showing	verb	0.6638	0.4794	42	0.000373	0.000620
Land	noun	0.6630	0.4917	67	0.000788	0.000799
Times	noun	0.6626	0.4889	74	0.000901	0.000819
thickets	noun	0.6619	0.4905	46	0.000437	0.000604
sea	noun	0.6616	0.4879	92	0.001402	0.001440
engine	noun	0.6614	0.4194	78	0.000986	0.000869
Englishman	noun	0.6612	0.4745	53	0.000567	0.000681
travel	verb	0.6612	0.6170	71	0.000880	0.000884
doing	verb	0.6597	0.4849	62	0.000818	0.001010
turn	verb	0.6593	0.6056	73	0.000899	0.000941
blown	verb	0.6593	0.4031	75	0.000940	0.000815
expose	noun	0.6590	0.4931	57	0.000633	0.000730
forbidden	verb	0.6590	0.4093	41	0.000371	0.000664
ancient	adjective	0.6588	0.4478	86	0.001364	0.001459
ordered	verb	0.6586	0.4497	81	0.001116	0.001166
darkness	noun	0.6574	0.4726	22	0.000109	0.000472
dimly	adverb	0.6574	0.4745	37	0.000307	0.000545
receiving	verb	0.6569	0.4490	57	0.000618	0.000733
pain	noun	0.6562	0.4943	75	0.000945	0.000856
yet	adverb	0.6560	0.4140	90	0.002352	0.002684
found	verb	0.6550	0.5031	78	0.001430	0.001830
moon	noun	0.6548	0.4759	57	0.000702	0.001023
moved	verb	0.6538	0.4882	91	0.001797	0.001807
humans	noun	0.6536	0.4610	38	0.000329	0.000617
entire	adjective	0.6531	0.4641	72	0.000881	0.000778
flush	noun	0.6512	0.5095	69	0.000830	0.000768
hearing	verb	0.6500	0.4953	80	0.001012	0.000825
loving	verb	0.6489	0.4329	79	0.001055	0.001112
accumulated	verb	0.6479	0.5286	75	0.000926	0.000804
held	verb	0.6479	0.4178	27	0.000176	0.000586
listening	verb	0.6470	0.4534	65	0.000989	0.001274
talk	noun	0.6467	0.4965	51	0.000545	0.000683
served	verb	0.6467	0.4738	47	0.000481	0.000671
means	verb	0.6458	0.4204	55	0.000594	0.000656
below	adverb	0.6458	0.4832	28	0.000197	0.000477
familiar	adjective	0.6444	0.4523	48	0.000484	0.000768
spread	verb	0.6441	0.5106	25	0.000153	0.000444
anyone	noun	0.6441	0.4584	74	0.000944	0.000923
struck	verb	0.6437	0.4551	20	0.000087	0.000378
stood	verb	0.6432	0.5097	68	0.001115	0.001620
Telegram	noun	0.6427	0.4542	69	0.000853	0.000797
wore	verb	0.6411	0.4879	66	0.000875	0.001089
British	adjective	0.6404	0.4530	53	0.000571	0.000665
thoughts	noun	0.6404	0.4509	35	0.000304	0.000572
playing	verb	0.6401	0.5144	66	0.000864	0.000918
tinge	noun	0.6394	0.4979	66	0.000787	0.000713
community	noun	0.6392	0.4367	43	0.000447	0.000691
turned	verb	0.6392	0.3745	80	0.001719	0.002127
franc	noun	0.6375	0.4934	39	0.000351	0.000563
gift	noun	0.6371	0.5128	21	0.000109	0.000410
frequently	adverb	0.6363	0.5149	54	0.000596	0.000664
evenings	noun	0.6361	0.4667	57	0.000654	0.000705
Chinese	noun	0.6359	0.5416	66	0.000790	0.000728
lived	verb	0.6359	0.4735	64	0.000791	0.000932
town	noun	0.6356	0.4123	69	0.001041	0.001183
fell	verb	0.6354	0.5135	72	0.001037	0.001242
rush	noun	0.6352	0.4348	53	0.000573	0.000632
could	verb	0.6349	0.4891	92	0.006659	0.007355
remain	verb	0.6330	0.4464	56	0.000633	0.000638
he's	verb	0.6330	0.5621	68	0.000917	0.001003
running	verb	0.6326	0.5962	55	0.000638	0.000719
fit	noun	0.6326	0.5366	30	0.000240	0.000448
much	adjective	0.6326	0.5026	78	0.001211	0.001236
speak	verb	0.6323	0.4976	27	0.000198	0.000455
informed	verb	0.6323	0.4709	41	0.000417	0.000567
information	noun	0.6321	0.4976	83	0.001231	0.001218
Singapore	noun	0.6311	0.5414	56	0.000637	0.000661
corners	noun	0.6311	0.4610	36	0.000325	0.000499
be	verb	0.6309	0.5841	92	0.003047	0.003263
waiting	verb	0.6309	0.4738	69	0.000838	0.000772
located	verb	0.6307	0.5782	58	0.000642	0.000687
arrivals	noun	0.6304	0.5281	63	0.000762	0.000707
watched	verb	0.6302	0.4350	24	0.000158	0.000478
wished	verb	0.6295	0.4461	27	0.000199	0.000439
treating	verb	0.6288	0.4086	76	0.001092	0.001077
houses	noun	0.6283	0.5652	78	0.001030	0.000866
spend	verb	0.6283	0.4608	68	0.000850	0.000749
wait	verb	0.6281	0.5276	75	0.000945	0.000800
no	adverb	0.6281	0.5012	85	0.001760	0.001952
window	noun	0.6278	0.5165	64	0.000770	0.000731
forest	noun	0.6278	0.5477	36	0.000331	0.000713
Gazette	noun	0.6276	0.5903	68	0.000856	0.000748
former	adjective	0.6276	0.5005	53	0.000619	0.000762
heartbeat	noun	0.6271	0.4853	61	0.000706	0.000706
wandered	verb	0.6269	0.4806	30	0.000245	0.000503
news	noun	0.6267	0.5099	91	0.002284	0.002502
burst	adjective	0.6267	0.4650	25	0.000177	0.000428
suddenly	adverb	0.6262	0.5236	63	0.000944	0.001138
smell	noun	0.6262	0.4433	42	0.000417	0.000547
weren't	adverb	0.6259	0.5040	68	0.000964	0.001036
write	verb	0.6257	0.4802	33	0.000285	0.000483
clues	noun	0.6255	0.4998	59	0.000687	0.000678
trembling	verb	0.6252	0.4617	27	0.000198	0.000451
now	adverb	0.6248	0.4882	92	0.003511	0.003868
deep	adjective	0.6248	0.3927	48	0.000529	0.000733
unfamiliar	noun	0.6243	0.4972	52	0.000588	0.000652
start	verb	0.6243	0.4553	46	0.000792	0.001373
often	adverb	0.6241	0.4676	75	0.001434	0.001744
wet	noun	0.6236	0.5066	39	0.000392	0.000552
troops	noun	0.6233	0.4865	41	0.000399	0.000573
burning	verb	0.6233	0.4537	43	0.000434	0.000564
followed	verb	0.6229	0.5033	28	0.000220	0.000544
taken	verb	0.6226	0.4856	72	0.001186	0.001367
busy	adjective	0.6219	0.5175	52	0.000667	0.000842
corner	noun	0.6217	0.5338	38	0.000423	0.000603
newspaper	noun	0.6217	0.4898	86	0.001413	0.001355
therefore	adverb	0.6212	0.4534	30	0.000247	0.000453
reality	noun	0.6212	0.4787	48	0.000575	0.000668
euros	noun	0.6210	0.4948	64	0.000749	0.000723
district	noun	0.6205	0.4683	37	0.000353	0.000522
force	noun	0.6203	0.4702	36	0.000331	0.000520
caution	noun	0.6203	0.4523	20	0.000112	0.000356
columns	noun	0.6203	0.5591	64	0.000788	0.000729
surf	noun	0.6203	0.6059	65	0.000790	0.000732
change	verb	0.6200	0.5525	52	0.000575	0.000621
too	adverb	0.6198	0.4164	92	0.001980	0.002006
sergeants	noun	0.6191	0.5683	74	0.000944	0.000775
terrible	adjective	0.6189	0.4707	50	0.000566	0.000681
walked	verb	0.6186	0.5437	70	0.000901	0.000822
water	noun	0.6179	0.4322	92	0.002171	0.002359
very	adverb	0.6167	0.6512	89	0.001543	0.001538
winter	noun	0.6165	0.5262	35	0.000328	0.000494
together	adverb	0.6165	0.3837	79	0.001145	0.001096
didn	verb	0.6163	0.4813	46	0.000903	0.001121
Sam	noun	0.6153	0.4714	21	0.000131	0.000428
inside	adverb	0.6153	0.4650	27	0.000218	0.000480
abroad	adverb	0.6153	0.5045	68	0.000837	0.000731
possessed	verb	0.6151	0.4305	47	0.000530	0.000734
stripped	verb	0.6148	0.5071	24	0.000174	0.000422
ruins	noun	0.6148	0.4601	65	0.000792	0.000747
finally	adverb	0.6144	0.4478	55	0.000658	0.000762
knew	verb	0.6141	0.5605	92	0.002995	0.003228
middle	noun	0.6141	0.4693	49	0.000528	0.000615
woods	noun	0.6139	0.4898	34	0.000330	0.000647
thought	noun	0.6132	0.4438	53	0.000635	0.000731
style	noun	0.6129	0.4530	43	0.000446	0.000549
sore	adjective	0.6115	0.5610	77	0.000989	0.000800
exposé	noun	0.6113	0.4965	50	0.000568	0.000619
living	noun	0.6111	0.5213	29	0.000262	0.000499
sight	noun	0.6111	0.4863	34	0.000333	0.000636
rags	noun	0.6103	0.5250	72	0.000938	0.000753
blur	noun	0.6101	0.5135	27	0.000220	0.000429
more	adverb	0.6096	0.5373	49	0.000685	0.000943
else	adverb	0.6094	0.4901	65	0.000792	0.000728
indeed	adverb	0.6092	0.4379	40	0.000440	0.000599
frantic	adjective	0.6092	0.4376	30	0.000264	0.000457
dirt	noun	0.6087	0.5019	35	0.000334	0.000485
eye	noun	0.6082	0.4686	40	0.000458	0.000729
stones	noun	0.6080	0.4511	46	0.000524	0.000732
cancel	verb	0.6075	0.4844	36	0.000350	0.000499
seen	verb	0.6068	0.4579	34	0.000361	0.000597
manuscript	noun	0.6066	0.5291	72	0.000939	0.000756
interview	noun	0.6066	0.4610	56	0.000677	0.000636
about	adverb	0.6063	0.4837	25	0.000197	0.000383
tabloid	noun	0.6063	0.4577	37	0.000370	0.000485
nearby	adverb	0.6059	0.4738	20	0.000134	0.000391
only	adjective	0.6054	0.4532	92	0.003295	0.003287
conversation	noun	0.6054	0.4298	49	0.000546	0.000607
eyes	noun	0.6054	0.5059	92	0.002372	0.002408
staff	noun	0.6049	0.4296	50	0.000553	0.000593
faded	verb	0.6044	0.4322	20	0.000130	0.000336
alarming	adjective	0.6040	0.4879	50	0.000566	0.000564
bad	adjective	0.6040	0.4376	30	0.000264	0.000424
feeling	verb	0.6037	0.4950	45	0.000572	0.000957
seas	noun	0.6035	0.5135	64	0.000792	0.000664
silently	adverb	0.6030	0.4168	25	0.000198	0.000386
alarm	noun	0.6028	0.4953	48	0.000528	0.000588
verse	noun	0.6023	0.4388	71	0.000919	0.000729
decided	verb	0.6021	0.5215	43	0.000469	0.000668
historic	adjective	0.6018	0.4698	22	0.000157	0.000357
enough	adjective	0.6016	0.5052	63	0.000769	0.000682
something	noun	0.6014	0.5014	91	0.003037	0.003264
vast	adjective	0.6011	0.4617	23	0.000174	0.000407
windows	noun	0.6011	0.4849	69	0.000965	0.000954
things	noun	0.6002	0.4799	20	0.000154	0.000454
talk	verb	0.5995	0.4698	28	0.000243	0.000479
paper	noun	0.5990	0.5444	92	0.001516	0.001416
blue	noun	0.5990	0.4728	51	0.000595	0.000597
several	adjective	0.5985	0.4735	87	0.001647	0.001681
don	verb	0.5983	0.5000	45	0.000509	0.000596
may	verb	0.5976	0.5525	92	0.002176	0.002148
even	adverb	0.5969	0.5215	92	0.003138	0.003306
second	adjective	0.5962	0.5922	92	0.002293	0.002231
grown	verb	0.5962	0.4806	22	0.000202	0.000414
used	verb	0.5962	0.4442	82	0.001472	0.001467
don't	adverb	0.5959	0.5586	50	0.000594	0.000637
poetry	noun	0.5952	0.4584	68	0.000873	0.000683
fallen	verb	0.5952	0.4924	92	0.001718	0.001633
ideas	noun	0.5950	0.4768	42	0.000460	0.000596
trees	noun	0.5950	0.5437	91	0.002633	0.002712
miners	noun	0.5945	0.4832	60	0.000745	0.000677
fly	verb	0.5943	0.4915	48	0.000551	0.000576
is	verb	0.5943	0.5971	92	0.004525	0.004759
sand	noun	0.5940	0.4853	26	0.000223	0.000389
it's	verb	0.5940	0.4950	26	0.000243	0.000680
Jim	noun	0.5940	0.5215	39	0.000412	0.000498
get	verb	0.5940	0.4797	92	0.004126	0.004322
weren	verb	0.5936	0.4622	46	0.000551	0.000650
how	adverb	0.5931	0.4759	27	0.000266	0.000429
letting	verb	0.5931	0.4931	53	0.000658	0.000640
ahead	adverb	0.5919	0.5466	24	0.000197	0.000381
sought	verb	0.5910	0.4452	24	0.000198	0.000382
ers	noun	0.5910	0.5666	65	0.000815	0.000685
mysterious	adjective	0.5905	0.4742	32	0.000332	0.000551
backyard	noun	0.5903	0.4657	21	0.000179	0.000351
didn't	adverb	0.5898	0.4875	80	0.002696	0.002971
minute	noun	0.5896	0.5359	77	0.001031	0.000753
remained	verb	0.5893	0.4896	72	0.001361	0.001487
couldn	verb	0.5881	0.4149	24	0.000200	0.000449
sensed	verb	0.5881	0.4733	32	0.000327	0.000479
uproariously	adverb	0.5872	0.4702	51	0.000607	0.000583
slowly	adverb	0.5870	0.5045	22	0.000178	0.000400
away	adverb	0.5870	0.4792	91	0.002612	0.002617
plants	noun	0.5870	0.5425	72	0.001186	0.001184
land	noun	0.5865	0.5617	92	0.002331	0.002481
John	noun	0.5862	0.4560	42	0.000522	0.000825
immediate	adjective	0.5862	0.5692	78	0.001055	0.000753
learning	verb	0.5860	0.4553	22	0.000177	0.000358
Live	noun	0.5860	0.4714	43	0.000481	0.000500
thicket	noun	0.5860	0.5255	25	0.000220	0.000363
beach	noun	0.5860	0.5777	89	0.001977	0.001750
heart	noun	0.5855	0.4967	57	0.000832	0.000902
getting	verb	0.5853	0.4532	35	0.000394	0.000621
traces	noun	0.5853	0.5147	41	0.000443	0.000504
top	noun	0.5851	0.5532	62	0.000792	0.000703
wasn't	adverb	0.5851	0.4995	39	0.000418	0.000492
give	verb	0.5851	0.5000	52	0.000595	0.000581
spending	verb	0.5846	0.5373	25	0.000219	0.000380
failing	verb	0.5846	0.4119	39	0.000437	0.000520
blink	noun	0.5841	0.4657	37	0.000377	0.000492
home	adverb	0.5839	0.5043	92	0.003161	0.003304
offered	verb	0.5836	0.4991	27	0.000244	0.000405
joined	verb	0.5829	0.5990	65	0.000834	0.000733
part	noun	0.5829	0.5274	30	0.000305	0.000477
strange	adjective	0.5827	0.4745	38	0.000418	0.000526
letters	noun	0.5827	0.5406	86	0.001516	0.001438
library	noun	0.5825	0.4617	20	0.000156	0.000312
needed	verb	0.5822	0.4979	27	0.000272	0.000453
stopped	verb	0.5820	0.5995	61	0.000815	0.000834
rubbing	verb	0.5818	0.6085	72	0.001031	0.000895
way	noun	0.5813	0.4790	68	0.001141	0.001185
cries	noun	0.5808	0.4851	59	0.000739	0.000604
sources	noun	0.5808	0.4688	23	0.000196	0.000327
far	adverb	0.5808	0.4518	32	0.000377	0.000623
somewhere	adverb	0.5806	0.4988	65	0.000833	0.000677
lock	noun	0.5806	0.5314	28	0.000260	0.000370
haven	verb	0.5806	0.4572	42	0.000463	0.000503
branches	noun	0.5803	0.5139	59	0.000741	0.000605
others	noun	0.5801	0.4754	60	0.000906	0.000934
noncoms	noun	0.5801	0.4974	56	0.000676	0.000608
Community	noun	0.5799	0.5175	23	0.000198	0.000337
past	noun	0.5799	0.4688	35	0.000373	0.000500
more	adjective	0.5799	0.4345	68	0.001032	0.000976
couldn't	adverb	0.5799	0.4570	28	0.000287	0.000626
ejaculated	verb	0.5789	0.4648	53	0.000655	0.000626
evidence	noun	0.5787	0.5508	75	0.001322	0.001270
US	noun	0.5782	0.5109	40	0.000491	0.000518
road	noun	0.5782	0.5232	45	0.000592	0.000760
progress	noun	0.5775	0.5444	21	0.000173	0.000310
put	verb	0.5775	0.5128	21	0.000174	0.000381
wild	adjective	0.5775	0.4631	57	0.000738	0.000705
long	adverb	0.5773	0.5014	90	0.001956	0.001852
Beach	noun	0.5773	0.4695	59	0.000741	0.000614
reached	verb	0.5766	0.4934	41	0.000463	0.000550
made	verb	0.5766	0.4863	87	0.002637	0.002858
plain	adverb	0.5763	0.4081	50	0.000614	0.000592
spent	verb	0.5761	0.5288	21	0.000173	0.000305
making	verb	0.5761	0.5210	88	0.002066	0.001907
walk	verb	0.5761	0.4449	28	0.000265	0.000375
mine	noun	0.5761	0.5035	57	0.000745	0.000705
being	verb	0.5759	0.6129	92	0.002814	0.002840
occurs	verb	0.5756	0.4282	21	0.000176	0.000311
constantly	adverb	0.5756	0.4393	34	0.000351	0.000425
weapons	noun	0.5756	0.4497	21	0.000175	0.000309
answers	noun	0.5751	0.5104	25	0.000223	0.000353
make	verb	0.5747	0.6026	83	0.001696	0.001633
overhead	noun	0.5747	0.5298	39	0.000419	0.000472
kind	noun	0.5747	0.4995	45	0.000556	0.000589
power	noun	0.5744	0.5073	48	0.000567	0.000543
vines	noun	0.5742	0.4598	31	0.000329	0.000428
journalism	noun	0.5737	0.4735	23	0.000201	0.000336
dawn	noun	0.5737	0.4475	32	0.000329	0.000430
surprise	noun	0.5735	0.5057	50	0.000612	0.000539
West	noun	0.5735	0.4565	56	0.000680	0.000594
fog	noun	0.5733	0.5206	37	0.000395	0.000527
kitchen	noun	0.5730	0.4908	85	0.001490	0.001390
scheduled	verb	0.5728	0.5265	25	0.000224	0.000356
George	noun	0.5728	0.4636	21	0.000175	0.000300
warmth	noun	0.5728	0.4546	37	0.000400	0.000450
beautiful	adjective	0.5728	0.4527	45	0.000508	0.000540
Denver	noun	0.5728	0.5083	42	0.000501	0.000523
become	verb	0.5723	0.4520	91	0.002463	0.002439
life	noun	0.5723	0.5031	82	0.001411	0.001296
director	noun	0.5721	0.5095	57	0.000698	0.000596
warrant	noun	0.5721	0.4861	59	0.000744	0.000630
closed	verb	0.5721	0.4293	77	0.001270	0.001179
damage	noun	0.5716	0.4709	58	0.000784	0.000755
church	noun	0.5716	0.4360	54	0.000767	0.000773
image	noun	0.5707	0.5291	61	0.000770	0.000661
stayed	verb	0.5704	0.4293	41	0.000504	0.000759
Love	noun	0.5702	0.4301	22	0.000196	0.000315
store	noun	0.5699	0.4903	24	0.000220	0.000357
belonged	verb	0.5697	0.5217	46	0.000552	0.000542
much	adverb	0.5697	0.5770	40	0.000446	0.000519
such	adjective	0.5695	0.4910	35	0.000469	0.000803
screen	noun	0.5692	0.5064	35	0.000373	0.000441
p	noun	0.5692	0.5203	29	0.000284	0.000399
spilt	verb	0.5685	0.5097	39	0.000434	0.000447
people	noun	0.5685	0.4716	91	0.002356	0.002484
Secretary	noun	0.5681	0.4750	27	0.000265	0.000363
brief	noun	0.5678	0.5187	29	0.000288	0.000381
lines	noun	0.5678	0.5012	26	0.000247	0.000377
light	noun	0.5673	0.4811	91	0.003819	0.003886
never	adverb	0.5673	0.5246	89	0.002145	0.002162
actually	adverb	0.5671	0.5057	43	0.000483	0.000485
flame	noun	0.5671	0.4898	41	0.000466	0.000479
disembark	verb	0.5669	0.5551	34	0.000351	0.000443
recognized	verb	0.5666	0.4724	24	0.000243	0.000404
ing	noun	0.5662	0.4780	51	0.000660	0.000691
whenever	adverb	0.5662	0.5118	21	0.000207	0.000364
saw	verb	0.5659	0.4818	85	0.002044	0.002107
key	noun	0.5655	0.4480	38	0.000457	0.000520
join	verb	0.5647	0.4698	21	0.000309	0.000641
papers	noun	0.5647	0.5340	86	0.001453	0.001268
seeing	verb	0.5643	0.4735	82	0.001431	0.001263
deprived	verb	0.5640	0.5321	52	0.000653	0.000568
blowing	verb	0.5638	0.4920	30	0.000307	0.000395
