word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
shown	verb	0.5302	0.5198	31	0.000402	0.000406
settled	verb	0.5302	0.5645	40	0.000468	0.000444
City	noun	0.5298	0.5021	32	0.000374	0.000358
format	noun	0.5293	0.4861	21	0.000221	0.000262
middle	adjective	0.5291	0.5981	67	0.000971	0.000732
safe	adjective	0.5286	0.4768	24	0.000261	0.000283
music	noun	0.5284	0.5227	34	0.000395	0.000371
herd	noun	0.5284	0.5520	24	0.000263	0.000281
sell	verb	0.5279	0.4844	34	0.000394	0.000373
scars	noun	0.5276	0.5447	26	0.000284	0.000302
work	verb	0.5267	0.5005	22	0.000245	0.000265
injury	noun	0.5265	0.5517	50	0.000633	0.000500
world	noun	0.5250	0.4761	91	0.002552	0.002392
afternoon	noun	0.5250	0.5227	30	0.000351	0.000384
Lungomare	noun	0.5248	0.4646	22	0.000238	0.000254
watching	verb	0.5246	0.4376	61	0.001095	0.000999
washed	verb	0.5246	0.4910	27	0.000307	0.000307
great	adjective	0.5241	0.5456	88	0.002237	0.001965
round	noun	0.5234	0.4809	41	0.000500	0.000411
French	adjective	0.5234	0.4816	29	0.000351	0.000358
clothes	noun	0.5232	0.5265	27	0.000307	0.000331
specialists	noun	0.5232	0.4714	29	0.000329	0.000327
close	adverb	0.5232	0.5009	31	0.000374	0.000350
Rodney	noun	0.5232	0.4563	22	0.000443	0.000519
comers	noun	0.5232	0.4771	31	0.000379	0.000358
stone	noun	0.5232	0.5035	40	0.000527	0.000447
extended	verb	0.5232	0.5803	38	0.000457	0.000402
considering	verb	0.5224	0.5239	32	0.000376	0.000355
U	noun	0.5224	0.5428	48	0.000660	0.000492
maps	noun	0.5217	0.4641	20	0.000218	0.000256
licking	verb	0.5213	0.5198	22	0.000259	0.000276
already	adverb	0.5210	0.5855	90	0.002172	0.002108
would	verb	0.5208	0.5449	92	0.007436	0.007658
sites	noun	0.5206	0.4953	64	0.000876	0.000593
included	verb	0.5203	0.4664	37	0.000459	0.000402
legs	noun	0.5196	0.4747	32	0.000376	0.000348
tunnels	noun	0.5196	0.5187	32	0.000416	0.000398
recently	adverb	0.5194	0.5595	29	0.000357	0.000383
leaves	verb	0.5194	0.5881	70	0.000966	0.000639
hadn't	adverb	0.5194	0.5135	35	0.000416	0.000403
bed	noun	0.5187	0.4513	46	0.000638	0.000584
non-commissioned	verb	0.5184	0.5132	27	0.000329	0.000329
early	adjective	0.5182	0.5409	32	0.000398	0.000352
old	adjective	0.5182	0.5704	92	0.005551	0.005518
just	adverb	0.5177	0.4988	92	0.005864	0.005969
where	adverb	0.5175	0.4939	92	0.006962	0.007152
bleeding	verb	0.5168	0.4738	49	0.000632	0.000474
Miss	noun	0.5168	0.4449	50	0.000635	0.000491
hands	noun	0.5168	0.6439	90	0.001821	0.001636
thing	noun	0.5168	0.4974	61	0.000815	0.000619
person	noun	0.5165	0.4946	47	0.000595	0.000496
begun	verb	0.5165	0.4825	44	0.000662	0.000581
true	adjective	0.5165	0.4707	23	0.000262	0.000282
blood	noun	0.5165	0.4757	23	0.000263	0.000289
square	noun	0.5161	0.5392	69	0.000966	0.000657
voice	noun	0.5161	0.4868	35	0.000464	0.000451
singing	verb	0.5158	0.4438	30	0.000418	0.000370
inhabitants	noun	0.5156	0.4700	24	0.000308	0.000315
Spanish	adjective	0.5156	0.4516	31	0.000370	0.000331
correspondence	noun	0.5154	0.5246	28	0.000330	0.000307
background	noun	0.5154	0.5156	22	0.000266	0.000258
standing	verb	0.5151	0.5992	56	0.000791	0.000584
dancing	noun	0.5151	0.5047	25	0.000288	0.000285
memoranda	noun	0.5151	0.4518	23	0.000261	0.000261
type	noun	0.5147	0.4369	20	0.000250	0.000272
Tribune	noun	0.5147	0.5295	42	0.000527	0.000426
giant	noun	0.5142	0.4393	26	0.000306	0.000288
doors	noun	0.5139	0.5820	71	0.001244	0.000996
hearts	noun	0.5139	0.4698	26	0.000306	0.000288
weekly	noun	0.5137	0.5132	21	0.000239	0.000235
privates	noun	0.5135	0.5362	41	0.000506	0.000422
north	noun	0.5135	0.4216	70	0.001206	0.001003
rose	verb	0.5135	0.5333	23	0.000282	0.000332
Church	noun	0.5132	0.5267	33	0.000419	0.000401
streets	noun	0.5132	0.4853	33	0.000417	0.000356
production	noun	0.5132	0.5345	21	0.000241	0.000234
blistered	verb	0.5125	0.5253	28	0.000328	0.000310
little	adjective	0.5123	0.4634	91	0.003053	0.002874
Uncle	noun	0.5116	0.5102	28	0.000351	0.000333
sail	verb	0.5106	0.5591	26	0.000323	0.000289
preaching	verb	0.5106	0.5284	45	0.000596	0.000469
looking	verb	0.5106	0.5756	77	0.001847	0.001646
U.S	noun	0.5099	0.5076	21	0.000242	0.000239
professor	noun	0.5095	0.5069	34	0.000402	0.000376
driver	noun	0.5095	0.5983	50	0.000664	0.000521
ard	adverb	0.5095	0.4771	23	0.000264	0.000280
USA	noun	0.5092	0.5123	24	0.000283	0.000265
gone	verb	0.5092	0.4055	91	0.001947	0.001748
look	noun	0.5090	0.5985	56	0.000766	0.000571
should	verb	0.5090	0.4646	90	0.002990	0.002739
up	adverb	0.5083	0.5298	91	0.003138	0.002927
board	verb	0.5083	0.4877	26	0.000309	0.000287
right	adverb	0.5083	0.4941	40	0.000530	0.000447
landscape	noun	0.5071	0.4981	39	0.000486	0.000405
Mrs	noun	0.5069	0.4107	74	0.001381	0.001189
screams	noun	0.5066	0.4853	21	0.000241	0.000232
TV	noun	0.5064	0.4948	41	0.000532	0.000423
flee	verb	0.5061	0.5754	31	0.000375	0.000333
though	adverb	0.5059	0.4336	42	0.000570	0.000424
senior	adjective	0.5052	0.4454	42	0.000570	0.000446
works	noun	0.5050	0.4894	34	0.000420	0.000377
affair	noun	0.5047	0.5314	40	0.000522	0.000418
told	verb	0.5045	0.4695	91	0.003178	0.003016
verses	noun	0.5045	0.4638	34	0.000415	0.000351
reading	verb	0.5043	0.5605	38	0.000645	0.000639
chairman	noun	0.5043	0.5274	45	0.000569	0.000437
English	noun	0.5043	0.5338	63	0.000986	0.000805
streak	noun	0.5040	0.5132	62	0.000857	0.000582
history	noun	0.5040	0.5111	61	0.000945	0.000687
Atlantic	noun	0.5038	0.5194	29	0.000369	0.000309
door	noun	0.5035	0.4608	91	0.002435	0.002258
use	noun	0.5033	0.5555	37	0.000468	0.000430
fraction	noun	0.5031	0.4820	37	0.000461	0.000372
minds	noun	0.5021	0.5234	24	0.000284	0.000260
seafront	noun	0.5019	0.5095	49	0.000658	0.000474
describing	verb	0.5019	0.5012	42	0.000529	0.000420
wonderful	adjective	0.5009	0.5180	27	0.000332	0.000281
pulled	verb	0.5007	0.5300	20	0.000239	0.000237
looked	verb	0.5002	0.4277	92	0.005121	0.005026
High	noun	0.5002	0.5043	20	0.000241	0.000221
anyway	adverb	0.5002	0.5709	61	0.000945	0.000700
said	verb	0.4998	0.5092	90	0.001625	0.001401
overseas	adverb	0.4995	0.4605	27	0.000332	0.000307
evening	noun	0.4991	0.6361	78	0.001687	0.001396
contained	verb	0.4986	0.5293	22	0.000261	0.000231
got	verb	0.4986	0.5243	90	0.003110	0.002906
interest	noun	0.4983	0.4501	31	0.000374	0.000327
excited	adjective	0.4981	0.4825	32	0.000393	0.000322
west	noun	0.4981	0.5510	49	0.000699	0.000499
intently	adverb	0.4979	0.5087	20	0.000239	0.000216
down	adverb	0.4979	0.6451	92	0.003687	0.003546
owners	noun	0.4969	0.4643	42	0.000570	0.000442
pages	noun	0.4965	0.5144	41	0.000548	0.000405
oldest	adjective	0.4960	0.5033	45	0.000594	0.000452
magazine	noun	0.4957	0.4454	27	0.000330	0.000312
center	noun	0.4953	0.5007	33	0.000531	0.000425
concerned	verb	0.4943	0.5527	39	0.000529	0.000397
wards	noun	0.4941	0.4986	20	0.000267	0.000255
free	adjective	0.4934	0.4896	25	0.000306	0.000255
master	noun	0.4931	0.4575	38	0.000506	0.000426
fire	noun	0.4929	0.5362	32	0.000445	0.000406
abandoned	verb	0.4924	0.5914	26	0.000326	0.000332
remains	noun	0.4920	0.4615	28	0.000351	0.000304
white	adjective	0.4920	0.5057	71	0.001204	0.000872
books	noun	0.4917	0.5180	40	0.000551	0.000448
know	verb	0.4913	0.5418	51	0.000750	0.000622
work	noun	0.4913	0.4579	84	0.001995	0.001643
Campo	noun	0.4913	0.5007	39	0.000522	0.000400
television	noun	0.4905	0.5028	29	0.000357	0.000300
Ponte	noun	0.4903	0.5260	33	0.000416	0.000328
happens	verb	0.4901	0.5456	40	0.000524	0.000373
N	noun	0.4891	0.4485	34	0.000457	0.000335
takes	verb	0.4889	0.5147	55	0.000745	0.000486
Press	noun	0.4889	0.5569	65	0.000924	0.000609
increased	verb	0.4889	0.5281	25	0.000308	0.000285
eating	verb	0.4889	0.5024	39	0.000548	0.000448
herds	noun	0.4889	0.6082	38	0.000501	0.000368
attack	noun	0.4887	0.5853	28	0.000371	0.000309
half	noun	0.4887	0.5208	27	0.000396	0.000388
only	adverb	0.4884	0.5442	91	0.006892	0.006604
series	noun	0.4879	0.4844	51	0.000679	0.000489
makes	verb	0.4868	0.5326	29	0.000372	0.000305
nobody	noun	0.4865	0.4967	43	0.000598	0.000523
waterfront	noun	0.4853	0.5024	53	0.000724	0.000492
really	adverb	0.4849	0.5324	39	0.000522	0.000401
buy	verb	0.4842	0.4709	34	0.000462	0.000358
go	verb	0.4832	0.5276	92	0.004570	0.004251
waste	noun	0.4832	0.5463	24	0.000306	0.000258
lids	noun	0.4830	0.5080	21	0.000285	0.000217
becomes	verb	0.4823	0.5217	22	0.000285	0.000258
tales	noun	0.4823	0.4674	41	0.000545	0.000378
speak	adjective	0.4820	0.4797	32	0.000415	0.000331
chief	noun	0.4816	0.4636	24	0.000304	0.000231
mining	noun	0.4816	0.4603	24	0.000325	0.000258
manager	noun	0.4809	0.5000	22	0.000283	0.000211
hood	noun	0.4809	0.4724	38	0.000502	0.000363
blue	adjective	0.4806	0.5298	23	0.000394	0.000288
mont	verb	0.4806	0.5137	30	0.000390	0.000287
lights	noun	0.4806	0.4825	33	0.000548	0.000494
here	adverb	0.4802	0.4773	92	0.007097	0.006980
sign	verb	0.4802	0.5378	24	0.000311	0.000237
received	verb	0.4802	0.4686	26	0.000332	0.000257
ship	noun	0.4802	0.4655	25	0.000390	0.000264
overalls	noun	0.4799	0.4797	41	0.000543	0.000377
modern	adjective	0.4799	0.5343	26	0.000355	0.000259
incessantly	adverb	0.4792	0.4719	35	0.000464	0.000354
tops	verb	0.4783	0.5539	29	0.000375	0.000279
throwing	verb	0.4783	0.4865	35	0.000461	0.000326
warnings	noun	0.4780	0.4877	30	0.000392	0.000290
Leader	noun	0.4778	0.4792	24	0.000306	0.000230
sat	verb	0.4776	0.5957	88	0.001780	0.001491
nothing	noun	0.4776	0.4627	74	0.001835	0.001543
cave	noun	0.4773	0.4712	25	0.000329	0.000285
tree	noun	0.4768	0.4986	48	0.000639	0.000448
couple	noun	0.4759	0.5836	64	0.000899	0.000628
