word	proj	n_cells
«	1.020707	2
leave．____	1.020486	1
candy	1.019824	4
Donald	1.018920	29
radius	1.018892	2
ed	1.018783	27
Did	1.016523	2
Uh	1.015801	2
run____	1.015166	1
buster	1.015024	1
guess	1.013907	341
patriotism	1.013797	1
Alya	1.013443	1
$20	1.013345	1
ュート	1.013258	1
cities	1.010980	1
Brown	1.010696	1
un	1.010368	2
Si	1.009682	1
33	1.009394	289
|	1.008802	11
ft	1.007141	2
baptized	1.006937	4
Liam	1.006790	1
______it	1.006599	3
&gt	1.005598	1
Qur	1.005437	1
______him	1.004471	6
one	1.002640	1963
Sarah	1.002186	51
____him	1.001843	7
via	1.001335	13
layoffs	1.001332	7
streamed	0.999089	23
N	0.998750	20
Labour	0.998430	13
library	0.998381	21
dentist	0.997792	7
fucks	0.997688	1
______	0.997382	897
student	0.996906	7
robbing	0.996686	1
quit>>COMMENT<<	0.996260	5
Fuck	0.995945	1
N.C.Os	0.995662	1
Die	0.994899	1
hated	0.994868	7
<blockquote>	0.994491	1
awo	0.994392	1
bell	0.993306	6
gravy	0.991242	45
eating	0.990845	70
dock	0.990305	18
dole	0.990260	1
punch	0.990208	697
Strip	0.989925	2
visits	0.988269	1
heads	0.986715	1
he'll	0.986638	2
fudge	0.985442	2
grief	0.984976	15
trader	0.984763	1
bite	0.984555	300
stories	0.984500	40
russian	0.983432	1
sack	0.983265	26
tombs	0.982526	5
beauty	0.982291	8
plug	0.981226	10
の	0.980125	1
______her	0.979680	1
Which	0.979407	3
story	0.979197	56
throwing	0.979084	238
___________	0.978477	52
duck	0.978346	40
_______	0.978191	464
where	0.978181	478
NEVER	0.978174	4
Andy	0.978170	2
dated	0.978043	203
graves	0.977464	6
defense	0.976720	1
sisterin	0.976479	2
hatred	0.975124	1
rump	0.974925	4
brotherin	0.974278	3
be______	0.973278	1
barbwire	0.973255	1
juice	0.972367	8
it____	0.971082	11
bray	0.968901	3
monk	0.967632	3
Jane	0.966726	34
hitting	0.966440	88
be____	0.965755	2
down	0.965152	1794
apoo	0.964749	1
g	0.963994	1
Thursday	0.963666	25
Hospital	0.963556	5
names	0.962925	19
feeds	0.962779	1
April	0.962046	19
doe	0.960381	3
bruised	0.959689	25
throw	0.959570	1620
we	0.959337	8005
>	0.957488	7
when	0.957326	10884
killed	0.956359	2804
sacrifices	0.956285	1
ish	0.956040	33
hip	0.955657	130
Betty	0.954849	9
soups	0.954843	2
number	0.954608	92
a	0.954398	18590
biting	0.954359	4
rushes	0.954126	1
bled	0.954112	91
buildings	0.954024	25
he'd	0.953377	501
found______	0.952138	1
pussy	0.952100	47
churches	0.951477	4
put	0.951191	22644
tide	0.950784	15
ate	0.949579	1188
pricked	0.946991	10
U	0.946710	16
x$	0.946645	2
E	0.946057	12
food．	0.946004	1
Stein	0.945742	1
13	0.945450	239
like	0.944955	1405
fried	0.944826	19
rode	0.944610	674
drop	0.944580	767
3500	0.944121	3
Party	0.944093	1
kill	0.944063	2793
was____	0.943831	5
better．____	0.943695	1
Yeah	0.943364	7
buddha	0.941464	1
hair	0.941266	128
Johnson	0.940599	3
rib	0.940574	8
song	0.939700	1
Pounds	0.939270	2
bowls	0.937854	9
rot	0.936720	8
Saturday	0.936236	8
hedgerows	0.935854	2
ride	0.935730	144
on	0.934672	5312
punches	0.933595	1
suck	0.933566	280
_____________	0.933078	5
53	0.932958	207
door．	0.932598	1
jogger	0.932548	1
socialist	0.932526	4
Main	0.931934	1
twice	0.931493	9
coworker	0.931357	4
killing	0.931096	11
Rick	0.931025	1
320	0.930531	22
youd	0.930186	1
Viale	0.930168	11
goodnight	0.930121	1
guard's	0.930059	2
rose	0.929473	338
W	0.928637	1
167	0.928576	4
antiseptic	0.928279	1
Great	0.927906	13
summer	0.927782	13
Fred	0.927659	1
idols	0.926807	4
IV	0.926222	4
guy	0.926095	6
docks	0.925107	1
pulls	0.923975	9
Smith	0.923674	9
attic	0.923515	19
Student1	0.923277	3
plaza	0.923139	4
bicycle	0.920885	16
No1	0.920409	1
N.C.O	0.919588	5
vaccine	0.918914	1
Saint	0.918449	2
Monday	0.918357	38
places	0.917831	24
ve	0.917509	98
murdered	0.917394	119
fall．	0.917005	1
class	0.916930	3
historical	0.916648	1
204	0.916025	1
pedestrian	0.915795	12
back-door	0.914657	1
St	0.913978	1
B	0.912664	4
reared	0.912633	48
graded	0.912481	1
lo	0.911955	5
firings	0.911811	2
sour	0.910532	13
We	0.909728	98
retract	0.909296	39
eat	0.908439	968
houses	0.908241	27
S$	0.908088	2
he	0.907644	29987
sawed	0.907255	27
Chad	0.907043	1
unionise	0.907002	2
cattle	0.906920	1
jumps	0.906550	3
socialism	0.905892	16
tallest	0.905870	2
peed	0.905474	23
Miss	0.904771	20
<EOD>	0.903767	2
Umm	0.903767	1
________	0.903644	653
Su	0.903166	1
smacking	0.902891	1
doves	0.900791	13
punched	0.900253	1808
y	0.899492	38
fuck	0.898766	804
high	0.898504	42
Oh	0.897940	35
案件	0.897921	1
article	0.897235	3
Hilary	0.896959	3
sunrise	0.895776	2
peas	0.895348	10
Anna	0.894686	12
206	0.894607	2
jack	0.894415	31
1	0.894374	749
up	0.893763	1341
من	0.892154	1
wrong	0.891486	3
كما	0.891217	1
the____	0.890372	2
ankles	0.890277	41
July	0.889561	21
Maria	0.888684	29
badge	0.888385	20
<<	0.888126	1
hit	0.887382	4969
butt	0.887059	47
towers	0.887009	3
pits	0.886499	1
plugs	0.886346	2
driveway	0.885912	16
two	0.885656	662
de	0.884284	1
delivering	0.883615	30
Love	0.882319	20
p	0.881991	3
brows	0.881755	1
ranks	0.881569	1
dryer	0.881414	1
pit	0.881183	10
Appian	0.881057	1
nostalgia	0.880817	18
Je	0.880792	3
till	0.878891	26
good	0.878286	181
There	0.877405	44
hoof	0.877352	1
die	0.876760	2258
I'll	0.876320	94
hisTo	0.876046	1
diary	0.876040	1
clawed	0.875280	14
atiel	0.874728	3
prior	0.874720	2
true	0.874304	13
Okay	0.874209	10
||	0.873765	1
Porta	0.873477	1
cobweb	0.872910	1
pinched	0.872485	134
achy	0.871981	2
neighbor's	0.871966	6
After	0.871931	3
Sally	0.871337	1
vases	0.871277	5
hoe	0.871189	1
Piazza	0.870902	27
bullets	0.870633	21
scrape	0.870142	28
Medicaid	0.869705	1
roads	0.869581	14
47	0.867189	265
dieShe	0.866685	1
roosters	0.866234	1
16	0.865980	304
stomach	0.865957	207
riot	0.865602	5
guardrail	0.865284	5
daddy	0.865205	8
whom	0.863146	5
As	0.862838	57
histories	0.862779	1
c	0.862359	9
Harry	0.861303	24
punt	0.860687	1
pay	0.859957	3240
national	0.859913	1
mine	0.859372	42
asshole	0.858799	1
```	0.858042	1
nun	0.858040	1
piazza	0.857883	20
our	0.857552	210
cars	0.857476	15
he____	0.857056	2
Trader	0.856876	1
mobile	0.856083	3
cranes	0.855835	15
gallo	0.855525	2
Gertrude	0.855334	1
Corbyn	0.855192	7
lid	0.854882	18
audit	0.854588	6
youll	0.854550	1
East	0.853824	3
similar	0.853702	3
worst	0.853543	2
Ronaldo	0.853483	1
evenings	0.853474	26
________．	0.853368	1
37	0.853289	350
．	0.853176	6
lard	0.852853	1
it'll	0.852526	3
Dear	0.852274	2
unity	0.852161	2
ashtray	0.852092	5
six	0.851639	3
road	0.851290	86
grouse	0.851264	1
doe's	0.851067	12
another	0.850478	935
here's	0.850421	9
for	0.849668	1941
running	0.849511	466
Quran	0.848812	4
flu	0.848554	2
diabetic	0.848353	1
rip	0.848340	636
urine	0.848154	1
win	0.847695	705
posts	0.847569	17
Avenue	0.847175	1
throws	0.847030	1
insulin	0.846490	21
173	0.845282	1
Here's	0.844801	2
ORs	0.844566	1
x-rays	0.844386	1
Southeast	0.843891	1
diabetes	0.843871	3
u	0.843513	4
shipped	0.842405	2
hamstring	0.842375	1
downed	0.842116	188
sister's	0.841771	4
burial	0.841669	43
totaled	0.841506	56
electrocuted	0.840785	8
ème	0.839313	1
<h2>Question	0.839260	2
athwart	0.839083	2
harbour	0.839053	4
rush	0.838580	165
Vasya	0.838020	1
yesterday	0.837822	2
timing	0.837779	3
sh	0.837760	18
Sure	0.836890	2
ejaculated	0.836549	32
sent	0.836455	8867
flocks	0.836371	1
angle	0.836070	1
redshirt	0.835881	2
Jack	0.835752	57
Q	0.835725	26
got	0.834882	14042
ditch”	0.834473	1
gum	0.834377	1
we're	0.834305	15
horse's	0.834038	3
goin	0.833772	1
Atlantic	0.833563	11
upper	0.832423	80
booked	0.831941	91
Hey	0.831819	4
N.C.O.s	0.831381	5
Arno	0.830312	8
assassinate	0.830079	4
Here	0.828720	8
Ann	0.828670	6
____of	0.828129	1
getting	0.827776	618
Friday	0.827608	28
<h1>Why	0.827589	1
209	0.827279	4
â€™d	0.827063	3
dog's	0.826982	9
named	0.826961	183
ish-hued	0.826954	1
photo	0.826614	21
So	0.826522	3
trip	0.825304	5
hips	0.824696	78
driving	0.823940	110
bolt	0.823835	14
Ill	0.823260	1
drain	0.823233	4
went	0.822396	18244
inside	0.822088	277
suppose	0.821967	33
four	0.821919	20
characters	0.821476	2
ward	0.821404	15
get	0.820990	9300
his	0.820487	14650
better	0.818105	92
once	0.817839	1254
tables	0.817661	11
square	0.817605	40
pedestrians	0.816705	2
lumps	0.815954	8
onto	0.815295	1979
La	0.815130	5
335	0.814551	1
____________	0.813666	23
MIT	0.812934	1
lover	0.812925	16
hurled	0.812755	1109
cast	0.812236	463
waist	0.812228	138
Death	0.812004	2
dread	0.811665	20
horse	0.811645	16
homes	0.811378	9
arch	0.811187	31
Martha	0.810764	4
Matt	0.810690	4
drive	0.810570	280
235	0.810201	3
ex-boyfriend	0.810079	1
furry	0.809954	1
restaurants	0.809809	6
Rose	0.809774	5
totalled	0.809294	10
His	0.809161	16
grand	0.808769	10
twelve	0.808578	1
36	0.808036	463
San	0.807931	3
all	0.807576	4709
goal	0.807383	2
holy	0.807125	7
come	0.806043	1670
King	0.805811	2
DIE	0.805768	1
as	0.805647	5025
For	0.805543	9
What	0.805353	128
town's	0.805304	5
hed	0.805213	1
battled	0.804657	15
__________	0.804465	308
Madre	0.804214	2
slapped	0.803933	1329
Que	0.803699	1
villa	0.803634	1
republic	0.803374	1
boulevard	0.803207	2
within	0.803202	630
healthier	0.802605	1
iac	0.801517	1
______to	0.801262	2
pretty	0.801154	41
ex	0.800994	37
drawn	0.800706	1
Patricia	0.800636	3
kick	0.798736	750
upstairs	0.798720	26
sacrificial	0.798684	1
buck	0.797725	35
1936	0.797410	1
Rooney	0.797390	1
biker	0.797126	2
200	0.796599	397
111	0.796131	5
beard	0.796107	6
directions	0.795905	2
Julia	0.795489	3
some______	0.795341	1
safer	0.795125	2
hut	0.794985	1
cat	0.794634	10
grave	0.793983	30
newspapers	0.793768	3
fourth	0.793606	6
cyclist	0.793485	13
doctor	0.793459	16
run	0.793230	2389
lucky	0.793162	6
Once	0.793004	1
rubles	0.792392	5
bucked	0.792302	17
stronger	0.791982	55
slap	0.791844	449
lawyers	0.791826	1
pink	0.791744	7
mean	0.791573	29
biology	0.790645	3
fl	0.790601	1
higher	0.790440	7
events	0.790330	7
Head	0.790206	1
waiter	0.789625	1
ordinarily	0.789276	4
mass	0.789136	4
promotion	0.788896	2
2%	0.788630	9
brake	0.788271	16
skull	0.788238	47
stick	0.787756	309
shit	0.786796	93
Yu	0.786752	1
hedgerow	0.786581	1
tomorrow	0.786416	24
F	0.785958	7
¿Cual	0.785702	1
him．	0.784973	1
valve	0.784894	6
being____	0.784256	1
ambushed	0.783862	8
Nurse	0.783740	4
hull	0.783508	1
Corso	0.783190	20
partridges	0.782454	1
239	0.782179	1
Bill	0.781626	8
Cinque	0.781099	1
sage	0.780939	1
″	0.780889	1
fellow's	0.780531	1
gladly	0.780484	1
injection	0.780129	2
graduate	0.779743	10
sued>>COMMENT<<	0.779555	1
bruises	0.779455	26
dye	0.778848	1
movie	0.778783	5
stabbing	0.778743	89
bough	0.778621	3
pity	0.778598	17
Aunt	0.778005	4
One	0.777929	27
flags	0.777873	7
