lineage,group,depth,ratio_base,ratio_aligned,d
01-ai/Yi-1.5-9B,f11_gender,0.25,0.841307,0.917098,0.075791
01-ai/Yi-1.5-9B,f11_gender,0.375,0.950673,0.862121,-0.088553
01-ai/Yi-1.5-9B,f11_gender,0.5,1.055304,0.998616,-0.056689
01-ai/Yi-1.5-9B,f11_gender,0.625,0.981449,1.016631,0.035182
01-ai/Yi-1.5-9B,f11_gender,0.75,1.004807,1.029725,0.024918
01-ai/Yi-1.5-9B,f11_gender,0.875,1.197030,0.982786,-0.214244
01-ai/Yi-1.5-9B,f11_gender,1.0,0.977027,0.958525,-0.018502
01-ai/Yi-1.5-9B,f11_gender_he,0.125,0.988152,1.224254,0.236102
01-ai/Yi-1.5-9B,f11_gender_he,0.25,0.943066,0.888013,-0.055052
01-ai/Yi-1.5-9B,f11_gender_he,0.375,0.798729,1.010357,0.211628
01-ai/Yi-1.5-9B,f11_gender_he,0.5,1.091422,1.388549,0.297126
01-ai/Yi-1.5-9B,f11_gender_he,0.625,0.977851,1.280334,0.302484
01-ai/Yi-1.5-9B,f11_gender_he,0.75,1.111887,1.191292,0.079405
01-ai/Yi-1.5-9B,f11_gender_he,0.875,0.769649,1.080718,0.311069
01-ai/Yi-1.5-9B,f11_gender_he,1.0,1.245750,1.188699,-0.057051
01-ai/Yi-1.5-9B,f11_gender_she,0.125,0.949476,1.206274,0.256798
01-ai/Yi-1.5-9B,f11_gender_she,0.25,0.970644,0.880459,-0.090185
01-ai/Yi-1.5-9B,f11_gender_she,0.375,0.838069,0.903377,0.065308
01-ai/Yi-1.5-9B,f11_gender_she,0.5,0.969130,1.099919,0.130789
01-ai/Yi-1.5-9B,f11_gender_she,0.625,0.873038,1.127140,0.254102
01-ai/Yi-1.5-9B,f11_gender_she,0.75,1.048713,1.025615,-0.023098
01-ai/Yi-1.5-9B,f11_gender_she,0.875,0.735499,0.702671,-0.032828
01-ai/Yi-1.5-9B,f11_gender_she,1.0,0.946260,1.004912,0.058652
01-ai/Yi-1.5-9B,f11_guilt,0.125,1.022782,0.986013,-0.036770
01-ai/Yi-1.5-9B,f11_guilt,0.25,0.871926,0.934128,0.062202
01-ai/Yi-1.5-9B,f11_guilt,0.375,1.149650,0.972691,-0.176959
01-ai/Yi-1.5-9B,f11_guilt,0.5,1.330542,1.228733,-0.101810
01-ai/Yi-1.5-9B,f11_guilt,0.625,0.780284,0.979878,0.199594
01-ai/Yi-1.5-9B,f11_guilt,0.75,1.199838,0.953484,-0.246354
01-ai/Yi-1.5-9B,f11_guilt,0.875,0.976367,1.063800,0.087433
01-ai/Yi-1.5-9B,f11_guilt,1.0,0.975961,0.896207,-0.079754
01-ai/Yi-1.5-9B,f11_holy,0.125,0.872882,0.941139,0.068257
01-ai/Yi-1.5-9B,f11_holy,0.25,0.870695,0.898739,0.028044
01-ai/Yi-1.5-9B,f11_holy,0.375,0.734873,0.991161,0.256288
01-ai/Yi-1.5-9B,f11_holy,0.5,0.845335,0.826839,-0.018495
01-ai/Yi-1.5-9B,f11_holy,0.625,0.767175,0.788230,0.021055
01-ai/Yi-1.5-9B,f11_holy,0.75,1.011773,0.735548,-0.276225
01-ai/Yi-1.5-9B,f11_holy,0.875,0.967299,1.007358,0.040058
01-ai/Yi-1.5-9B,f11_holy,1.0,0.827596,0.647752,-0.179844
01-ai/Yi-1.5-9B,f11_holy_b,0.125,0.958838,0.952160,-0.006678
01-ai/Yi-1.5-9B,f11_holy_b,0.25,1.032023,0.820544,-0.211479
01-ai/Yi-1.5-9B,f11_holy_b,0.375,0.733450,0.877794,0.144344
01-ai/Yi-1.5-9B,f11_holy_b,0.5,0.821831,0.868023,0.046191
01-ai/Yi-1.5-9B,f11_holy_b,0.625,0.861976,0.928705,0.066729
01-ai/Yi-1.5-9B,f11_holy_b,0.75,1.204221,0.905537,-0.298685
01-ai/Yi-1.5-9B,f11_holy_b,0.875,1.277831,0.848205,-0.429626
01-ai/Yi-1.5-9B,f11_holy_b,1.0,0.693542,0.762494,0.068951
01-ai/Yi-1.5-9B,f11_love,0.125,0.862974,0.900956,0.037981
01-ai/Yi-1.5-9B,f11_love,0.25,0.893985,0.898521,0.004536
01-ai/Yi-1.5-9B,f11_love,0.375,0.961601,0.872735,-0.088866
01-ai/Yi-1.5-9B,f11_love,0.5,1.022269,0.867351,-0.154918
01-ai/Yi-1.5-9B,f11_love,0.625,0.966293,0.920388,-0.045904
01-ai/Yi-1.5-9B,f11_love,0.75,0.950089,1.006806,0.056717
01-ai/Yi-1.5-9B,f11_love,0.875,0.958141,0.956620,-0.001521
01-ai/Yi-1.5-9B,f11_love,1.0,0.942467,0.770656,-0.171810
01-ai/Yi-1.5-9B,f11_love_he,0.125,0.913704,0.890238,-0.023466
01-ai/Yi-1.5-9B,f11_love_he,0.25,0.892008,0.861814,-0.030194
01-ai/Yi-1.5-9B,f11_love_he,0.375,0.951179,0.828976,-0.122203
01-ai/Yi-1.5-9B,f11_love_he,0.5,1.028400,0.903485,-0.124915
01-ai/Yi-1.5-9B,f11_love_he,0.625,0.993409,0.957160,-0.036249
01-ai/Yi-1.5-9B,f11_love_he,0.75,1.012019,0.898369,-0.113649
01-ai/Yi-1.5-9B,f11_love_he,0.875,0.824711,2.207647,1.382936
