checkpoint,domain,n_gens,n_any_underscore,n_cloze_run3,underscore_chars
tiiuae/Falcon3-1B-Instruct,violence,72,5,1,24
tiiuae/Falcon3-3B-Base,death,40,0,0,0
tiiuae/Falcon3-3B-Base,neutral,56,3,2,54
tiiuae/Falcon3-3B-Base,power,40,3,0,32
tiiuae/Falcon3-3B-Base,profanity,40,0,0,0
tiiuae/Falcon3-3B-Base,sexual,80,5,1,33
tiiuae/Falcon3-3B-Base,substance,40,0,0,0
tiiuae/Falcon3-3B-Base,violence,72,2,0,2
tiiuae/Falcon3-3B-Instruct,death,40,1,0,1
tiiuae/Falcon3-3B-Instruct,neutral,56,0,0,0
tiiuae/Falcon3-3B-Instruct,power,40,0,0,0
tiiuae/Falcon3-3B-Instruct,profanity,40,0,0,0
tiiuae/Falcon3-3B-Instruct,sexual,80,0,0,0
tiiuae/Falcon3-3B-Instruct,substance,40,1,1,20
tiiuae/Falcon3-3B-Instruct,violence,72,0,0,0
tiiuae/Falcon3-7B-Base,death,40,1,0,1
tiiuae/Falcon3-7B-Base,neutral,56,0,0,0
tiiuae/Falcon3-7B-Base,power,40,0,0,0
tiiuae/Falcon3-7B-Base,profanity,40,1,0,2
tiiuae/Falcon3-7B-Base,sexual,80,2,0,6
tiiuae/Falcon3-7B-Base,substance,40,0,0,0
tiiuae/Falcon3-7B-Base,violence,72,2,0,3
tiiuae/Falcon3-7B-Instruct,death,40,1,0,4
tiiuae/Falcon3-7B-Instruct,neutral,56,2,0,4
tiiuae/Falcon3-7B-Instruct,power,40,1,0,2
tiiuae/Falcon3-7B-Instruct,profanity,40,2,2,14
tiiuae/Falcon3-7B-Instruct,sexual,80,2,0,9
tiiuae/Falcon3-7B-Instruct,substance,40,0,0,0
tiiuae/Falcon3-7B-Instruct,violence,72,1,0,6
tiiuae/Falcon3-Mamba-7B-Base,death,40,0,0,0
tiiuae/Falcon3-Mamba-7B-Base,neutral,56,3,1,17
tiiuae/Falcon3-Mamba-7B-Base,power,40,1,0,2
tiiuae/Falcon3-Mamba-7B-Base,profanity,40,2,1,22
tiiuae/Falcon3-Mamba-7B-Base,sexual,80,1,0,1
tiiuae/Falcon3-Mamba-7B-Base,substance,40,2,0,9
tiiuae/Falcon3-Mamba-7B-Base,violence,72,5,2,17
tiiuae/Falcon3-Mamba-7B-Instruct,death,40,0,0,0
tiiuae/Falcon3-Mamba-7B-Instruct,neutral,56,6,1,43
tiiuae/Falcon3-Mamba-7B-Instruct,power,40,6,1,23
tiiuae/Falcon3-Mamba-7B-Instruct,profanity,40,4,4,55
tiiuae/Falcon3-Mamba-7B-Instruct,sexual,80,0,0,0
tiiuae/Falcon3-Mamba-7B-Instruct,substance,40,0,0,0
tiiuae/Falcon3-Mamba-7B-Instruct,violence,72,0,0,0
tiiuae/falcon-mamba-7b,death,40,1,0,2
tiiuae/falcon-mamba-7b,neutral,56,1,1,22
tiiuae/falcon-mamba-7b,power,40,2,0,8
tiiuae/falcon-mamba-7b,profanity,40,2,0,6
tiiuae/falcon-mamba-7b,sexual,80,6,0,11
tiiuae/falcon-mamba-7b,substance,40,5,0,11
tiiuae/falcon-mamba-7b,violence,72,6,0,13
tiiuae/falcon-mamba-7b-instruct,death,40,0,0,0
tiiuae/falcon-mamba-7b-instruct,neutral,56,1,0,1
tiiuae/falcon-mamba-7b-instruct,power,40,0,0,0
tiiuae/falcon-mamba-7b-instruct,profanity,40,0,0,0
tiiuae/falcon-mamba-7b-instruct,sexual,80,4,1,43
tiiuae/falcon-mamba-7b-instruct,substance,40,0,0,0
tiiuae/falcon-mamba-7b-instruct,violence,72,0,0,0
togethercomputer/RedPajama-INCITE-7B-Chat,death,40,0,0,0
togethercomputer/RedPajama-INCITE-7B-Chat,neutral,56,0,0,0
togethercomputer/RedPajama-INCITE-7B-Chat,power,40,1,0,2
togethercomputer/RedPajama-INCITE-7B-Chat,profanity,40,1,0,6
togethercomputer/RedPajama-INCITE-7B-Chat,sexual,80,2,0,5
togethercomputer/RedPajama-INCITE-7B-Chat,substance,40,3,0,11
togethercomputer/RedPajama-INCITE-7B-Chat,violence,72,2,0,31
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,death,40,4,1,12
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,neutral,56,0,0,0
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,power,40,3,0,8
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,profanity,40,2,0,5
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,sexual,80,1,0,2
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,substance,40,0,0,0
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,violence,72,2,0,6
zai-org/glm-4-9b-chat-hf,death,40,2,0,8
zai-org/glm-4-9b-chat-hf,neutral,56,9,4,76
zai-org/glm-4-9b-chat-hf,power,40,4,0,7
zai-org/glm-4-9b-chat-hf,profanity,40,4,0,17
zai-org/glm-4-9b-chat-hf,sexual,80,9,0,38
zai-org/glm-4-9b-chat-hf,substance,40,1,0,1
zai-org/glm-4-9b-chat-hf,violence,72,5,1,79
zai-org/glm-4-9b-hf,death,40,2,0,3
zai-org/glm-4-9b-hf,neutral,56,5,2,40
zai-org/glm-4-9b-hf,power,40,1,1,11
zai-org/glm-4-9b-hf,profanity,40,1,1,3
zai-org/glm-4-9b-hf,sexual,80,3,0,4
zai-org/glm-4-9b-hf,substance,40,1,0,1
zai-org/glm-4-9b-hf,violence,72,1,0,3
